term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0005840,"ribosome",1.597%, 0.452,-1.735,2.258,-3.9586,0.362,0.000,5840,0
GO:0022625,"cytosolic large ribosomal subunit",0.426%,null,null,1.690,-3.5086,0.393,0.633,5840,1
GO:0022627,"cytosolic small ribosomal subunit",0.293%,null,null,1.531,-2.6073,0.405,0.857,5840,1
GO:0071013,"catalytic step 2 spliceosome",0.302%,null,null,1.544,-2.6091,0.433,0.611,5840,1
GO:0030425,"dendrite",0.666%, 0.269, 7.209,1.881,-1.6621,0.807,0.056,30425,0
GO:0005634,"nucleus",19.673%,-5.342,-1.839,3.346,-3.6778,0.678,0.213,5634,0
GO:0005669,"transcription factor TFIID complex",0.098%, 2.946,-3.692,1.079,-2.5686,0.518,0.255,5669,0
GO:0030173,"integral component of Golgi membrane",0.195%,-2.140,-1.041,1.362,-1.5319,0.577,0.255,30173,0
GO:0005802,"trans-Golgi network",0.195%,null,null,1.362,-1.4427,0.577,0.633,30173,1
GO:0034719,"SMN-Sm protein complex",0.044%, 4.022, 0.746,0.778,-1.7113,0.616,0.268,34719,0
GO:0042555,"MCM complex",0.053%, 6.293,-0.552,0.845,-1.7113,0.710,0.271,42555,0
GO:0005852,"eukaryotic translation initiation factor 3 complex",0.142%, 3.247,-0.209,1.230,-1.7126,0.591,0.291,5852,0
GO:0005737,"cytoplasm",29.000%,-6.589, 1.215,3.514,-2.6615,0.747,0.293,5737,0
GO:0005829,"cytosol",3.532%,-2.450, 2.517,2.601,-1.7069,0.636,0.354,5829,0
GO:0005814,"centriole",0.089%,-1.841,-3.491,1.041,-2.2644,0.553,0.363,5814,0
GO:1990904,"ribonucleoprotein complex",4.206%, 5.490,-1.986,2.677,-1.4079,0.650,0.386,1990904,0
GO:0000786,"nucleosome",0.302%, 0.665,-4.246,1.544,-3.7447,0.525,0.408,786,0
GO:0000794,"condensed nuclear chromosome",0.470%,null,null,1.732,-1.9952,0.524,0.630,786,1
GO:0033290,"eukaryotic 48S preinitiation complex",0.009%, 2.073, 1.293,0.301,-2.9957,0.525,0.451,33290,0
GO:0016282,"eukaryotic 43S preinitiation complex",0.009%,null,null,0.301,-2.5686,0.525,1.000,33290,1
GO:0080008,"Cul4-RING E3 ubiquitin ligase complex",0.027%, 5.855,-3.934,0.602,-2.1397,0.654,0.488,80008,0
GO:0005884,"actin filament",0.124%,-2.592,-5.804,1.176,-1.7857,0.602,0.509,5884,0
GO:0005687,"U4 snRNP",0.053%, 1.902,-3.451,0.845,-2.1397,0.461,0.520,5687,0
GO:0005686,"U2 snRNP",0.142%,null,null,1.230,-1.8901,0.434,0.781,5687,1
GO:0005682,"U5 snRNP",0.098%,null,null,1.079,-1.7815,0.444,0.816,5687,1
GO:0072686,"mitotic spindle",0.160%,-2.148,-5.985,1.279,-1.5236,0.594,0.581,72686,0
GO:1904115,"axon cytoplasm",0.062%,-0.156, 4.933,0.903,-1.4532,0.647,0.594,1904115,0
GO:0005938,"cell cortex",0.914%,null,null,2.017,-1.4508,0.634,0.762,1904115,1
