term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0005623,"cell",56.305%,-3.725,-1.902,3.803,-3.9586,0.990,0.000,5623,0
GO:0005829,"cytosol",3.532%, 7.056,-0.078,2.601,-18.1367,0.659,0.000,5829,0
GO:0005912,"adherens junction",0.311%,-4.502,-2.368,1.556,-2.9245,0.964,0.000,5912,0
GO:0030054,"cell junction",1.828%,-2.458,-1.552,2.316,-1.6484,0.978,0.000,30054,0
GO:0045121,"membrane raft",0.701%, 3.247,-5.238,1.903,-9.9586,0.833,0.000,45121,0
GO:0014069,"postsynaptic density",0.062%, 0.146,-3.058,0.903,-1.6834,0.827,0.048,14069,0
GO:0019898,"extrinsic component of membrane",0.967%,-5.559,-0.298,2.041,-2.9666,0.955,0.051,19898,0
GO:0016323,"basolateral plasma membrane",0.355%,-2.683,-4.271,1.613,-5.5850,0.854,0.057,16323,0
GO:0016324,"apical plasma membrane",0.550%,null,null,1.799,-4.7212,0.839,0.739,16323,1
GO:0045179,"apical cortex",0.053%,null,null,0.845,-1.8520,0.705,0.786,16323,1
GO:0030424,"axon",1.393%, 1.378,-5.460,2.199,-1.8778,0.848,0.067,30424,0
GO:0098793,"presynapse",0.754%,null,null,1.934,-1.7476,0.842,0.723,30424,1
GO:0016235,"aggresome",0.044%,-4.160,-0.566,0.778,-2.5272,0.872,0.076,16235,0
GO:0005667,"transcription factor complex",0.976%,-3.600, 4.293,2.045,-3.5850,0.755,0.105,5667,0
GO:0005737,"cytoplasm",29.000%, 2.984,-1.853,3.514,-24.6990,0.780,0.183,5737,0
GO:0044841,"gut granule membrane",0.027%, 7.107, 3.208,0.602,-2.1051,0.600,0.229,44841,0
GO:0000407,"pre-autophagosomal structure",0.106%, 7.199,-1.562,1.114,-2.4145,0.741,0.260,407,0
GO:0005634,"nucleus",19.673%, 4.347, 3.337,3.346,-18.3979,0.675,0.293,5634,0
GO:0031588,"nucleotide-activated protein kinase complex",0.018%,-4.458, 3.839,0.477,-2.9469,0.802,0.296,31588,0
GO:0022625,"cytosolic large ribosomal subunit",0.426%, 2.093, 4.326,1.690,-4.8239,0.551,0.301,22625,0
GO:0005777,"peroxisome",0.435%, 7.047, 0.813,1.699,-7.9208,0.672,0.301,5777,0
GO:0005778,"peroxisomal membrane",0.106%,null,null,1.114,-1.9901,0.565,0.882,5777,1
GO:0048471,"perinuclear region of cytoplasm",0.710%, 7.017,-0.796,1.908,-3.6990,0.703,0.319,48471,0
GO:0005764,"lysosome",0.852%, 6.443, 0.851,1.987,-4.9586,0.619,0.326,5764,0
GO:0005765,"lysosomal membrane",0.248%,null,null,1.462,-1.9516,0.518,0.874,5764,1
GO:0005776,"autophagosome",0.115%,null,null,1.146,-1.4951,0.671,0.752,5764,1
GO:0005774,"vacuolar membrane",0.470%,null,null,1.732,-1.6542,0.498,0.936,5764,1
GO:0005759,"mitochondrial matrix",1.003%, 5.505, 4.267,2.057,-5.2596,0.581,0.333,5759,0
GO:0005743,"mitochondrial inner membrane",1.526%,null,null,2.238,-1.6343,0.491,0.944,5759,1
GO:0031966,"mitochondrial membrane",1.881%,null,null,2.328,-2.2062,0.482,0.804,5759,1
GO:0005811,"lipid particle",0.142%,-0.960, 5.682,1.230,-2.1457,0.753,0.337,5811,0
GO:1990904,"ribonucleoprotein complex",4.206%,-4.157, 4.906,2.677,-1.6295,0.857,0.361,1990904,0
GO:0016328,"lateral plasma membrane",0.062%,-2.859,-4.071,0.903,-1.3885,0.875,0.370,16328,0
GO:0000159,"protein phosphatase type 2A complex",0.062%,-4.634, 4.043,0.903,-2.2197,0.801,0.373,159,0
