term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0003700,"transcription factor activity, sequence-specific DNA binding",5.518%,-4.270, 4.767,2.719,-2.3468,0.978,0.000,3700,0
GO:0003707,"steroid hormone receptor activity",0.454%,-1.817,-0.186,1.643,-4.4559,0.977,0.000,3707,0
GO:0003735,"structural constituent of ribosome",1.498%,-2.051, 1.832,2.155,-2.6968,0.965,0.000,3735,0
GO:0003824,"catalytic activity",43.838%,-3.485, 3.510,3.619,-3.7212,0.987,0.000,3824,0
GO:0005096,"GTPase activator activity",0.749%, 0.426, 1.866,1.857,-3.5850,0.951,0.000,5096,0
GO:0005198,"structural molecule activity",4.379%,-3.787, 1.423,2.619,-1.4227,0.978,0.000,5198,0
GO:0015562,"efflux transmembrane transporter activity",0.074%,-1.737,-5.066,0.903,-1.5346,0.926,0.000,15562,0
GO:0016887,"ATPase activity",2.733%, 2.281,-7.270,2.415,-3.3768,0.856,0.000,16887,0
GO:0004386,"helicase activity",1.129%,null,null,2.033,-1.7208,0.864,0.716,16887,1
GO:0051082,"unfolded protein binding",0.475%,-8.399, 1.383,1.663,-5.4685,0.871,0.000,51082,0
GO:0008139,"nuclear localization sequence binding",0.116%,-3.907, 4.100,1.079,-1.5346,0.942,0.037,8139,0
GO:0051539,"4 iron, 4 sulfur cluster binding",0.264%,-0.990,-0.144,1.415,-1.6830,0.940,0.040,51539,0
GO:0019843,"rRNA binding",0.317%, 3.884, 3.764,1.491,-2.2924,0.891,0.041,19843,0
GO:0000287,"magnesium ion binding",0.422%, 2.080, 7.666,1.613,-3.9586,0.891,0.042,287,0
GO:0003682,"chromatin binding",0.654%,-1.325, 6.197,1.799,-2.5670,0.925,0.044,3682,0
GO:0008289,"lipid binding",1.540%,-3.292, 1.047,2.167,-1.3567,0.933,0.049,8289,0
GO:0003997,"acyl-CoA oxidase activity",0.074%, 3.841,-0.054,0.903,-2.1785,0.908,0.086,3997,0
GO:0003756,"protein disulfide isomerase activity",0.190%,-2.738,-1.537,1.279,-2.4828,0.932,0.094,3756,0
GO:0015020,"glucuronosyltransferase activity",0.855%, 2.641,-3.043,1.914,-3.3098,0.890,0.111,15020,0
GO:0030170,"pyridoxal phosphate binding",0.517%, 3.881, 6.125,1.699,-3.6383,0.814,0.155,30170,0
GO:0050660,"flavin adenine dinucleotide binding",0.707%,null,null,1.833,-1.9230,0.803,0.745,30170,1
GO:0016787,"hydrolase activity",17.567%, 0.978,-5.355,3.222,-1.5815,0.912,0.173,16787,0
GO:0070530,"K63-linked polyubiquitin binding",0.011%,-6.078, 0.401,0.301,-2.5406,0.884,0.178,70530,0
GO:0017147,"Wnt-protein binding",0.032%,-6.747,-0.701,0.602,-1.4905,0.890,0.193,17147,0
GO:0030544,"Hsp70 protein binding",0.032%,-6.762, 1.909,0.602,-1.8453,0.890,0.193,30544,0
GO:0005080,"protein kinase C binding",0.042%,-8.195, 1.611,0.699,-2.5406,0.860,0.197,5080,0
GO:0008199,"ferric iron binding",0.032%, 1.019, 6.057,0.602,-1.4519,0.904,0.204,8199,0
GO:0008013,"beta-catenin binding",0.106%,-7.805,-0.091,1.041,-1.9547,0.882,0.212,8013,0
GO:0008022,"protein C-terminus binding",0.127%,-7.600, 1.055,1.114,-2.3615,0.881,0.215,8022,0
GO:0051087,"chaperone binding",0.190%,-8.001, 1.389,1.279,-1.5727,0.878,0.223,51087,0
GO:0019905,"syntaxin binding",0.295%,-7.612, 0.350,1.462,-1.5727,0.875,0.232,19905,0
GO:0004017,"adenylate kinase activity",0.053%, 4.411,-2.688,0.778,-1.8150,0.907,0.237,4017,0
