WBGeneID,SYMBOL,elt2_detected_in_L1,dineen_set,cluster.description,bound_class
WBGene00000007,aat-6,Direct,SET6,Increasing,ClassA
WBGene00000007,aat-6,Direct,SET6,Increasing,ClassA
WBGene00000008,aat-7,Direct,SET6,Increasing,ClassA
WBGene00000009,aat-8,Indirect,SET3,Not_Changing,NA
WBGene00000013,abf-2,Indirect,SET1,Not_Bound,NA
WBGene00000016,abf-5,Indirect,SET1,Not_Bound,NA
WBGene00000017,abf-6,Indirect,SET1,Not_Bound,NA
WBGene00000020,abt-2,Indirect,SET2,Not_Bound,NA
WBGene00000022,abt-4,Indirect,SET2,Increasing,NA
WBGene00000033,abu-10,Indirect,SET1,Not_Bound,NA
WBGene00000034,abu-11,Indirect,SET2,Not_Bound,NA
WBGene00000044,acr-5,Indirect,SET6,L3_High,NA
WBGene00000058,acr-19,Indirect,SET6,Not_Bound,NA
WBGene00000064,act-2,Direct,SET2,L3_High,ClassD
WBGene00000064,act-2,Direct,SET2,L3_High,ClassD
WBGene00000066,act-4,Indirect,SET5,Not_Changing,NA
WBGene00000067,act-5,Direct,SET2,Larval,ClassC
WBGene00000067,act-5,Direct,SET2,Increasing,ClassC
WBGene00000081,ads-1,Direct,SET6,Increasing,ClassA
WBGene00000081,ads-1,Direct,SET6,L3_High,ClassA
WBGene00000083,adt-2,Indirect,SET6,Not_Bound,NA
WBGene00000084,aex-1,Indirect,SET3,Increasing,NA
WBGene00000088,aex-5,Indirect,SET2,Larval,NA
WBGene00000088,aex-5,Indirect,SET2,Increasing,NA
WBGene00000107,alh-1,Direct,SET6,Increasing,ClassA
WBGene00000107,alh-1,Direct,SET6,Increasing,ClassA
WBGene00000109,alh-3,Indirect,SET6,Increasing,NA
WBGene00000109,alh-3,Indirect,SET6,Embryo_Specific,NA
WBGene00000109,alh-3,Indirect,SET6,L3_High,NA
WBGene00000136,amt-4,Direct,SET6,Increasing,ClassA
WBGene00000136,amt-4,Direct,SET6,Larval,ClassA
WBGene00000136,amt-4,Direct,SET6,Increasing,ClassA
WBGene00000139,amx-3,Indirect,SET6,Not_Bound,NA
WBGene00000144,apc-10,Indirect,SET2,Not_Bound,NA
WBGene00000172,aqp-4,Direct,SET3,Increasing,ClassB
WBGene00000172,aqp-4,Direct,SET3,Increasing,ClassB
WBGene00000172,aqp-4,Direct,SET3,Increasing,ClassB
WBGene00000200,arx-2,Indirect,SET2,Increasing,NA
WBGene00000200,arx-2,Indirect,SET2,L3_High,NA
WBGene00000208,trip-4,Indirect,SET2,L3_High,NA
WBGene00000208,trip-4,Indirect,SET2,Increasing,NA
WBGene00000208,trip-4,Indirect,SET2,Increasing,NA
WBGene00000212,asm-2,Direct,SET3,Larval,ClassB
WBGene00000212,asm-2,Direct,SET3,Increasing,ClassB
WBGene00000213,asm-3,Indirect,SET6,Increasing,NA
WBGene00000213,asm-3,Indirect,SET6,Larval,NA
WBGene00000214,asp-1,Direct,SET6,Larval,ClassA
WBGene00000214,asp-1,Direct,SET6,Increasing,ClassA
WBGene00000214,asp-1,Direct,SET6,Larval,ClassA
WBGene00000214,asp-1,Direct,SET6,Larval,ClassA
WBGene00000215,T18H9.11,Direct,SET6,Increasing,ClassA
WBGene00000215,asp-2,Direct,SET6,Increasing,ClassA
WBGene00000215,T18H9.11,Direct,SET6,Increasing,ClassA
WBGene00000215,asp-2,Direct,SET6,Increasing,ClassA
WBGene00000216,asp-3,Direct,SET3,Larval,ClassB
WBGene00000216,asp-3,Direct,SET3,Increasing,ClassB
WBGene00000216,asp-3,Direct,SET3,Increasing,ClassB
WBGene00000218,asp-5,Direct,SET6,Increasing,ClassA
WBGene00000218,asp-5,Direct,SET6,Larval,ClassA
WBGene00000218,asp-5,Direct,SET6,Increasing,ClassA
WBGene00000219,asp-6,Direct,SET3,Increasing,ClassB
WBGene00000219,asp-6,Direct,SET3,Increasing,ClassB
WBGene00000220,atf-2,Indirect,SET1,Not_Bound,NA
WBGene00000228,atn-1,Indirect,SET2,L3_High,NA
WBGene00000228,atn-1,Indirect,SET2,Increasing,NA
WBGene00000228,atn-1,Indirect,SET2,Increasing,NA
WBGene00000250,bir-2,Indirect,SET2,Not_Bound,NA
WBGene00000257,bmk-1,Indirect,SET2,Not_Bound,NA
WBGene00000264,brc-1,Direct,SET2,L3_High,ClassD
WBGene00000264,brc-1,Direct,SET2,Increasing,ClassD
WBGene00000264,brc-1,Direct,SET2,Increasing,ClassD
WBGene00000264,brc-1,Direct,SET2,Increasing,ClassD
WBGene00000265,brd-1,Indirect,SET2,Not_Changing,NA
WBGene00000274,btf-1,Direct,SET2,L3_High,ClassD
WBGene00000294,cas-1,Direct,SET2,Increasing,ClassD
WBGene00000294,cas-1,Direct,SET2,Increasing,ClassD
WBGene00000302,cav-2,Direct,SET6,Increasing,ClassA
WBGene00000372,cyp-13A7,Indirect,SET6,Not_Bound,NA
WBGene00000395,cdh-3,Indirect,SET6,Not_Bound,NA
WBGene00000396,cdh-4,Indirect,SET6,Not_Bound,NA
WBGene00000397,cdh-5,Indirect,SET3,L3_High,NA
WBGene00000420,ced-6,Indirect,SET2,Not_Bound,NA
WBGene00000425,ced-11,Indirect,SET6,Not_Bound,NA
WBGene00000431,ceh-6,Indirect,SET6,Not_Bound,NA
WBGene00000465,cpg-1,Indirect,SET2,Not_Bound,NA
WBGene00000467,cep-1,Indirect,SET2,Not_Bound,NA
WBGene00000473,cey-2,Indirect,SET2,Not_Bound,NA
WBGene00000474,cey-3,Indirect,SET1,Not_Bound,NA
WBGene00000480,cgp-1,Indirect,SET2,Not_Bound,NA
WBGene00000485,che-3,Indirect,SET6,Not_Bound,NA
WBGene00000490,che-11,Indirect,SET6,Not_Bound,NA
WBGene00000503,cht-1,Indirect,SET6,Not_Bound,NA
WBGene00000513,ckb-3,Indirect,SET2,Not_Bound,NA
WBGene00000515,ckc-1,Direct,SET6,Increasing,ClassA
WBGene00000515,ckc-1,Direct,SET6,Increasing,ClassA
WBGene00000522,clc-1,Direct,SET2,Increasing,ClassD
WBGene00000535,cpi-1,Indirect,SET2,Larval,NA
WBGene00000541,cln-3.3,Direct,SET3,Larval,ClassB
WBGene00000541,cln-3.3,Direct,SET3,L3_High,ClassB
WBGene00000546,clp-6,Indirect,SET2,Not_Bound,NA
WBGene00000549,cls-2,Indirect,SET2,Not_Bound,NA
WBGene00000561,cnd-1,Indirect,SET6,Embryo_Specific,NA
WBGene00000562,cng-1,Direct,SET1,Not_Changing,ClassD
WBGene00000583,cof-2,Indirect,SET2,Not_Bound,NA
WBGene00000592,coh-3,Indirect,SET2,Not_Bound,NA
WBGene00000594,col-117,Indirect,SET6,L3_High,NA
WBGene00000594,col-3,Indirect,SET6,L3_High,NA
WBGene00000606,col-17,Indirect,SET5,Not_Bound,NA
WBGene00000611,col-34,Indirect,SET6,Not_Bound,NA
WBGene00000652,col-76,Direct,SET2,Larval,ClassC
WBGene00000666,col-91,Indirect,SET5,Not_Bound,NA
WBGene00000674,col-99,Indirect,SET2,L3_High,NA
WBGene00000675,col-101,Indirect,SET1,Not_Bound,NA
WBGene00000677,col-103,Indirect,SET5,Not_Bound,NA
WBGene00000681,col-107,Indirect,SET5,Not_Bound,NA
WBGene00000691,col-117,Indirect,SET6,L3_High,NA
