WBGeneID,intestine_dev_cluster
WBGene00000142,Adult
WBGene00000182,Embryonic
WBGene00000382,Adult
WBGene00000391,L1
WBGene00000522,Post-embryonic
WBGene00000871,Adult
WBGene00000931,Adult
WBGene00000970,Embryonic
WBGene00001019,Embryonic
WBGene00001094,Post-embryonic
WBGene00001193,Embryonic
WBGene00001228,Adult
WBGene00001508,Embryonic
WBGene00001563,Embryonic
WBGene00001564,L1
WBGene00001602,Post-embryonic
WBGene00001620,Post-embryonic
WBGene00002007,Post-embryonic
WBGene00002023,Embryonic
WBGene00002146,Embryonic
WBGene00002231,Adult
WBGene00002850,Adult
WBGene00002855,Adult
WBGene00002980,Embryonic
WBGene00002982,Embryonic
WBGene00002985,Adult
WBGene00003010,Embryonic
WBGene00003026,Post-embryonic
WBGene00003043,Embryonic
WBGene00003053,Adult
WBGene00003096,Post-embryonic
WBGene00003160,Adult
WBGene00003214,Post-embryonic
WBGene00003526,Embryonic
WBGene00003640,Embryonic
WBGene00003690,L1
WBGene00003695,L1
WBGene00003769,L1
WBGene00003800,Adult
WBGene00003828,Post-embryonic
WBGene00003831,Post-embryonic
WBGene00003870,Adult
WBGene00003931,Embryonic
WBGene00004059,Embryonic
WBGene00004202,Embryonic
WBGene00004267,Embryonic
WBGene00004303,Post-embryonic
WBGene00004310,Embryonic
WBGene00004425,Post-embryonic
WBGene00004426,Post-embryonic
WBGene00004431,L1
WBGene00004437,Adult
WBGene00004443,Post-embryonic
WBGene00004452,Post-embryonic
WBGene00004454,L1
WBGene00004460,Adult
WBGene00005007,Adult
WBGene00006404,Post-embryonic
WBGene00006467,Embryonic
WBGene00006510,Adult
WBGene00006635,Embryonic
WBGene00006724,Post-embryonic
WBGene00006739,Embryonic
WBGene00007107,Embryonic
WBGene00007112,Post-embryonic
WBGene00007129,Post-embryonic
WBGene00007130,Embryonic
WBGene00007131,Embryonic
WBGene00007153,Post-embryonic
WBGene00007185,Embryonic
WBGene00007186,Adult
WBGene00007219,L1
WBGene00007223,Embryonic
WBGene00007228,Embryonic
WBGene00007333,Adult
WBGene00007336,Post-embryonic
WBGene00007349,Embryonic
WBGene00007350,Post-embryonic
WBGene00007362,Post-embryonic
