WBGeneID,Sequence.name,Public_name,blazie_mixed,hashimshony_emb,pauli_L4,spencer_LE,spencer_L2
WBGene00000002,F27C8.1,aat-1,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000005,T13A10.10,aat-4,FALSE,FALSE,FALSE,TRUE,FALSE
WBGene00000007,T11F9.4,aat-6,TRUE,FALSE,FALSE,FALSE,TRUE
WBGene00000009,F28F9.4,aat-8,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000018,M79.1,abl-1,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000020,F12B6.1,abt-2,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000022,Y39D8C.1,abt-4,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000036,Y44E3A.2,ace-2,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000040,ZK455.1,aco-1,FALSE,FALSE,TRUE,TRUE,FALSE
WBGene00000050,D2092.3,acr-11,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000067,T25C8.2,act-5,FALSE,TRUE,FALSE,TRUE,FALSE
WBGene00000070,C44F1.5,acy-3,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000073,F57F5.4,add-2,TRUE,FALSE,FALSE,TRUE,FALSE
WBGene00000075,ZK154.7,adm-4,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000079,H15N14.1,adr-1,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000080,T20H4.4,adr-2,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000084,D2030.10,aex-1,TRUE,FALSE,FALSE,FALSE,TRUE
WBGene00000086,C02H7.3,aex-3,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000088,F32A7.6,aex-5,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000092,F32A6.4,ags-3,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000093,Y62E10A.5,agt-1,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000095,C25A1.11,aha-1,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000097,F58E10.4,aip-1,TRUE,FALSE,TRUE,FALSE,FALSE
WBGene00000098,K07C11.2,air-1,FALSE,FALSE,FALSE,TRUE,FALSE
WBGene00000103,F28H6.1,akt-2,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000106,T07D3.7,alg-2,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000107,F54D8.3,alh-1,FALSE,FALSE,TRUE,TRUE,FALSE
WBGene00000109,F36H1.6,alh-3,FALSE,FALSE,FALSE,TRUE,FALSE
WBGene00000111,T08B1.3,alh-5,TRUE,TRUE,FALSE,TRUE,FALSE
WBGene00000115,F01F1.6,alh-9,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000116,C54D1.4,alh-10,FALSE,TRUE,FALSE,FALSE,FALSE
WBGene00000117,F42G9.5,alh-11,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000118,Y69F12A.2,alh-12,FALSE,TRUE,FALSE,FALSE,FALSE
WBGene00000121,F23B2.6,aly-2,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000122,M18.7,aly-3,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000136,C05E11.5,amt-4,TRUE,FALSE,FALSE,TRUE,FALSE
WBGene00000137,R13G10.2,amx-1,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000139,F25C8.2,amx-3,TRUE,FALSE,FALSE,TRUE,TRUE
WBGene00000142,C08B6.9,aos-1,TRUE,FALSE,FALSE,FALSE,FALSE
