WBGeneID,emb_510min,emb_548min,emb_587min,emb_626min,emb_665min,L1,L2,L3,L4,YA,Sequence.name,Public_name,blazie_mixed,hashimshony_emb,pauli_L4,spencer_LE,spencer_L2,cluster.description
WBGene00000142,1.4356,1.3196,1.1767,0.7189,0.7738,1.03926,0.883683,1.18865,1.33735,2.52823,C08B6.9,aos-1,TRUE,FALSE,FALSE,FALSE,FALSE,Not_Changing
WBGene00000182,21.914,19.7477,17.9633,16.7266,15.5397,11.5192,11.6811,11.7327,11.0642,9.93968,B0336.2,arf-1.2,FALSE,FALSE,TRUE,FALSE,FALSE,Increasing
WBGene00000211,0.1373,0.1164,0.1247,0.1212,0.1357,0.242561,0.202029,0.14244,0.185435,0.1925,B0252.2,asm-1,FALSE,TRUE,TRUE,FALSE,FALSE,L3_High
WBGene00000239,0.5339,0.4842,0.4997,0.5371,0.5373,0.692986,0.616891,0.891858,0.530536,0.553037,C05D2.4,bas-1,TRUE,FALSE,TRUE,FALSE,FALSE,Increasing
WBGene00000285,0.5676,0.5349,0.5869,0.6358,0.6516,0.991812,0.653946,0.42985,0.450672,0.360093,C13C12.1,cal-1,TRUE,FALSE,FALSE,FALSE,FALSE,Larval
WBGene00000382,0.5037,0.459,0.3307,0.3542,0.2448,0.372619,0.371558,0.408766,0.631206,1.40084,C43E11.10,cdc-6,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00000391,0.7715,0.7956,0.9209,1.158,1.3961,1.59117,1.07365,0.952444,1.28944,0.41642,C47D2.2,cdd-1,TRUE,TRUE,TRUE,TRUE,FALSE,Larval
WBGene00000522,0.3568,0.2886,0.2979,0.317,0.3552,0.314977,0.938309,0.782942,1.0296,0.846272,C09F12.1,clc-1,TRUE,FALSE,TRUE,FALSE,TRUE,Increasing
WBGene00000532,0.7767,0.7619,0.8205,0.7131,0.6945,0.850044,0.712111,0.781655,0.607994,1.3315,C07H4.2,clh-5,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00000761,1.0226,1.0102,1.0366,1.0025,1.0397,1.17942,0.978092,1.00416,0.692064,1.39619,C24A11.9,coq-1,TRUE,FALSE,FALSE,FALSE,FALSE,Larval
WBGene00000871,0.3363,0.3978,0.2523,0.1683,0.1613,0.171574,0.14506,0.269298,0.652305,1.62791,C37A2.4,cye-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00000931,2.117,1.8132,2.0035,1.9478,2.0189,2.3952,1.60198,1.82337,2.27094,2.56728,C25A1.10,dao-5,FALSE,FALSE,FALSE,TRUE,FALSE,L3_High
WBGene00000970,2.5048,1.8339,1.5198,1.496,0.76,1.42354,1.06339,1.15392,1.4006,1.43008,C17G10.8,dhs-6,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00001007,1.7875,1.5695,1.4881,1.4639,1.5989,1.87146,1.51193,1.54088,1.32719,1.74545,C39E9.14,dli-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00001019,2.0745,1.8753,1.7809,1.8161,1.926,1.19705,1.07883,1.10421,1.0162,1.75002,B0035.14,dnj-1,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00001094,2.606,2.0698,1.6197,1.567,1.253,5.21875,5.7157,6.67397,4.02998,6.93609,B0464.1,dars-1,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00001193,1.9372,1.6764,1.4952,1.5151,1.2585,0.359447,0.393218,0.21524,0.272739,0.300625,C23H3.1,egl-26,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00001228,0.8318,0.71,0.6416,0.4651,0.1867,3.0461,1.84577,1.94053,1.8032,2.21388,B0511.10,eif-3.E,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00001508,1.6865,1.6085,1.6182,1.7462,1.8013,0.33558,0.709192,0.447348,0.428756,0.33042,C10F3.6,fut-8,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00001563,0.878,0.8584,1.002,1.0867,1.0521,0.347726,0.332769,0.346347,0.536031,0.895876,C05C8.4,gei-6,TRUE,FALSE,FALSE,FALSE,FALSE,Embryo_Specific
WBGene00001564,8.0776,12.2799,12.1738,13.4464,14.043,56.616,8.86644,3.42414,5.48455,1.97621,C05E4.9,icl-1,FALSE,TRUE,FALSE,TRUE,FALSE,Larval
WBGene00001602,0.6238,0.4491,0.2543,0.3191,0.2896,0.668217,1.37661,0.87331,0.439641,0.611203,C45B2.5,gln-1,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00001620,0.5393,0.8108,0.7934,0.7102,0.6619,3.34744,2.48671,4.37788,1.67435,2.22905,C12D12.2,glt-1,TRUE,FALSE,FALSE,FALSE,FALSE,Larval
WBGene00001646,0.5532,0.6705,0.3763,0.1535,0,0.393061,0.475554,0.385521,0.365363,0.206572,B0024.12,gna-1,FALSE,FALSE,TRUE,FALSE,FALSE,Not_Changing
WBGene00001697,0.0176,0.0108,0.0226,0.027,0.0299,0.0078352,0.00166052,5.02821e-4,0.00229249,0.00107659,C37C3.4,grd-8,FALSE,FALSE,TRUE,FALSE,FALSE,Larval
