WBGeneID,class
WBGene00000007,Target Gene Class A1
WBGene00000008,Target Gene Class A1
WBGene00000064,Target Gene Class C
WBGene00000067,Target Gene Class B
WBGene00000081,Target Gene Class A1
WBGene00000107,Target Gene Class A1
WBGene00000136,Target Gene Class A1
WBGene00000172,Target Gene Class A2
WBGene00000212,Target Gene Class A2
WBGene00000214,Target Gene Class A1
WBGene00000215,Target Gene Class A1
WBGene00000216,Target Gene Class A2
WBGene00000218,Target Gene Class A1
WBGene00000219,Target Gene Class A2
WBGene00000264,Target Gene Class C
WBGene00000274,Target Gene Class C
WBGene00000294,Target Gene Class C
WBGene00000302,Target Gene Class A1
WBGene00000515,Target Gene Class A1
WBGene00000522,Target Gene Class C
WBGene00000541,Target Gene Class A2
WBGene00000562,Target Gene Class C
WBGene00000652,Target Gene Class B
WBGene00000781,Target Gene Class C
WBGene00000783,Target Gene Class B
WBGene00000784,Target Gene Class A2
WBGene00000786,Target Gene Class A1
WBGene00000789,Target Gene Class A1
WBGene00000793,Target Gene Class A1
WBGene00000802,Target Gene Class C
WBGene00000885,Target Gene Class C
WBGene00000966,Target Gene Class A1
WBGene00000971,Target Gene Class A1
WBGene00000977,Target Gene Class A1
WBGene00001046,Target Gene Class C
WBGene00001099,Target Gene Class A2
WBGene00001137,Target Gene Class B
WBGene00001149,Target Gene Class B
WBGene00001157,Target Gene Class A1
WBGene00001158,Target Gene Class B
WBGene00001163,Target Gene Class A1
WBGene00001243,Target Gene Class A2
WBGene00001247,Target Gene Class B
WBGene00001413,Target Gene Class C
WBGene00001468,Target Gene Class A2
WBGene00001500,Target Gene Class A2
WBGene00001501,Target Gene Class B
WBGene00001506,Target Gene Class B
WBGene00001578,Target Gene Class A2
WBGene00001581,Target Gene Class A2
WBGene00001597,Target Gene Class C
WBGene00001638,Target Gene Class B
WBGene00001663,Target Gene Class A1
WBGene00001670,Target Gene Class A1
WBGene00001681,Target Gene Class A1
WBGene00001745,Target Gene Class A1
WBGene00001749,Target Gene Class C
WBGene00001754,Target Gene Class A1
WBGene00001758,Target Gene Class A1
WBGene00001770,Target Gene Class B
WBGene00001774,Target Gene Class A1
WBGene00001784,Target Gene Class B
WBGene00001786,Target Gene Class A1
WBGene00001794,Target Gene Class C
WBGene00001795,Target Gene Class A2
WBGene00001814,Target Gene Class A1
WBGene00001819,Target Gene Class A1
WBGene00001863,Target Gene Class C
WBGene00001898,Target Gene Class A1
WBGene00001994,Target Gene Class A1
WBGene00002005,Target Gene Class C
WBGene00002016,Target Gene Class C
WBGene00002021,Target Gene Class C
WBGene00002025,Target Gene Class A1
WBGene00002032,Target Gene Class C
WBGene00002038,Target Gene Class B
WBGene00002041,Target Gene Class B
WBGene00002043,Target Gene Class B
WBGene00002054,Target Gene Class A2
WBGene00002055,Target Gene Class A2
WBGene00002057,Target Gene Class A2
WBGene00002058,Target Gene Class A2
WBGene00002068,Target Gene Class C
WBGene00002073,Target Gene Class C
WBGene00002094,Target Gene Class B
WBGene00002095,Target Gene Class A2
WBGene00002118,Target Gene Class A1
WBGene00002137,Target Gene Class A2
WBGene00002188,Target Gene Class A1
WBGene00002234,Target Gene Class A2
WBGene00002255,Target Gene Class C
WBGene00002259,Target Gene Class A1
WBGene00002260,Target Gene Class B
WBGene00002263,Target Gene Class C
WBGene00002264,Target Gene Class C
WBGene00002269,Target Gene Class C
WBGene00002271,Target Gene Class C
WBGene00002273,Target Gene Class B
WBGene00002274,Target Gene Class B
WBGene00002275,Target Gene Class C
WBGene00002276,Target Gene Class C
WBGene00002280,Target Gene Class C
WBGene00002299,Target Gene Class A1
WBGene00002497,Target Gene Class C
WBGene00002915,Target Gene Class A1
WBGene00003056,Target Gene Class B
WBGene00003090,Target Gene Class A1
WBGene00003091,Target Gene Class A2
WBGene00003093,Target Gene Class A1
WBGene00003096,Target Gene Class A1
WBGene00003097,Target Gene Class B
