WBGeneID,wt_sorted_1,wt_sorted_2,wt_sorted_3,wt_sorted_4,elt7D_sorted_1,elt7D_sorted_2,elt7D_sorted_3,elt2D_sorted_1,elt2D_sorted_2,elt2D_sorted_3,elt2D_sorted_4,elt2Delt7D_sorted_1,elt2Delt7D_sorted_2,elt2Delt7D_sorted_3
WBGene00000007,8879,9060,8959,9098,8848,8567,8232,7702,7779,7405,7525,7522,7576,7601
WBGene00000008,2164,1885,1907,1874,1632,1533,1639,1551,1397,1520,1425,1383,1489,1440
WBGene00000064,15146,14941,15426,15461,15180,14983,15130,2700,2554,2537,2682,2609,2736,3015
WBGene00000067,3795,3610,3824,3513,4032,3940,3965,4636,4530,4507,4548,4042,4128,4436
WBGene00000081,3585,3282,3381,3176,3751,3556,3577,14824,15562,14777,15433,10596,10478,10950
WBGene00000107,3203,3403,3106,3469,3730,3609,3782,2596,16607,2798,2451,3525,3408,3124
WBGene00000136,15565,15337,15730,15450,15643,14673,14732,10983,10537,11244,10738,7895,8035,8327
WBGene00000172,13525,13715,12763,13197,13572,12303,12207,14266,14715,13972,14678,8194,7981,8449
WBGene00000212,11546,12798,11715,12049,11980,13072,13192,13449,13447,13719,13628,7652,7760,7809
WBGene00000214,4624,4533,4641,4481,4687,4621,4625,4137,4310,4048,4324,14681,15701,3005
WBGene00000215,3468,3649,3443,3315,3550,3102,3271,9671,9999,10763,10410,9214,9326,10160
WBGene00000216,4452,4408,4457,4284,4497,4425,4443,4647,4600,4555,4591,13058,13978,14354
WBGene00000218,4436,4404,4459,4237,4472,4401,4400,2998,3399,3146,3250,11226,12126,13207
WBGene00000219,4531,4479,4536,4378,4585,4515,4533,4806,4731,4673,4740,2858,3542,3963
WBGene00000264,7852,8155,8531,8493,8382,8266,8461,9294,9407,9348,9510,9568,9648,9936
WBGene00000274,12621,12507,12651,12503,13526,13481,13480,14661,14486,14632,14657,14468,14754,14836
WBGene00000294,15997,16062,16186,15622,16352,16331,16296,2981,2878,2834,2877,3145,3135,3605
WBGene00000302,14370,14419,12783,14020,13580,13689,13661,7750,8062,8126,8404,8399,7895,8609
WBGene00000515,15163,14860,15612,15378,14832,14402,14022,12901,12604,13371,13415,12546,12818,11466
WBGene00000522,14138,14154,13287,13662,14035,13619,14131,3956,3572,3572,3626,3297,3055,3463
WBGene00000541,13962,14031,13710,13328,12964,12962,12040,15653,16022,15621,15989,11714,11470,11265
WBGene00000562,7519,7665,7716,8074,7328,7856,7709,7978,7895,7478,7940,10140,9693,9886
WBGene00000652,7876,7953,7788,7740,8500,7920,8512,9048,8955,9190,8815,8190,8653,9046
WBGene00000781,12937,15188,13407,13315,15294,15011,16324,2713,15718,16002,15158,3679,3522,4032
WBGene00000783,14040,13997,13887,13650,14395,14430,14515,4467,4297,4329,4272,15763,15902,16029
WBGene00000784,16195,2747,15772,2602,16204,14767,2428,4653,4608,4563,4609,9419,9456,11543
WBGene00000786,3441,3478,3440,3204,3496,3391,3684,10286,9935,10118,10043,9052,9104,9119
WBGene00000789,4279,4258,4184,4180,4335,4262,4246,12752,13341,12766,13132,9857,9805,10040
WBGene00000793,14512,14757,14856,14086,3302,3105,3226,14706,14908,14552,14856,14615,14571,15972
WBGene00000802,4271,4244,4404,4241,4394,4387,4442,4744,4655,4591,4635,4467,4509,4702
WBGene00000885,7472,7621,7491,7094,7399,7271,7338,8526,8643,8269,8628,8784,9020,8674
WBGene00000971,8303,8081,8183,7703,8129,8107,7910,6590,6576,6648,6787,6524,6291,6758
WBGene00000977,8678,8680,8581,9040,9208,8830,9580,7883,7367,7400,7774,7983,8046,7753
WBGene00001046,8284,7488,7660,8076,8104,8380,8054,9257,9201,9167,9090,9533,9855,9284
WBGene00001099,15857,15407,15535,14947,15792,15086,15344,16422,16527,16448,16185,10198,10922,11350
WBGene00001137,4597,4488,4590,4472,4606,4542,4551,4813,4718,4676,4730,4549,4569,4769
WBGene00001149,3702,4001,3801,3735,3865,3764,3773,4588,4538,4453,4513,4174,4157,4329
WBGene00001157,3603,2743,3370,3254,2976,2834,2597,16434,15904,16473,2460,15718,15511,15403
WBGene00001158,9268,9321,8143,8522,7741,8443,8645,16057,16389,15391,16298,6802,6586,7313
WBGene00001163,16590,16202,2744,2467,16187,15963,15993,14674,14373,14539,14372,14519,14131,14590
WBGene00001243,13413,13588,15712,14021,14125,13319,13456,13382,13260,13099,12612,7913,8092,8300
WBGene00001247,10143,9666,10427,9705,10066,10671,9419,14208,13830,14013,13566,12955,13101,12913
WBGene00001413,7616,7860,7523,7933,8051,7627,8046,10687,10473,10416,10630,10429,10161,10156
WBGene00001468,9249,9113,9027,9179,9022,8367,8565,8792,8670,8580,9218,6694,6901,7353
WBGene00001500,10089,10607,10064,10808,10665,10830,11096,10641,10741,11658,11501,8041,7679,8385
WBGene00001501,3572,3460,3317,3536,3589,3075,3394,4400,4302,4286,4349,3733,3676,3913
WBGene00001506,11232,11650,10566,11467,11227,10575,11527,15753,14792,15042,15423,12665,12393,11600
WBGene00001578,15964,16220,15737,16276,15655,14629,15556,16306,16427,16421,16692,13829,14520,14045
WBGene00001581,11521,11227,11744,10892,16033,15305,15439,13919,13300,13925,13486,8228,8914,8985
WBGene00001597,6668,6662,7154,7375,7311,7860,7799,10959,11293,11281,11179,11630,11607,12177
WBGene00001638,12677,12830,12638,12467,12223,12152,12209,15289,15154,15217,15154,12566,12500,12478
WBGene00001663,11298,10822,11202,11350,10982,10835,10912,9899,9176,10002,9642,9902,9993,9778
WBGene00001670,11106,11035,11001,11170,9930,10185,9898,9993,10236,9698,10396,8853,9273,8827
WBGene00001681,13795,14025,13809,13916,12778,13168,13082,11609,11974,11618,12163,12197,12032,12070
WBGene00001745,14299,14469,14115,13768,3423,3406,3392,14559,14622,14903,14944,14484,14410,15574
WBGene00001749,15698,15775,15304,15287,15603,15669,15567,16337,16435,16654,16240,3075,2994,2893
WBGene00001754,14215,14445,13989,13832,13610,13286,13164,11894,11980,11384,12082,12542,12014,12251
WBGene00001758,11279,11549,11411,10348,10846,11761,11005,9047,9010,9518,9336,9557,9331,9884
WBGene00001770,11408,11357,10850,10558,11230,10676,10720,2781,16678,2745,16606,10268,11879,11186
WBGene00001774,9136,9553,9614,9394,9955,9381,9346,8012,8042,8194,8191,7839,7710,8376
WBGene00001784,13575,14565,13760,13911,14798,14383,14594,16196,16138,16416,16128,14900,14969,15085
WBGene00001786,7400,7596,7284,7110,7984,7600,7465,6932,7331,7056,6849,6160,6043,6306
WBGene00001794,4218,4140,4256,4106,4153,4072,4092,4552,4358,4333,4364,4452,4499,4617
WBGene00001795,3682,3376,3526,3373,3495,3145,3267,3293,3257,2981,3275,10033,10423,10406
WBGene00001814,15110,15253,15463,14619,15631,14981,15373,8483,8026,8646,8358,8020,8168,8911
WBGene00001819,16464,16511,2467,16380,2445,15819,16269,9349,8836,9611,9340,8485,8514,8562
WBGene00001863,3127,3140,2825,2549,3129,3054,3078,4519,4385,4264,4403,4168,4229,4246
WBGene00001898,4120,4057,4282,3996,4441,4470,4447,4177,4016,4019,4164,3978,4152,4460
WBGene00001994,3308,3242,3550,3121,4201,4140,4126,3546,3556,3562,3668,3181,3287,3817
WBGene00002005,4362,4165,4346,4268,4321,4196,4261,4704,4612,4581,4623,4456,4486,4693
WBGene00002016,7741,7470,7496,8098,7241,6451,7355,8006,7761,8435,8092,9482,9248,8203
WBGene00002021,11563,11005,11801,11801,11136,11028,10880,2736,2947,16603,2826,3735,3422,3357
WBGene00002025,16043,16149,16098,15655,3846,3744,3570,16667,2467,2464,16699,16035,16399,2611
WBGene00002032,5662,5694,5711,5372,6071,5752,5854,7138,7209,6716,7183,6775,7507,7358
WBGene00002038,3566,3308,3560,3215,3560,3347,3291,4428,4319,4284,4333,3962,3897,3916
WBGene00002041,15624,15089,15115,15273,15833,15506,15771,3905,3707,3699,3852,14946,14697,14522
WBGene00002043,14019,13927,14478,13290,13060,13627,12973,4443,4210,4305,4266,3096,2992,3242
WBGene00002054,4476,4387,4477,4314,4507,4465,4448,4687,4605,4568,4613,3378,3356,3566
WBGene00002055,3383,3430,3662,3217,3858,3523,3796,4194,4228,4075,4214,10604,11979,12472
WBGene00002057,15439,15448,15346,15669,15350,14652,14816,16634,16591,16307,16525,8119,8370,8475
WBGene00002058,12818,12198,12109,12734,12531,11780,12247,12891,11298,12070,11404,8655,9180,8912
WBGene00002068,8386,8430,8490,8688,8449,8695,8904,9599,9762,9900,9727,9839,9658,10485
WBGene00002073,11097,10692,11444,11428,11372,11099,11202,12717,12943,13134,12590,13802,13498,14039
WBGene00002094,7263,6990,7240,6749,7097,6697,6992,8447,8611,8440,8555,8695,7919,8024
WBGene00002095,5518,5243,5661,5323,5938,5598,5513,5891,5744,5327,5855,4914,4871,5122
WBGene00002118,11644,12379,11406,12170,11734,11641,12097,7499,7364,7116,7216,7056,7149,7274
WBGene00002137,16313,16417,16388,16498,16069,15802,15743,2811,2677,2763,2865,12382,12033,12176
WBGene00002188,7306,6939,7231,6599,7115,6746,6885,6012,6200,5859,6150,5505,5618,5829
WBGene00002234,13445,12774,13307,12777,13422,12597,13105,14159,14141,14298,14523,9305,9127,9866
