WBGeneID,SYMBOL,elt2_detected_in_L1,dineen_set,bound_class,Embryo_Specific,Larval,Increasing,L3_High,Not_Changing,Not_Bound
WBGene00000007,aat-6,Direct,SET6,ClassA,0,0,2,0,0,0
WBGene00000008,aat-7,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00000009,aat-8,Indirect,SET3,NA,0,0,0,0,1,0
WBGene00000013,abf-2,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000016,abf-5,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000017,abf-6,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000020,abt-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000022,abt-4,Indirect,SET2,NA,0,0,1,0,0,0
WBGene00000033,abu-10,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000034,abu-11,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000044,acr-5,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00000058,acr-19,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000064,act-2,Direct,SET2,ClassD,0,0,0,2,0,0
WBGene00000066,act-4,Indirect,SET5,NA,0,0,0,0,1,0
WBGene00000067,act-5,Direct,SET2,ClassC,0,1,1,0,0,0
WBGene00000081,ads-1,Direct,SET6,ClassA,0,0,1,1,0,0
WBGene00000083,adt-2,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000084,aex-1,Indirect,SET3,NA,0,0,1,0,0,0
WBGene00000088,aex-5,Indirect,SET2,NA,0,1,1,0,0,0
WBGene00000107,alh-1,Direct,SET6,ClassA,0,0,2,0,0,0
WBGene00000109,alh-3,Indirect,SET6,NA,1,0,1,1,0,0
WBGene00000136,amt-4,Direct,SET6,ClassA,0,1,2,0,0,0
WBGene00000139,amx-3,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000144,apc-10,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000172,aqp-4,Direct,SET3,ClassB,0,0,3,0,0,0
WBGene00000200,arx-2,Indirect,SET2,NA,0,0,1,1,0,0
WBGene00000208,trip-4,Indirect,SET2,NA,0,0,2,1,0,0
WBGene00000212,asm-2,Direct,SET3,ClassB,0,1,1,0,0,0
WBGene00000213,asm-3,Indirect,SET6,NA,0,1,1,0,0,0
WBGene00000214,asp-1,Direct,SET6,ClassA,0,3,1,0,0,0
WBGene00000215,T18H9.11,Direct,SET6,ClassA,0,0,2,0,0,0
WBGene00000215,asp-2,Direct,SET6,ClassA,0,0,2,0,0,0
WBGene00000216,asp-3,Direct,SET3,ClassB,0,1,2,0,0,0
WBGene00000218,asp-5,Direct,SET6,ClassA,0,1,2,0,0,0
WBGene00000219,asp-6,Direct,SET3,ClassB,0,0,2,0,0,0
WBGene00000220,atf-2,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000228,atn-1,Indirect,SET2,NA,0,0,2,1,0,0
WBGene00000250,bir-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000257,bmk-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000264,brc-1,Direct,SET2,ClassD,0,0,3,1,0,0
WBGene00000265,brd-1,Indirect,SET2,NA,0,0,0,0,1,0
WBGene00000274,btf-1,Direct,SET2,ClassD,0,0,0,1,0,0
WBGene00000294,cas-1,Direct,SET2,ClassD,0,0,2,0,0,0
WBGene00000302,cav-2,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00000372,cyp-13A7,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000395,cdh-3,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000396,cdh-4,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000397,cdh-5,Indirect,SET3,NA,0,0,0,1,0,0
WBGene00000420,ced-6,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000425,ced-11,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000431,ceh-6,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000465,cpg-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000467,cep-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000473,cey-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000474,cey-3,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000480,cgp-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000485,che-3,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000490,che-11,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000503,cht-1,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000513,ckb-3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000515,ckc-1,Direct,SET6,ClassA,0,0,2,0,0,0
WBGene00000522,clc-1,Direct,SET2,ClassD,0,0,1,0,0,0
WBGene00000535,cpi-1,Indirect,SET2,NA,0,1,0,0,0,0
WBGene00000541,cln-3.3,Direct,SET3,ClassB,0,1,0,1,0,0
WBGene00000546,clp-6,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000549,cls-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000561,cnd-1,Indirect,SET6,NA,1,0,0,0,0,0
WBGene00000562,cng-1,Direct,SET1,ClassD,0,0,0,0,1,0
WBGene00000583,cof-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000592,coh-3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000594,col-117,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00000594,col-3,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00000606,col-17,Indirect,SET5,NA,0,0,0,0,0,1
WBGene00000611,col-34,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000652,col-76,Direct,SET2,ClassC,0,1,0,0,0,0
WBGene00000666,col-91,Indirect,SET5,NA,0,0,0,0,0,1
WBGene00000674,col-99,Indirect,SET2,NA,0,0,0,1,0,0
WBGene00000675,col-101,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000677,col-103,Indirect,SET5,NA,0,0,0,0,0,1
WBGene00000681,col-107,Indirect,SET5,NA,0,0,0,0,0,1
WBGene00000691,col-117,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00000691,col-3,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00000692,col-118,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000694,col-120,Indirect,SET5,NA,0,1,0,0,0,0
WBGene00000720,col-147,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00000739,col-166,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000740,col-167,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000741,col-168,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000770,cpb-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000772,cpb-3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000780,cpn-4,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000781,cpr-1,Direct,SET1,ClassD,0,2,0,0,0,0
WBGene00000782,cpr-2,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000783,cpr-3,Direct,SET2,ClassC,0,2,0,0,0,0
WBGene00000784,cpr-4,Direct,SET3,ClassB,0,0,3,0,0,0
WBGene00000785,cpr-5,Indirect,SET6,NA,0,1,0,0,0,0
WBGene00000786,cpr-6,Direct,SET6,ClassA,0,1,1,1,0,0
WBGene00000789,cpz-2,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00000793,crh-1,Direct,SET5,ClassA,0,0,2,2,0,0
WBGene00000795,crn-2,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000799,crn-6,Indirect,SET3,NA,0,0,1,0,0,0
WBGene00000800,cars-1,Indirect,SET2,NA,0,0,0,1,0,0
WBGene00000802,crt-1,Direct,SET2,ClassD,0,0,2,0,0,0
WBGene00000804,csc-1,Indirect,SET1,NA,0,0,0,1,0,0
WBGene00000841,cul-6,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000845,cup-4,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000867,cyb-2.2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000871,cye-1,Indirect,SET2,NA,0,0,0,2,0,0
WBGene00000885,cyn-9,Direct,SET2,ClassD,0,0,1,1,0,0
WBGene00000896,dad-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000932,dao-6,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00000935,daz-1,Indirect,SET1,NA,0,0,0,0,2,0
WBGene00000952,del-1,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00000964,dhp-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000966,dhs-2,Direct,SET6,ClassA,0,0,0,1,0,0
WBGene00000968,dhs-4,Indirect,SET6,NA,0,0,1,0,0,0
WBGene00000971,dhs-7,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00000974,dhs-11,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000977,dhs-14,Direct,SET6,ClassA,0,1,0,0,0,0
WBGene00000979,dhs-16,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00000981,dhs-18,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00001016,dna-2,Indirect,SET2,NA,0,0,0,1,0,0
WBGene00001044,dnj-26,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001046,dnj-28,Direct,SET2,ClassD,0,0,1,0,0,0
WBGene00001049,dog-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00001058,dpf-5,Indirect,SET2,NA,0,0,1,0,0,0
