Dineen_Class,ELT2_cluster,Pearson_Residual,Observed,p.value,p.adjust
ClassA,Embryo_Specific,-0.906054267844384,1,0.3649071294478847,0.4986864151110185
ClassB,Embryo_Specific,-1.128847264332317,0,0.258962270363577,0.47084049157013996
ClassC,Embryo_Specific,-0.1735390168799234,1,0.8622277620661984,0.9076081705959983
ClassD,Embryo_Specific,2.5943722913661316,3,0.009476381181128701,0.04738190590564351
ClassA,Increasing,-1.9566860730999254,150,0.05038438828472204,0.14460401015511248
ClassB,Increasing,2.395999891224154,94,0.016575095237694824,0.0663003809507793
ClassC,Increasing,0.6349530479843594,98,0.5254590375642787,0.6181871030167985
ClassD,Increasing,-0.7287275814216315,65,0.46616831771561207,0.5827103971445151
ClassA,L3_High,-0.314773491850615,27,0.7529336398065875,0.8365929331184305
ClassB,L3_High,-3.236886783167795,4,0.0012084134371160074,0.02416826874232015
ClassC,L3_High,1.0359584584824304,20,0.30022152317373596,0.4986864151110185
ClassD,L3_High,2.7166474729926753,20,0.006594680819406249,0.04396453879604166
ClassA,Larval,2.7851461593178315,79,0.005350359984292861,0.04396453879604166
ClassB,Larval,0.11374087678785905,33,0.9094432077778594,0.9094432077778594
ClassC,Larval,-1.6044693934682486,30,0.10861062565375791,0.2715265641343948
ClassD,Larval,-1.9547600077859646,19,0.050611403554289364,0.14460401015511248
ClassA,Not_Changing,-0.906054267844384,1,0.3649071294478847,0.4986864151110185
ClassB,Not_Changing,-1.128847264332317,0,0.258962270363577,0.47084049157013996
ClassC,Not_Changing,0.8889781713754562,2,0.3740148113332639,0.4986864151110185
ClassD,Not_Changing,1.3934110808835214,2,0.16349551680490085,0.36332337067755743
