"","wbid","name","SYMBOL","Expected","Observed","Enrichment.Fold.Change","P.value","Q.value","class"
"1","WBGene00007030","acetyltransferase complex GO:1902493","epc-1",0.321891502640422,1,3.10663683818046,0,0,"ClassA"
"2","WBGene00006794","actin filament polymerization GO:0030041","unc-60",0.652424387902064,3,4.59823399558499,0,0,"ClassD"
"3","WBGene00010664","actin filament polymerization GO:0030041","dbn-1",0.652424387902064,3,4.59823399558499,0,0,"ClassD"
"4","WBGene00006823","actin filament polymerization GO:0030041","unc-94",0.652424387902064,3,4.59823399558499,0,0,"ClassD"
"5","WBGene00006794","actin filament-based process GO:0030029","unc-60",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"ClassD"
"6","WBGene00010664","actin filament-based process GO:0030029","dbn-1",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"ClassD"
"7","WBGene00006823","actin filament-based process GO:0030029","unc-94",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"ClassD"
"8","WBGene00012319","actin filament-based process GO:0030029","ipla-3",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"ClassD"
"9","WBGene00002041","actin filament-based process GO:0030029","hum-8",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"ClassD"
"10","WBGene00002038","actin filament-based process GO:0030029","hum-5",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"ClassD"
"11","WBGene00000064","actin filament-based process GO:0030029","act-2",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"ClassD"
"12","WBGene00000294","actin filament-based process GO:0030029","cas-1",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"ClassD"
"13","WBGene00006820","actin filament-based process GO:0030029","unc-89",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"ClassD"
"14","WBGene00001863","adherens junction GO:0005912","him-4",0.217474795967355,1,4.59823399558499,0,0,"ClassD"
"15","WBGene00007404","anion channel activity GO:0005253","best-5",0.321891502640422,1,3.10663683818046,0,0,"ClassA"
"16","WBGene00004076","anterior/posterior pattern specification GO:0009952","pod-2",0.321891502640422,1,3.10663683818046,0,0,"ClassA"
"17","WBGene00001784","cellular response to toxic substance GO:0097237","gst-36",0.518002880460874,2,3.86098239110287,0,0,"ClassC"
"18","WBGene00009897","cellular response to toxic substance GO:0097237","skpo-1",0.518002880460874,2,3.86098239110287,0,0,"ClassC"
"19","WBGene00006224","chemosensory behavior GO:0007635","str-180",0.259001440230437,1,3.86098239110287,0,0,"ClassC"
"20","WBGene00011167","chitin binding GO:0008061","chil-23",0.643783005280845,2,3.10663683818046,0,0,"ClassA"
"21","WBGene00044807","chitin binding GO:0008061","T19H5.6",0.643783005280845,2,3.10663683818046,0,0,"ClassA"
"22","WBGene00007404","chloride channel complex GO:0034707","best-5",0.321891502640422,1,3.10663683818046,0,0,"ClassA"
"23","WBGene00002275","chromosome segregation GO:0007059","lem-2",1.30484877580413,6,4.59823399558499,0,0,"ClassD"
"24","WBGene00002073","chromosome segregation GO:0007059","ima-2",1.30484877580413,6,4.59823399558499,0,0,"ClassD"
"25","WBGene00004737","chromosome segregation GO:0007059","scc-1",1.30484877580413,6,4.59823399558499,0,0,"ClassD"
