"","wbid","name","SYMBOL","Expected","Observed","Enrichment.Fold.Change","P.value","Q.value","class"
"1","WBGene00016845","ABalpaaa WBbt:0006557","C50F7.5",0.203222624136797,1,4.92071197411003,0,0,"ClassB"
"2","WBGene00016845","ABalpapa WBbt:0006573","C50F7.5",0.203222624136797,1,4.92071197411003,0,0,"ClassB"
"3","WBGene00019344","ABalppaa WBbt:0005944","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"4","WBGene00019344","ABalpppa WBbt:0006649","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"5","WBGene00019344","ABarpaapa WBbt:0005844","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"6","WBGene00019344","ABarpaapp WBbt:0006620","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"7","WBGene00019344","ABarpapa WBbt:0006603","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"8","WBGene00019344","ABarppaa WBbt:0006465","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"9","WBGene00019344","ABarppapp WBbt:0006240","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"10","WBGene00019344","ABplaaaaa WBbt:0006348","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"11","WBGene00019344","ABplaaaap WBbt:0006625","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"12","WBGene00019344","ABplaaapa WBbt:0006680","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"13","WBGene00019344","ABplaaapp WBbt:0006136","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"14","WBGene00019344","ABplaapaa WBbt:0005866","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"15","WBGene00019344","ABplaapap WBbt:0005887","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"16","WBGene00019344","ABplapapp WBbt:0006413","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"17","WBGene00019344","ABplappaa WBbt:0006371","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"18","WBGene00019344","ABplappap WBbt:0006067","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"19","WBGene00019344","ABplapppp WBbt:0006656","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"20","WBGene00019344","ABplpaapa WBbt:0006115","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"21","WBGene00019344","ABplppppp WBbt:0006574","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"22","WBGene00019344","ABpraapa WBbt:0006302","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"23","WBGene00016845","ABpraapaa WBbt:0006108","C50F7.5",0.203222624136797,1,4.92071197411003,0,0,"ClassB"
"24","WBGene00016845","ABpraapap WBbt:0006062","C50F7.5",0.203222624136797,1,4.92071197411003,0,0,"ClassB"
"25","WBGene00019344","ABprapapa WBbt:0006510","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"26","WBGene00019344","ABprappaa WBbt:0006350","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"27","WBGene00019344","ABprappap WBbt:0006220","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"28","WBGene00019344","ABprpaapa WBbt:0006047","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"29","WBGene00019344","ABprpappp WBbt:0005847","dhhc-10",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"30","WBGene00003561","ADE WBbt:0005415","ncr-1",0.267675106872739,1,3.73587223587224,0,0,"ClassC"
"31","WBGene00001163","ADF WBbt:0005660","efn-2",0.319631700098652,1,3.12860082304527,0,0,"ClassA"
"32","WBGene00003106","ALA WBbt:0003955","mab-9",0.958895100295955,3,3.12860082304527,0,0,"ClassA"
"33","WBGene00002299","ALA WBbt:0003955","let-23",0.958895100295955,3,3.12860082304527,0,0,"ClassA"
"34","WBGene00004038","ALA WBbt:0003955","plc-3",0.958895100295955,3,3.12860082304527,0,0,"ClassA"
"35","WBGene00004358","amphid socket cell WBbt:0008379","rhr-1",0.639263400197304,2,3.12860082304527,0,0,"ClassA"
"36","WBGene00008251","amphid socket cell WBbt:0008379","srsx-30",0.639263400197304,2,3.12860082304527,0,0,"ClassA"
"37","WBGene00004876","anchor cell WBbt:0004522","smf-1",1.25682341335087,5,3.97828362114076,8.36929281287373e-05,0.00167385856257475,"ClassD"
"38","WBGene00006794","anchor cell WBbt:0004522","unc-60",1.25682341335087,5,3.97828362114076,8.36929281287373e-05,0.00167385856257475,"ClassD"
"39","WBGene00012360","anchor cell WBbt:0004522","tat-3",1.25682341335087,5,3.97828362114076,8.36929281287373e-05,0.00167385856257475,"ClassD"
"40","WBGene00006431","anchor cell WBbt:0004522","tag-52",1.25682341335087,5,3.97828362114076,8.36929281287373e-05,0.00167385856257475,"ClassD"
"41","WBGene00001863","anchor cell WBbt:0004522","him-4",1.25682341335087,5,3.97828362114076,8.36929281287373e-05,0.00167385856257475,"ClassD"
"42","WBGene00003243","anchor cell WBbt:0004522","mig-10",1.25682341335087,5,3.97828362114076,8.36929281287373e-05,0.00167385856257475,"ClassD"
"43","WBGene00008726","anterior ganglion WBbt:0005375","F13A7.11",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"44","WBGene00020579","anterior ganglion WBbt:0005375","T19D12.4",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"45","WBGene00017449","anterior ganglion WBbt:0005375","otpl-3",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"46","WBGene00000522","anterior ganglion WBbt:0005375","clc-1",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"47","WBGene00002273","anterior ganglion WBbt:0005375","lec-10",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"48","WBGene00010658","anterior ganglion WBbt:0005375","K08D8.4",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"49","WBGene00012360","anterior ganglion WBbt:0005375","tat-3",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"50","WBGene00015116","anterior ganglion WBbt:0005375","paic-1",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"51","WBGene00008422","anterior ganglion WBbt:0005375","ecps-1",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"52","WBGene00008199","anterior ganglion WBbt:0005375","C49C3.9",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"53","WBGene00001754","anterior ganglion WBbt:0005375","gst-6",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"54","WBGene00002271","anterior ganglion WBbt:0005375","lec-8",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"55","WBGene00018152","anterior ganglion WBbt:0005375","acs-4",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"56","WBGene00017687","anterior ganglion WBbt:0005375","ets-4",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"57","WBGene00019564","anterior ganglion WBbt:0005375","K09D9.1",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"58","WBGene00000783","anterior ganglion WBbt:0005375","cpr-3",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"59","WBGene00004400","anterior ganglion WBbt:0005375","rom-1",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"60","WBGene00001770","anterior ganglion WBbt:0005375","gst-22",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"61","WBGene00002038","anterior ganglion WBbt:0005375","hum-5",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"62","WBGene00019844","anterior ganglion WBbt:0005375","abts-4",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"63","WBGene00010047","anterior ganglion WBbt:0005375","F54D1.6",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"64","WBGene00002274","anterior ganglion WBbt:0005375","lec-11",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"65","WBGene00019105","anterior ganglion WBbt:0005375","asp-8",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"66","WBGene00004358","anterior ganglion WBbt:0005375","rhr-1",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"67","WBGene00003561","anterior ganglion WBbt:0005375","ncr-1",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"68","WBGene00015955","anterior ganglion WBbt:0005375","C18B2.4",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"69","WBGene00003090","anterior ganglion WBbt:0005375","lys-1",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"70","WBGene00009337","anterior ganglion WBbt:0005375","uig-1",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"71","WBGene00021635","anterior ganglion WBbt:0005375","Y47G6A.5",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"72","WBGene00000302","anterior ganglion WBbt:0005375","cav-2",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"73","WBGene00019743","anterior ganglion WBbt:0005375","nhr-203",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"74","WBGene00019104","anterior ganglion WBbt:0005375","asp-7",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"75","WBGene00007694","anterior ganglion WBbt:0005375","C23H4.6",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"76","WBGene00008251","anterior ganglion WBbt:0005375","srsx-30",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"77","WBGene00010660","anterior ganglion WBbt:0005375","K08D8.6",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"78","WBGene00010828","anterior ganglion WBbt:0005375","M02B1.3",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"79","WBGene00012464","anterior ganglion WBbt:0005375","arrd-7",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"80","WBGene00006942","anterior ganglion WBbt:0005375","wrk-1",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"81","WBGene00044770","anterior ganglion WBbt:0005375","C53C11.5",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"82","WBGene00001163","anterior ganglion WBbt:0005375","efn-2",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"83","WBGene00010641","anterior ganglion WBbt:0005375","crml-1",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"84","WBGene00015047","anterior ganglion WBbt:0005375","faah-1",11.242354488655,19,1.69003744003744,0.00295223616417885,0.0210874011727061,"ClassC"
"85","WBGene00001670","AQR WBbt:0003927","gpa-8",0.319631700098652,1,3.12860082304527,0,0,"ClassA"
"86","WBGene00010117","AVK WBbt:0006823","nkb-3",6.28411706675436,13,2.0687074829932,0.00141310223556628,0.0249370982746991,"ClassD"
"87","WBGene00008780","AVK WBbt:0006823","hxk-1",6.28411706675436,13,2.0687074829932,0.00141310223556628,0.0249370982746991,"ClassD"
"88","WBGene00012791","AVK WBbt:0006823","Y43D4A.5",6.28411706675436,13,2.0687074829932,0.00141310223556628,0.0249370982746991,"ClassD"
"89","WBGene00007030","AVK WBbt:0006823","epc-1",6.28411706675436,13,2.0687074829932,0.00141310223556628,0.0249370982746991,"ClassD"
"90","WBGene00015800","AVK WBbt:0006823","C15H9.4",6.28411706675436,13,2.0687074829932,0.00141310223556628,0.0249370982746991,"ClassD"
"91","WBGene00011480","AVK WBbt:0006823","enpl-1",6.28411706675436,13,2.0687074829932,0.00141310223556628,0.0249370982746991,"ClassD"
"92","WBGene00001745","AVK WBbt:0006823","gsa-1",6.28411706675436,13,2.0687074829932,0.00141310223556628,0.0249370982746991,"ClassD"
"93","WBGene00194713","AVK WBbt:0006823","F19B10.13",6.28411706675436,13,2.0687074829932,0.00141310223556628,0.0249370982746991,"ClassD"
"94","WBGene00012472","AVK WBbt:0006823","Y17G7B.21",6.28411706675436,13,2.0687074829932,0.00141310223556628,0.0249370982746991,"ClassD"
"95","WBGene00004922","AVK WBbt:0006823","snt-2",6.28411706675436,13,2.0687074829932,0.00141310223556628,0.0249370982746991,"ClassD"
"96","WBGene00018152","AVK WBbt:0006823","acs-4",6.28411706675436,13,2.0687074829932,0.00141310223556628,0.0249370982746991,"ClassD"
"97","WBGene00001994","AVK WBbt:0006823","hpk-1",6.28411706675436,13,2.0687074829932,0.00141310223556628,0.0249370982746991,"ClassD"
"98","WBGene00019445","AVK WBbt:0006823","frpr-12",6.28411706675436,13,2.0687074829932,0.00141310223556628,0.0249370982746991,"ClassD"
"99","WBGene00016987","AVK WBbt:0006823","CC8.2",6.28411706675436,13,2.0687074829932,0.00141310223556628,0.0249370982746991,"ClassD"
"100","WBGene00007352","AVK WBbt:0006823","cdc-48.1",6.28411706675436,13,2.0687074829932,0.00141310223556628,0.0249370982746991,"ClassD"
