"","wbid","name","SYMBOL","Expected","Observed","Enrichment.Fold.Change","P.value","Q.value","class"
"1","WBGene00007030","acetyltransferase complex GO:1902493","epc-1",0.321891502640422,1,3.10663683818046,0,0,"Target Gene Class A1"
"2","WBGene00006794","actin filament polymerization GO:0030041","unc-60",0.652424387902064,3,4.59823399558499,0,0,"Target Gene Class C"
"3","WBGene00010664","actin filament polymerization GO:0030041","dbn-1",0.652424387902064,3,4.59823399558499,0,0,"Target Gene Class C"
"4","WBGene00006823","actin filament polymerization GO:0030041","unc-94",0.652424387902064,3,4.59823399558499,0,0,"Target Gene Class C"
"5","WBGene00006794","actin filament-based process GO:0030029","unc-60",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"Target Gene Class C"
"6","WBGene00010664","actin filament-based process GO:0030029","dbn-1",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"Target Gene Class C"
"7","WBGene00006823","actin filament-based process GO:0030029","unc-94",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"Target Gene Class C"
"8","WBGene00012319","actin filament-based process GO:0030029","ipla-3",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"Target Gene Class C"
"9","WBGene00002041","actin filament-based process GO:0030029","hum-8",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"Target Gene Class C"
"10","WBGene00002038","actin filament-based process GO:0030029","hum-5",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"Target Gene Class C"
"11","WBGene00000064","actin filament-based process GO:0030029","act-2",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"Target Gene Class C"
"12","WBGene00000294","actin filament-based process GO:0030029","cas-1",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"Target Gene Class C"
"13","WBGene00006820","actin filament-based process GO:0030029","unc-89",1.95727316370619,5,2.55457444199166,0.00475583934017238,0.0325671606990065,"Target Gene Class C"
"14","WBGene00001863","adherens junction GO:0005912","him-4",0.217474795967355,1,4.59823399558499,0,0,"Target Gene Class C"
"15","WBGene00007404","anion channel activity GO:0005253","best-5",0.321891502640422,1,3.10663683818046,0,0,"Target Gene Class A1"
"16","WBGene00004076","anterior/posterior pattern specification GO:0009952","pod-2",0.321891502640422,1,3.10663683818046,0,0,"Target Gene Class A1"
"17","WBGene00001784","cellular response to toxic substance GO:0097237","gst-36",0.518002880460874,2,3.86098239110287,0,0,"Target Gene Class B"
"18","WBGene00009897","cellular response to toxic substance GO:0097237","skpo-1",0.518002880460874,2,3.86098239110287,0,0,"Target Gene Class B"
"19","WBGene00006224","chemosensory behavior GO:0007635","str-180",0.259001440230437,1,3.86098239110287,0,0,"Target Gene Class B"
"20","WBGene00011167","chitin binding GO:0008061","chil-23",0.643783005280845,2,3.10663683818046,0,0,"Target Gene Class A1"
"21","WBGene00044807","chitin binding GO:0008061","T19H5.6",0.643783005280845,2,3.10663683818046,0,0,"Target Gene Class A1"
"22","WBGene00007404","chloride channel complex GO:0034707","best-5",0.321891502640422,1,3.10663683818046,0,0,"Target Gene Class A1"
"23","WBGene00002275","chromosome segregation GO:0007059","lem-2",1.30484877580413,6,4.59823399558499,0,0,"Target Gene Class C"
"24","WBGene00002073","chromosome segregation GO:0007059","ima-2",1.30484877580413,6,4.59823399558499,0,0,"Target Gene Class C"
"25","WBGene00004737","chromosome segregation GO:0007059","scc-1",1.30484877580413,6,4.59823399558499,0,0,"Target Gene Class C"
"26","WBGene00002068","chromosome segregation GO:0007059","ify-1",1.30484877580413,6,4.59823399558499,0,0,"Target Gene Class C"
"27","WBGene00002276","chromosome segregation GO:0007059","lem-3",1.30484877580413,6,4.59823399558499,0,0,"Target Gene Class C"
"28","WBGene00000264","chromosome segregation GO:0007059","brc-1",1.30484877580413,6,4.59823399558499,0,0,"Target Gene Class C"
"29","WBGene00004373","cilium organization GO:0044782","rme-1",0.217474795967355,1,4.59823399558499,0,0,"Target Gene Class C"
"30","WBGene00002280","collagen trimer GO:0005581","let-2",0.217474795967355,1,4.59823399558499,0,0,"Target Gene Class C"
"31","WBGene00003964","cuticle development GO:0042335","pdi-3",0.259001440230437,1,3.86098239110287,0,0,"Target Gene Class B"
"32","WBGene00006940","cyclin-dependent protein kinase activity GO:0097472","wee-1.3",0.217474795967355,1,4.59823399558499,0,0,"Target Gene Class C"
"33","WBGene00009291","defense response to Gram-positive bacterium GO:0050830","clec-264",6.43783005280845,12,1.86398210290828,0.00256823863730705,0.0367725077614418,"Target Gene Class A1"
"34","WBGene00018384","defense response to Gram-positive bacterium GO:0050830","F43C11.7",6.43783005280845,12,1.86398210290828,0.00256823863730705,0.0367725077614418,"Target Gene Class A1"
"35","WBGene00000522","defense response to Gram-positive bacterium GO:0050830","clc-1",6.43783005280845,12,1.86398210290828,0.00256823863730705,0.0367725077614418,"Target Gene Class A1"
"36","WBGene00018547","defense response to Gram-positive bacterium GO:0050830","clec-78",6.43783005280845,12,1.86398210290828,0.00256823863730705,0.0367725077614418,"Target Gene Class A1"
