"","wbid","name","SYMBOL","Expected","Observed","Enrichment.Fold.Change","P.value","Q.value","class"
"1","WBGene00004297","accumulated germline cell corpses WBPhenotype:0001180","rad-51",0.903166590178981,3,3.32164634146341,0,0,"Target Gene Class C"
"2","WBGene00002068","accumulated germline cell corpses WBPhenotype:0001180","ify-1",0.903166590178981,3,3.32164634146341,0,0,"Target Gene Class C"
"3","WBGene00001597","accumulated germline cell corpses WBPhenotype:0001180","gld-3",0.903166590178981,3,3.32164634146341,0,0,"Target Gene Class C"
"4","WBGene00004128","adult lethal WBPhenotype:0000060","pqn-41",1.26112895823772,4,3.17176128093159,0,0,"Target Gene Class A1"
"5","WBGene00003497","adult lethal WBPhenotype:0000060","mup-4",1.26112895823772,4,3.17176128093159,0,0,"Target Gene Class A1"
"6","WBGene00002915","adult lethal WBPhenotype:0000060","let-805",1.26112895823772,4,3.17176128093159,0,0,"Target Gene Class A1"
"7","WBGene00021281","adult lethal WBPhenotype:0000060","ell-1",1.26112895823772,4,3.17176128093159,0,0,"Target Gene Class A1"
"8","WBGene00001670","body posture wavelength increased WBPhenotype:0002296","gpa-8",0.630564479118862,2,3.17176128093159,0,0,"Target Gene Class A1"
"9","WBGene00003174","body posture wavelength increased WBPhenotype:0002296","mec-10",0.630564479118862,2,3.17176128093159,0,0,"Target Gene Class A1"
"10","WBGene00002068","cell cycle defective early emb WBPhenotype:0001114","ify-1",0.602111060119321,2,3.32164634146341,0,0,"Target Gene Class C"
"11","WBGene00002073","cell cycle defective early emb WBPhenotype:0001114","ima-2",0.602111060119321,2,3.32164634146341,0,0,"Target Gene Class C"
"12","WBGene00003815","cell differentiation variant WBPhenotype:0000354","nars-1",0.30105553005966,1,3.32164634146341,0,0,"Target Gene Class C"
"13","WBGene00000067","cell division polarity variant WBPhenotype:0001235","act-5",0.240477283157412,1,4.15839694656489,0,0,"Target Gene Class B"
"14","WBGene00011578","cell proliferation increased WBPhenotype:0000172","npr-20",0.315282239559431,1,3.17176128093159,0,0,"Target Gene Class A1"
"15","WBGene00003497","copulation variant WBPhenotype:0000647","mup-4",0.945846718678293,3,3.17176128093159,0,0,"Target Gene Class A1"
"16","WBGene00004038","copulation variant WBPhenotype:0000647","plc-3",0.945846718678293,3,3.17176128093159,0,0,"Target Gene Class A1"
"17","WBGene00002299","copulation variant WBPhenotype:0000647","let-23",0.945846718678293,3,3.17176128093159,0,0,"Target Gene Class A1"
"18","WBGene00004373","cytokinesis variant WBPhenotype:0002408","rme-1",2.40844424047728,6,2.49123475609756,0.00129489761260997,0.0193238566804873,"Target Gene Class C"
"19","WBGene00009385","cytokinesis variant WBPhenotype:0002408","sas-5",2.40844424047728,6,2.49123475609756,0.00129489761260997,0.0193238566804873,"Target Gene Class C"
"20","WBGene00004506","cytokinesis variant WBPhenotype:0002408","rpt-6",2.40844424047728,6,2.49123475609756,0.00129489761260997,0.0193238566804873,"Target Gene Class C"
"21","WBGene00007352","cytokinesis variant WBPhenotype:0002408","cdc-48.1",2.40844424047728,6,2.49123475609756,0.00129489761260997,0.0193238566804873,"Target Gene Class C"
"22","WBGene00011480","cytokinesis variant WBPhenotype:0002408","enpl-1",2.40844424047728,6,2.49123475609756,0.00129489761260997,0.0193238566804873,"Target Gene Class C"
"23","WBGene00002068","cytokinesis variant WBPhenotype:0002408","ify-1",2.40844424047728,6,2.49123475609756,0.00129489761260997,0.0193238566804873,"Target Gene Class C"
"24","WBGene00002032","cytokinesis variant WBPhenotype:0002408","htp-1",2.40844424047728,6,2.49123475609756,0.00129489761260997,0.0193238566804873,"Target Gene Class C"
"25","WBGene00002073","cytokinesis variant WBPhenotype:0002408","ima-2",2.40844424047728,6,2.49123475609756,0.00129489761260997,0.0193238566804873,"Target Gene Class C"
"26","WBGene00018645","dauer metabolism phenotype WBPhenotype:0001547","F49F1.5",2.52225791647545,6,2.37882096069869,0.00176128899914299,0.0200994156372789,"Target Gene Class A1"
"27","WBGene00003473","dauer metabolism phenotype WBPhenotype:0001547","mtl-1",2.52225791647545,6,2.37882096069869,0.00176128899914299,0.0200994156372789,"Target Gene Class A1"
"28","WBGene00007139","dauer metabolism phenotype WBPhenotype:0001547","mnp-1",2.52225791647545,6,2.37882096069869,0.00176128899914299,0.0200994156372789,"Target Gene Class A1"
"29","WBGene00002275","dauer metabolism phenotype WBPhenotype:0001547","lem-2",2.52225791647545,6,2.37882096069869,0.00176128899914299,0.0200994156372789,"Target Gene Class A1"
"30","WBGene00219316","dauer metabolism phenotype WBPhenotype:0001547","F21A3.11",2.52225791647545,6,2.37882096069869,0.00176128899914299,0.0200994156372789,"Target Gene Class A1"
"31","WBGene00015116","dauer metabolism phenotype WBPhenotype:0001547","paic-1",2.52225791647545,6,2.37882096069869,0.00176128899914299,0.0200994156372789,"Target Gene Class A1"
"32","WBGene00003678","dauer metabolism phenotype WBPhenotype:0001547","nhr-88",2.52225791647545,6,2.37882096069869,0.00176128899914299,0.0200994156372789,"Target Gene Class A1"
"33","WBGene00001754","dauer metabolism phenotype WBPhenotype:0001547","gst-6",2.52225791647545,6,2.37882096069869,0.00176128899914299,0.0200994156372789,"Target Gene Class A1"
"34","WBGene00009385","embryonic cell morphology variant WBPhenotype:0000770","sas-5",1.5052776502983,4,2.65731707317073,0.00244676341246083,0.0339051501441001,"Target Gene Class C"
"35","WBGene00007352","embryonic cell morphology variant WBPhenotype:0000770","cdc-48.1",1.5052776502983,4,2.65731707317073,0.00244676341246083,0.0339051501441001,"Target Gene Class C"
"36","WBGene00002275","embryonic cell morphology variant WBPhenotype:0000770","lem-2",1.5052776502983,4,2.65731707317073,0.00244676341246083,0.0339051501441001,"Target Gene Class C"
"37","WBGene00002068","embryonic cell morphology variant WBPhenotype:0000770","ify-1",1.5052776502983,4,2.65731707317073,0.00244676341246083,0.0339051501441001,"Target Gene Class C"
"38","WBGene00002073","embryonic cell morphology variant WBPhenotype:0000770","ima-2",1.5052776502983,4,2.65731707317073,0.00244676341246083,0.0339051501441001,"Target Gene Class C"
"39","WBGene00009385","embryonic cell physiology variant WBPhenotype:0000763","sas-5",2.10738871041762,5,2.37260452961672,0.00381377179491011,0.0435218663654448,"Target Gene Class C"
"40","WBGene00004506","embryonic cell physiology variant WBPhenotype:0000763","rpt-6",2.10738871041762,5,2.37260452961672,0.00381377179491011,0.0435218663654448,"Target Gene Class C"
"41","WBGene00007352","embryonic cell physiology variant WBPhenotype:0000763","cdc-48.1",2.10738871041762,5,2.37260452961672,0.00381377179491011,0.0435218663654448,"Target Gene Class C"
