wbid,name,SYMBOL,Expected,Observed,Enrichment.Fold.Change,P.value,Q.value,class
WBGene00016845,ABalpaaa WBbt:0006557,C50F7.5,0.20322262413679712,1,4.9207119741100325,0,0,Target Gene Class A2
WBGene00016845,ABalpapa WBbt:0006573,C50F7.5,0.20322262413679712,1,4.9207119741100325,0,0,Target Gene Class A2
WBGene00019344,ABalppaa WBbt:0005944,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABalpppa WBbt:0006649,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABarpaapa WBbt:0005844,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABarpaapp WBbt:0006620,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABarpapa WBbt:0006603,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABarppaa WBbt:0006465,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABarppapp WBbt:0006240,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABplaaaaa WBbt:0006348,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABplaaaap WBbt:0006625,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABplaaapa WBbt:0006680,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABplaaapp WBbt:0006136,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABplaapaa WBbt:0005866,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABplaapap WBbt:0005887,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABplapapp WBbt:0006413,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABplappaa WBbt:0006371,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABplappap WBbt:0006067,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABplapppp WBbt:0006656,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABplpaapa WBbt:0006115,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABplppppp WBbt:0006574,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00019344,ABpraapa WBbt:0006302,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
WBGene00016845,ABpraapaa WBbt:0006108,C50F7.5,0.20322262413679712,1,4.9207119741100325,0,0,Target Gene Class A2
WBGene00016845,ABpraapap WBbt:0006062,C50F7.5,0.20322262413679712,1,4.9207119741100325,0,0,Target Gene Class A2
WBGene00019344,ABprapapa WBbt:0006510,dhhc-10,0.2676751068727392,1,3.735872235872236,0,0,Target Gene Class B
