wbid,term,found
WBGene00013246,reproductive system WBbt:0005747,1.0
WBGene00003992,reproductive system WBbt:0005747,1.0
WBGene00007624,reproductive system WBbt:0005747,1.0
WBGene00002214,reproductive system WBbt:0005747,1.0
WBGene00001571,reproductive system WBbt:0005747,1.0
WBGene00020948,reproductive system WBbt:0005747,1.0
WBGene00011600,reproductive system WBbt:0005747,1.0
WBGene00008826,reproductive system WBbt:0005747,1.0
WBGene00044258,reproductive system WBbt:0005747,1.0
WBGene00001263,reproductive system WBbt:0005747,1.0
WBGene00010663,reproductive system WBbt:0005747,1.0
WBGene00006063,reproductive system WBbt:0005747,1.0
WBGene00008111,reproductive system WBbt:0005747,1.0
WBGene00006463,reproductive system WBbt:0005747,1.0
WBGene00006516,reproductive system WBbt:0005747,1.0
WBGene00012715,reproductive system WBbt:0005747,1.0
WBGene00010113,reproductive system WBbt:0005747,1.0
WBGene00015177,reproductive system WBbt:0005747,1.0
WBGene00018303,reproductive system WBbt:0005747,1.0
WBGene00003590,reproductive system WBbt:0005747,1.0
WBGene00017141,reproductive system WBbt:0005747,1.0
WBGene00013894,reproductive system WBbt:0005747,1.0
WBGene00015591,reproductive system WBbt:0005747,1.0
WBGene00020098,reproductive system WBbt:0005747,1.0
WBGene00012628,reproductive system WBbt:0005747,1.0
WBGene00016596,reproductive system WBbt:0005747,1.0
WBGene00004808,reproductive system WBbt:0005747,1.0
WBGene00004502,reproductive system WBbt:0005747,1.0
WBGene00021704,reproductive system WBbt:0005747,1.0
WBGene00019458,reproductive system WBbt:0005747,1.0
WBGene00184990,reproductive system WBbt:0005747,1.0
WBGene00001973,reproductive system WBbt:0005747,1.0
WBGene00019405,reproductive system WBbt:0005747,1.0
WBGene00008385,reproductive system WBbt:0005747,1.0
WBGene00019132,reproductive system WBbt:0005747,1.0
WBGene00010351,reproductive system WBbt:0005747,1.0
WBGene00004786,reproductive system WBbt:0005747,1.0
WBGene00017549,reproductive system WBbt:0005747,1.0
WBGene00008569,reproductive system WBbt:0005747,1.0
WBGene00008968,reproductive system WBbt:0005747,1.0
WBGene00019598,reproductive system WBbt:0005747,1.0
WBGene00006740,reproductive system WBbt:0005747,1.0
WBGene00007320,reproductive system WBbt:0005747,1.0
WBGene00010061,reproductive system WBbt:0005747,1.0
WBGene00013857,reproductive system WBbt:0005747,1.0
WBGene00011489,reproductive system WBbt:0005747,1.0
WBGene00011252,reproductive system WBbt:0005747,1.0
WBGene00016400,reproductive system WBbt:0005747,1.0
WBGene00004503,reproductive system WBbt:0005747,1.0
WBGene00002040,reproductive system WBbt:0005747,1.0
WBGene00018099,reproductive system WBbt:0005747,1.0
WBGene00015326,reproductive system WBbt:0005747,1.0
WBGene00000250,reproductive system WBbt:0005747,1.0
WBGene00016178,reproductive system WBbt:0005747,1.0
WBGene00012566,reproductive system WBbt:0005747,1.0
WBGene00017482,reproductive system WBbt:0005747,1.0
WBGene00005019,reproductive system WBbt:0005747,1.0
WBGene00007643,reproductive system WBbt:0005747,1.0
WBGene00002124,reproductive system WBbt:0005747,1.0
WBGene00016151,reproductive system WBbt:0005747,1.0
WBGene00003421,reproductive system WBbt:0005747,1.0
WBGene00012208,reproductive system WBbt:0005747,1.0
WBGene00011302,reproductive system WBbt:0005747,1.0
WBGene00004112,reproductive system WBbt:0005747,1.0
WBGene00021560,reproductive system WBbt:0005747,1.0
WBGene00006707,reproductive system WBbt:0005747,1.0
WBGene00015850,reproductive system WBbt:0005747,1.0
WBGene00021517,reproductive system WBbt:0005747,1.0
WBGene00016701,reproductive system WBbt:0005747,1.0
WBGene00019002,reproductive system WBbt:0005747,1.0
WBGene00002050,reproductive system WBbt:0005747,1.0
WBGene00012112,reproductive system WBbt:0005747,1.0
WBGene00012879,reproductive system WBbt:0005747,1.0
WBGene00013249,reproductive system WBbt:0005747,1.0
WBGene00015404,reproductive system WBbt:0005747,1.0
WBGene00017142,reproductive system WBbt:0005747,1.0
WBGene00017451,reproductive system WBbt:0005747,1.0
WBGene00012109,reproductive system WBbt:0005747,1.0
WBGene00007578,reproductive system WBbt:0005747,1.0
WBGene00001862,reproductive system WBbt:0005747,1.0
WBGene00004374,reproductive system WBbt:0005747,1.0
WBGene00022737,reproductive system WBbt:0005747,1.0
WBGene00009946,reproductive system WBbt:0005747,1.0
WBGene00086551,reproductive system WBbt:0005747,1.0
WBGene00013168,reproductive system WBbt:0005747,1.0
WBGene00009442,reproductive system WBbt:0005747,1.0
WBGene00019683,reproductive system WBbt:0005747,1.0
WBGene00002034,reproductive system WBbt:0005747,1.0
WBGene00018948,reproductive system WBbt:0005747,1.0
WBGene00007732,reproductive system WBbt:0005747,1.0
WBGene00021649,reproductive system WBbt:0005747,1.0
WBGene00017461,reproductive system WBbt:0005747,1.0
WBGene00007048,reproductive system WBbt:0005747,1.0
WBGene00021292,reproductive system WBbt:0005747,1.0
WBGene00001601,reproductive system WBbt:0005747,1.0
WBGene00007454,reproductive system WBbt:0005747,1.0
WBGene00001514,reproductive system WBbt:0005747,1.0
WBGene00003976,reproductive system WBbt:0005747,1.0
WBGene00016124,reproductive system WBbt:0005747,1.0
WBGene00004239,reproductive system WBbt:0005747,1.0
WBGene00009514,reproductive system WBbt:0005747,1.0
WBGene00019801,reproductive system WBbt:0005747,1.0
WBGene00018665,reproductive system WBbt:0005747,1.0
WBGene00013214,reproductive system WBbt:0005747,1.0
WBGene00006641,reproductive system WBbt:0005747,1.0
WBGene00003993,reproductive system WBbt:0005747,1.0
WBGene00015698,reproductive system WBbt:0005747,1.0
WBGene00000420,reproductive system WBbt:0005747,1.0
WBGene00003951,reproductive system WBbt:0005747,1.0
WBGene00020103,reproductive system WBbt:0005747,1.0
WBGene00001639,reproductive system WBbt:0005747,1.0
WBGene00003228,reproductive system WBbt:0005747,1.0
WBGene00007334,reproductive system WBbt:0005747,1.0
WBGene00006618,reproductive system WBbt:0005747,1.0
WBGene00016947,reproductive system WBbt:0005747,1.0
WBGene00014017,reproductive system WBbt:0005747,1.0
WBGene00015818,reproductive system WBbt:0005747,1.0
WBGene00018752,reproductive system WBbt:0005747,1.0
WBGene00013270,reproductive system WBbt:0005747,1.0
WBGene00000841,reproductive system WBbt:0005747,1.0
WBGene00015313,reproductive system WBbt:0005747,1.0
WBGene00044987,reproductive system WBbt:0005747,1.0
WBGene00015849,reproductive system WBbt:0005747,1.0
WBGene00015505,reproductive system WBbt:0005747,1.0
WBGene00013610,reproductive system WBbt:0005747,1.0
WBGene00017335,reproductive system WBbt:0005747,1.0
WBGene00010491,reproductive system WBbt:0005747,1.0
WBGene00006377,reproductive system WBbt:0005747,1.0
WBGene00011155,reproductive system WBbt:0005747,1.0
WBGene00010581,reproductive system WBbt:0005747,1.0
WBGene00019140,reproductive system WBbt:0005747,1.0
WBGene00021056,reproductive system WBbt:0005747,1.0
WBGene00008171,reproductive system WBbt:0005747,1.0
WBGene00002136,reproductive system WBbt:0005747,1.0
WBGene00012481,reproductive system WBbt:0005747,1.0
WBGene00020710,reproductive system WBbt:0005747,1.0
WBGene00020910,reproductive system WBbt:0005747,1.0
WBGene00003408,reproductive system WBbt:0005747,1.0
WBGene00003086,reproductive system WBbt:0005747,1.0
WBGene00003948,reproductive system WBbt:0005747,1.0
WBGene00018797,reproductive system WBbt:0005747,1.0
WBGene00001482,reproductive system WBbt:0005747,1.0
WBGene00010647,reproductive system WBbt:0005747,1.0
WBGene00001049,reproductive system WBbt:0005747,1.0
WBGene00004960,reproductive system WBbt:0005747,1.0
WBGene00010193,reproductive system WBbt:0005747,1.0
WBGene00009222,reproductive system WBbt:0005747,1.0
WBGene00004217,reproductive system WBbt:0005747,1.0
WBGene00001113,reproductive system WBbt:0005747,1.0
WBGene00004468,reproductive system WBbt:0005747,1.0
WBGene00010678,reproductive system WBbt:0005747,1.0
