wbid,term,found
WBGene00016845,ABalpaaa WBbt:0006557,1.0
WBGene00012782,intestine WBbt:0005772,1.0
WBGene00020449,intestine WBbt:0005772,1.0
WBGene00002057,intestine WBbt:0005772,1.0
WBGene00002260,intestine WBbt:0005772,1.0
WBGene00019738,intestine WBbt:0005772,1.0
WBGene00004020,intestine WBbt:0005772,1.0
WBGene00001099,intestine WBbt:0005772,1.0
WBGene00021814,intestine WBbt:0005772,1.0
WBGene00006464,intestine WBbt:0005772,1.0
WBGene00009483,intestine WBbt:0005772,1.0
WBGene00013900,intestine WBbt:0005772,1.0
WBGene00014164,intestine WBbt:0005772,1.0
WBGene00023432,intestine WBbt:0005772,1.0
WBGene00002041,intestine WBbt:0005772,1.0
WBGene00003730,intestine WBbt:0005772,1.0
WBGene00000212,intestine WBbt:0005772,1.0
WBGene00021262,intestine WBbt:0005772,1.0
WBGene00017667,intestine WBbt:0005772,1.0
WBGene00015048,intestine WBbt:0005772,1.0
WBGene00000172,intestine WBbt:0005772,1.0
WBGene00011207,intestine WBbt:0005772,1.0
WBGene00001578,intestine WBbt:0005772,1.0
WBGene00015956,intestine WBbt:0005772,1.0
WBGene00013837,intestine WBbt:0005772,1.0
WBGene00008167,intestine WBbt:0005772,1.0
WBGene00020340,intestine WBbt:0005772,1.0
WBGene00017969,intestine WBbt:0005772,1.0
WBGene00001158,intestine WBbt:0005772,1.0
WBGene00020472,intestine WBbt:0005772,1.0
WBGene00020455,intestine WBbt:0005772,1.0
WBGene00013716,intestine WBbt:0005772,1.0
WBGene00015608,intestine WBbt:0005772,1.0
WBGene00009914,intestine WBbt:0005772,1.0
WBGene00007857,intestine WBbt:0005772,1.0
WBGene00015110,intestine WBbt:0005772,1.0
WBGene00019720,intestine WBbt:0005772,1.0
WBGene00016542,intestine WBbt:0005772,1.0
WBGene00021602,intestine WBbt:0005772,1.0
WBGene00016939,intestine WBbt:0005772,1.0
WBGene00011364,intestine WBbt:0005772,1.0
WBGene00007833,intestine WBbt:0005772,1.0
WBGene00013119,intestine WBbt:0005772,1.0
WBGene00012445,intestine WBbt:0005772,1.0
WBGene00008599,intestine WBbt:0005772,1.0
WBGene00014137,intestine WBbt:0005772,1.0
WBGene00007840,intestine WBbt:0005772,1.0
WBGene00014106,intestine WBbt:0005772,1.0
WBGene00022326,intestine WBbt:0005772,1.0
WBGene00011853,intestine WBbt:0005772,1.0
WBGene00022644,intestine WBbt:0005772,1.0
WBGene00020576,intestine WBbt:0005772,1.0
WBGene00010774,intestine WBbt:0005772,1.0
WBGene00044403,intestine WBbt:0005772,1.0
WBGene00001506,intestine WBbt:0005772,1.0
WBGene00010750,intestine WBbt:0005772,1.0
WBGene00004096,intestine WBbt:0005772,1.0
WBGene00008273,intestine WBbt:0005772,1.0
WBGene00016335,intestine WBbt:0005772,1.0
WBGene00022413,intestine WBbt:0005772,1.0
WBGene00009061,intestine WBbt:0005772,1.0
WBGene00020532,intestine WBbt:0005772,1.0
WBGene00045457,intestine WBbt:0005772,1.0
WBGene00002054,intestine WBbt:0005772,1.0
WBGene00020280,intestine WBbt:0005772,1.0
WBGene00009389,intestine WBbt:0005772,1.0
WBGene00018350,intestine WBbt:0005772,1.0
WBGene00015598,intestine WBbt:0005772,1.0
WBGene00015602,intestine WBbt:0005772,1.0
WBGene00016599,intestine WBbt:0005772,1.0
WBGene00018353,intestine WBbt:0005772,1.0
WBGene00019957,intestine WBbt:0005772,1.0
WBGene00012531,intestine WBbt:0005772,1.0
WBGene00021325,intestine WBbt:0005772,1.0
WBGene00018646,intestine WBbt:0005772,1.0
WBGene00019682,intestine WBbt:0005772,1.0
WBGene00012323,intestine WBbt:0005772,1.0
WBGene00008486,intestine WBbt:0005772,1.0
WBGene00013901,intestine WBbt:0005772,1.0
WBGene00235133,intestine WBbt:0005772,1.0
WBGene00003845,intestine WBbt:0005772,1.0
WBGene00008372,intestine WBbt:0005772,1.0
WBGene00004890,intestine WBbt:0005772,1.0
WBGene00021635,intestine WBbt:0005772,1.0
WBGene00008341,intestine WBbt:0005772,1.0
WBGene00008229,intestine WBbt:0005772,1.0
WBGene00004796,intestine WBbt:0005772,1.0
WBGene00009394,intestine WBbt:0005772,1.0
WBGene00045397,intestine WBbt:0005772,1.0
WBGene00018886,intestine WBbt:0005772,1.0
WBGene00009259,intestine WBbt:0005772,1.0
WBGene00003097,intestine WBbt:0005772,1.0
WBGene00019273,intestine WBbt:0005772,1.0
WBGene00044761,intestine WBbt:0005772,1.0
WBGene00022337,intestine WBbt:0005772,1.0
WBGene00019014,intestine WBbt:0005772,1.0
WBGene00019579,intestine WBbt:0005772,1.0
WBGene00010822,intestine WBbt:0005772,1.0
WBGene00009902,intestine WBbt:0005772,1.0
WBGene00017892,intestine WBbt:0005772,1.0
