Treatment,Reporter,Worm_Num,Measurement_Type,Measurement_Num,Measurement_Area,Mean_Grey_Value,Min_Grey_Value,Max_Grey_Value,Integrated_Density,Raw_Integrated_Density,Rep,,,
ELT-2_RNAi,ELT-2::GFP,1,Background,1,0.039,7.475,7,8,2.92E-01,2691,2,,,
ELT-2_RNAi_RNAi,ELT-2::GFP,1,Background,2,0.039,7.839,7,9,3.06E-01,2822,2,,,
ELT-2_RNAi,ELT-2::GFP,1,Background,3,0.039,7.9,7,8,3.09E-01,2844,2,,,
ELT-2_RNAi,ELT-2::GFP,1,Background,4,0.039,6.075,6,7,0.237,2187,2,,,
ELT-2_RNAi,ELT-2::GFP,1,Intestine,5,1.58,9.87,7,13,15.597,143744,2,,,
ELT-2_RNAi,ELT-2::GFP,2,Background,6,0.039,8,7,9,3.12E-01,2880,2,,,
ELT-2_RNAi,ELT-2::GFP,2,Background,7,0.039,7.969,7,9,0.311,2869,2,,,
ELT-2_RNAi,ELT-2::GFP,2,Background,8,0.039,7.806,7,8,0.305,2810,2,,,
ELT-2_RNAi,ELT-2::GFP,2,Background,9,0.039,6.372,6,7,2.49E-01,2294,2,,,
ELT-2_RNAi,ELT-2::GFP,2,Intestine,10,1.89,11.027,7,18,20.835,192019,2,,,
ELT-2_RNAi,ELT-2::GFP,3,Background,11,0.039,6.083,6,7,2.38E-01,2190,2,,,
ELT-2_RNAi,ELT-2::GFP,3,Background,12,0.039,6.111,6,7,0.239,2200,2,,,
ELT-2_RNAi,ELT-2::GFP,3,Background,13,0.039,6.269,6,7,0.245,2257,2,,,
ELT-2_RNAi,ELT-2::GFP,3,Background,14,0.039,6.464,6,8,0.252,2327,2,,,
ELT-2_RNAi,ELT-2::GFP,3,Intestine,15,2.302,9.756,6,17,22.461,206998,2,,,
ELT-2_RNAi,ELT-2::GFP,4,Background,16,0.039,6.10E+00,6,7,2.38E-01,2197,2,,,
ELT-2_RNAi,ELT-2::GFP,4,Background,17,0.039,6.156,6,7,0.24,2216,2,,,
ELT-2_RNAi,ELT-2::GFP,4,Background,18,0.039,6.383,6,7,0.249,2298,2,,,
ELT-2_RNAi,ELT-2::GFP,4,Background,19,0.039,6.378,6,7,0.249,2296,2,,,
ELT-2_RNAi,ELT-2::GFP,4,Intestine,20,2.389,9.396,6,34,22.451,206906,2,,,
ELT-2_RNAi,ELT-2::GFP,5,Background,21,0.039,6.075,6,7,0.237,2187,2,,,
ELT-2_RNAi,ELT-2::GFP,5,Background,22,0.039,6.139,6,7,0.24,2210,2,,,
ELT-2_RNAi,ELT-2::GFP,5,Background,23,0.039,6.108,6,7,2.39E-01,2199,2,,,
ELT-2_RNAi,ELT-2::GFP,5,Background,24,0.039,6.392,6,13,0.25,2301,2,,,
ELT-2_RNAi,ELT-2::GFP,5,Intestine,25,2.194,9.36,6,20,20.54,189297,2,,,
ELT-2_RNAi,ELT-2::GFP,6,Background,26,0.039,5.953,5,6,2.33E-01,2143,2,,,
ELT-2_RNAi,ELT-2::GFP,6,Background,27,0.039,5.992,5,7,0.234,2157,2,,,
ELT-2_RNAi,ELT-2::GFP,6,Background,28,0.039,6.006,6,7,2.35E-01,2162,2,,,
ELT-2_RNAi,ELT-2::GFP,6,Background,29,0.039,6.003,6,7,0.234,2161,2,,,
ELT-2_RNAi,ELT-2::GFP,6,Intestine,30,2.282,8.685,5,26,19.82,182659,2,,,
ELT-2_RNAi,ELT-2::GFP,7,Background,31,0.039,6.003,6,7,0.234,2161,2,,,
ELT-2_RNAi,ELT-2::GFP,7,Background,32,0.039,5.992,5,6,0.234,2157,2,,,
ELT-2_RNAi,ELT-2::GFP,7,Background,33,0.039,6,5,7,0.234,2160,2,,,
ELT-2_RNAi,ELT-2::GFP,7,Background,34,0.039,6.003,6,7,0.234,2161,2,,,
ELT-2_RNAi,ELT-2::GFP,7,Intestine,35,2.48,9.259,5,17,22.965,211646,2,,,
ELT-2_RNAi,ELT-2::GFP,8,Background,36,0.039,6.00E+00,5,7,2.34E-01,2161,2,,,
