 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
46,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm01_1_C1,860.728,109.137,102,127,93937.387,8177318
47,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm01_1_C1,28.719,106.377,102,113,3055.035,265943
48,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm01_1_C1,28.719,106.377,102,113,3055.035,265943
49,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm01_1_C1,28.719,106.377,102,113,3055.035,265943
50,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm01_1_C1,28.719,106.377,102,113,3055.035,265943
51,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm01_1_C2,860.728,443.585,250,1380,381805.661,33236461
52,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm01_1_C2,28.719,290.196,199,439,8334.117,725491
53,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm01_1_C2,28.719,290.196,199,439,8334.117,725491
54,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm01_1_C2,28.719,290.196,199,439,8334.117,725491
55,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm01_1_C2,28.719,290.196,199,439,8334.117,725491
56,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm01_1_C3,860.728,241.573,134,826,207928.277,18100308
57,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm01_1_C3,28.719,163.006,134,236,4681.362,407516
58,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm01_1_C3,28.719,163.006,134,236,4681.362,407516
59,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm01_1_C3,28.719,163.006,134,236,4681.362,407516
60,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm01_1_C3,28.719,163.006,134,236,4681.362,407516
61,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm02_1_C1,1016.419,113.355,103,157,115215.681,10029609
62,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm02_1_C1,28.719,105.858,102,113,3040.124,264645
63,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm02_1_C1,28.719,105.858,102,113,3040.124,264645
64,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm02_1_C1,28.719,105.858,102,113,3040.124,264645
65,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm02_1_C1,28.719,105.858,102,113,3040.124,264645
66,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm02_1_C2,1016.419,519.904,328,1700,528439.965,46001084
67,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm02_1_C2,28.719,219.238,180,275,6296.283,548096
68,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm02_1_C2,28.719,219.238,180,275,6296.283,548096
69,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm02_1_C2,28.719,219.238,180,275,6296.283,548096
70,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm02_1_C2,28.719,219.238,180,275,6296.283,548096
71,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm02_1_C3,1016.419,262.176,162,705,266481.009,23197366
72,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm02_1_C3,28.719,140.245,126,162,4027.686,350613
73,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm02_1_C3,28.719,140.245,126,162,4027.686,350613
74,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm02_1_C3,28.719,140.245,126,162,4027.686,350613
75,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm02_1_C3,28.719,140.245,126,162,4027.686,350613
76,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm03_1_C1,1335.336,113.034,103,149,150938.415,13139299
77,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm03_1_C1,28.719,105.27,102,111,3023.237,263175
78,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm03_1_C1,28.719,105.27,102,111,3023.237,263175
79,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm03_1_C1,28.719,105.27,102,111,3023.237,263175
80,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm03_1_C1,28.719,105.27,102,111,3023.237,263175
81,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm03_1_C2,1335.336,589.035,256,1366,786560.331,68470650
82,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm03_1_C2,28.719,184.269,168,206,5292.006,460673
83,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm03_1_C2,28.719,184.269,168,206,5292.006,460673
84,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm03_1_C2,28.719,184.269,168,206,5292.006,460673
85,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm03_1_C2,28.719,184.269,168,206,5292.006,460673
86,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm03_1_C3,1335.336,248.743,147,808,332155.014,28914336
87,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm03_1_C3,28.719,129.138,123,145,3708.711,322846
88,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm03_1_C3,28.719,129.138,123,145,3708.711,322846
89,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm03_1_C3,28.719,129.138,123,145,3708.711,322846
90,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm03_1_C3,28.719,129.138,123,145,3708.711,322846
91,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm04_1_C1,994.983,109.255,103,125,108706.672,9462995
92,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm04_1_C1,28.719,105.132,102,111,3019.285,262831
93,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm04_1_C1,28.719,104.93,102,111,3013.473,262325
94,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm04_1_C1,28.719,104.265,101,110,2994.38,260663
95,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm04_1_C1,28.719,105.23,102,111,3022.077,263074
96,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm04_1_C2,994.983,428.624,237,1804,426473.351,37124816
97,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm04_1_C2,28.719,135.663,124,198,3896.096,339158
98,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm04_1_C2,28.719,138.574,129,152,3979.702,346436
99,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm04_1_C2,28.719,130.225,121,141,3739.923,325563
100,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm04_1_C2,28.719,151.564,135,174,4352.749,378910
101,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm04_1_C3,994.983,218.041,143,741,216947.121,18885405
102,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm04_1_C3,28.719,118.128,113,130,3392.493,295319
103,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm04_1_C3,28.719,118.138,113,127,3392.78,295344
104,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm04_1_C3,28.719,116.81,112,126,3354.653,292025
105,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm04_1_C3,28.719,121.937,115,132,3501.889,304842
106,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm05_1_C1,1138.876,108.316,103,119,123358.967,10738488
107,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm05_1_C1,28.719,108.202,104,113,3107.441,270505
108,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm05_1_C1,28.719,108.254,105,115,3108.923,270634
109,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm05_1_C1,28.719,104.216,101,111,2992.967,260540
110,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm05_1_C1,28.719,105.059,102,112,3017.172,262647
111,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm05_1_C2,1138.876,410.713,253,1320,467750.754,40718044
112,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm05_1_C2,28.719,135.471,129,161,3890.582,338678
113,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm05_1_C2,28.719,134.302,129,149,3857.004,335755
114,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm05_1_C2,28.719,134.58,125,148,3864.988,336450
115,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm05_1_C2,28.719,144.228,131,162,4142.056,360569
116,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm05_1_C3,1138.876,221.98,142,617,252807.786,22007102
117,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm05_1_C3,28.719,122.543,118,131,3519.304,306358
118,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm05_1_C3,28.719,169.805,118,1320,4876.616,424513
119,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm05_1_C3,28.719,117.567,113,125,3376.399,293918
120,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm05_1_C3,28.719,120.255,116,130,3453.584,300637
121,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_06_C1,1005.598,113.122,103,140,113754.97,9902453
122,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_06_C1,28.719,105.376,101,120,3026.281,263440
123,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_06_C1,28.719,104.289,101,109,2995.058,260722
124,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_06_C1,28.719,104.611,102,111,3004.317,261528
125,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_06_C1,28.719,104.999,102,110,3015.46,262498
126,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_06_C2,1005.598,440.564,235,738,443030.375,38566117
127,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_06_C2,28.719,135.446,126,150,3889.847,338614
128,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_06_C2,28.719,131.189,124,143,3767.596,327972
129,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_06_C2,28.719,136.934,128,150,3932.592,342335
130,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_06_C2,28.719,135.158,126,148,3881.576,337894
131,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_06_C3,1005.598,272.872,143,915,274399.851,23886707
132,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_06_C3,28.719,118.704,113,127,3409.035,296759
133,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_06_C3,28.719,117.083,113,125,3362.488,292707
134,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_06_C3,28.719,119.369,114,129,3428.139,298422
135,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_06_C3,28.719,119.616,114,128,3435.25,299041
136,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_08_C1,999.36,108.271,102,131,108201.208,9418994
137,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_08_C1,28.719,104.8,102,110,3009.728,261999
138,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_08_C1,28.719,104.066,101,112,2988.648,260164
139,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_08_C1,28.719,104.993,102,111,3015.288,262483
140,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_08_C1,28.719,104.941,102,111,3013.783,262352
141,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_08_C2,999.36,447.525,242,1276,447238.646,38932450
142,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_08_C2,28.719,153.428,140,171,4406.27,383569
143,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_08_C2,28.719,146.874,134,160,4218.058,367185
144,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_08_C2,28.719,149.998,137,164,4307.787,374996
145,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_08_C2,28.719,146.824,136,160,4216.633,367061
146,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_08_C3,999.36,213.287,132,609,213150.002,18554863
147,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_08_C3,28.719,121.899,117,131,3500.798,304747
148,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_08_C3,28.719,120.37,115,129,3456.892,300925
149,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_08_C3,28.719,122.494,117,132,3517.903,306236
150,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_08_C3,28.719,121.544,117,131,3490.62,303861
151,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_09_C1,1236.773,107.698,102,119,133197.92,11594976
152,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_09_C1,28.719,105.14,102,112,3019.515,262851
153,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_09_C1,28.719,105.098,102,111,3018.309,262746
154,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_09_C1,28.719,104.09,101,111,2989.337,260224
155,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_09_C1,28.719,104.716,102,111,3007.315,261789
156,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_09_C2,1236.773,471.471,270,2167,583102.08,50759461
157,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep4_Worm_09_C2,28.719,143.646,133,157,4125.365,359116
