 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_01_C1,892.491,109.176,103,144,97438.564,8482098.000
2,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_01_C1,28.719,105.495,102,112,3029.705,263738.000
3,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_01_C1,28.719,105.398,102,111,3026.902,263494.000
4,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_01_C1,28.719,105.281,102,111,3023.559,263203.000
5,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_01_C1,28.719,105.175,102,110,3020.503,262937.000
6,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_01_C2,892.491,395.737,329,626,353191.748,30745599.000
7,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_01_C2,28.719,306.810,275,348,8811.242,767025.000
8,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_01_C2,28.719,280.486,252,306,8055.246,701215.000
9,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_01_C2,28.719,279.195,254,304,8018.164,697987.000
10,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_01_C2,28.719,277.199,252,304,7960.852,692998.000
11,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_01_C3,892.491,328.694,167,1162,293356.246,25536875.000
12,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_01_C3,28.719,161.683,143,194,4643.350,404207.000
13,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_01_C3,28.719,138.010,130,153,3963.482,345024.000
14,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_01_C3,28.719,138.940,130,153,3990.202,347350.000
15,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_01_C3,28.719,136.600,130,148,3923.000,341500.000
16,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_02_C1,822.635,110.903,104,144,91232.344,7941842.000
17,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_02_C1,28.719,105.390,102,114,3026.683,263475.000
18,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_02_C1,28.719,105.424,102,111,3027.671,263561.000
19,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_02_C1,28.719,105.394,102,112,3026.787,263484.000
20,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_02_C1,28.719,105.274,102,111,3023.352,263185.000
21,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_02_C2,822.635,354.396,290,570,291538.341,25378625.000
22,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_02_C2,28.719,259.034,234,287,7439.168,647585.000
23,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_02_C2,28.719,238.583,218,258,6851.844,596458.000
24,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_02_C2,28.719,261.365,237,285,7506.106,653412.000
25,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_02_C2,28.719,251.103,225,273,7211.393,627757.000
26,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_02_C3,822.635,337.990,165,1188,278042.486,24203801.000
27,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_02_C3,28.719,151.122,136,169,4340.067,377806.000
28,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_02_C3,28.719,136.015,129,148,3906.194,340037.000
29,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_02_C3,28.719,146.194,134,165,4198.540,365486.000
30,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_02_C3,28.719,140.269,131,155,4028.364,350672.000
31,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_03_C1,1016.683,111.517,104,140,113377.937,9869632.000
32,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_03_C1,28.719,105.322,102,111,3024.719,263304.000
33,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_03_C1,28.719,104.457,101,110,2999.894,261143.000
34,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_03_C1,28.719,105.069,102,111,3017.459,262672.000
35,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_03_C1,28.719,105.267,102,111,3023.145,263167.000
36,01_L4440rnai:intestine:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_03_C2,1016.683,407.502,314,961,414300.151,36065130.000
37,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_03_C2,28.719,279.092,248,308,8015.200,697729.000
38,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_03_C2,28.719,271.424,246,299,7794.984,678559.000
39,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_03_C2,28.719,264.488,241,293,7595.801,661220.000
40,01_L4440rnai:background:MAX_CEBP1gfp_L4440rnai_Rep5_Worm_03_C2,28.719,275.325,251,307,7907.033,688313.000
