 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_13_R3D.tif:background13:1,25.376,143.600,130,165,3643.990,317212.000
2,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_13_R3D.tif:background13:2,25.376,112.224,108,118,2847.799,247903.000
3,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_13_R3D.tif:background13:1,25.376,135.963,127,153,3450.195,300342.000
4,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_13_R3D.tif:background13:2,25.376,111.675,108,120,2833.876,246691.000
5,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_13_R3D.tif:background13:1,25.376,129.947,124,141,3297.537,287053.000
6,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_13_R3D.tif:background13:2,25.376,110.217,106,117,2796.875,243470.000
7,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_13_R3D.tif:background13:1,25.376,128.711,122,140,3266.165,284322.000
8,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_13_R3D.tif:background13:2,25.376,110.961,107,125,2815.749,245113.000
9,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_13_R3D.tif:worm13:1,901.693,506.009,257,1489,456264.590,39718165.000
10,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_13_R3D.tif:worm13:2,901.693,138.508,112,252,124891.890,10871930.000
11,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_09_R3D.tif:background09:1,25.376,146.040,134,163,3705.920,322603.000
12,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_09_R3D.tif:background09:2,25.376,112.574,108,119,2856.668,248675.000
13,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_09_R3D.tif:background09:1,25.376,154.549,136,177,3921.840,341399.000
14,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_09_R3D.tif:background09:2,25.376,111.605,108,123,2832.096,246536.000
15,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_09_R3D.tif:background09:1,25.376,135.659,127,159,3442.487,299671.000
16,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_09_R3D.tif:background09:2,25.376,111.957,108,118,2841.010,247312.000
17,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_09_R3D.tif:background09:1,25.376,154.171,138,181,3912.236,340563.000
18,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_09_R3D.tif:background09:2,25.376,111.726,107,119,2835.151,246802.000
19,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_09_R3D.tif:worm09:1,1127.055,584.658,247,2467,658941.698,57361355.000
20,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_09_R3D.tif:worm09:2,1127.055,123.110,109,190,138751.383,12078409.000
21,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:1,25.376,135.920,125,176,3449.104,300247.000
22,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:2,25.376,111.117,107,117,2819.712,245458.000
23,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:1,25.376,144.860,130,181,3675.972,319996.000
24,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:2,25.376,111.722,107,121,2835.060,246794.000
25,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:1,25.376,141.100,129,156,3580.567,311691.000
26,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:2,25.376,110.960,107,117,2815.726,245111.000
27,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:1,25.376,150.099,134,172,3808.906,331568.000
28,MAX_CEBP1gfp_ELT2ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:2,25.376,110.776,107,119,2811.051,244704.000
