 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_09_R3D.tif:background23:1,25.376,131.020,125,142,3324.774,289424.000
2,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_09_R3D.tif:background23:2,25.376,110.367,107,117,2800.666,243800.000
3,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_09_R3D.tif:background23:1,25.376,126.841,121,136,3218.709,280191.000
4,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_09_R3D.tif:background23:2,25.376,110.263,107,117,2798.047,243572.000
5,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_09_R3D.tif:background23:1,25.376,127.521,120,137,3235.964,281693.000
6,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_09_R3D.tif:background23:2,25.376,109.669,106,118,2782.952,242258.000
7,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_09_R3D.tif:background23:1,25.376,132.850,125,146,3371.207,293466.000
8,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_09_R3D.tif:background23:2,25.376,110.200,106,116,2796.427,243431.000
9,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_09_R3D.tif:worm09:1,1230.696,331.634,206,813,408140.122,35528895.000
10,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_09_R3D.tif:worm09:2,1230.696,117.883,108,169,145078.200,12629163.000
11,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:1,25.376,135.651,127,150,3442.280,299653.000
12,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:2,25.376,110.655,107,117,2807.972,244436.000
13,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:1,25.376,138.584,126,154,3516.708,306132.000
14,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:2,25.376,110.575,107,118,2805.950,244260.000
15,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:1,25.376,148.498,132,174,3768.286,328032.000
16,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:2,25.376,110.380,106,117,2800.999,243829.000
17,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:1,25.376,137.499,128,153,3489.172,303735.000
18,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_06_R3D.tif:background06:2,25.376,110.793,106,118,2811.487,244742.000
19,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_06_R3D.tif:worm06:1,1161.242,320.831,192,1043,372562.062,32431799.000
20,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_06_R3D.tif:worm06:2,1161.242,116.636,107,169,135443.036,11790415.000
21,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_04_R3D.tif:background04:1,25.376,128.224,122,138,3253.804,283246.000
22,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_04_R3D.tif:background04:2,25.376,110.496,107,117,2803.940,244085.000
23,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_04_R3D.tif:background04:1,25.376,125.047,119,133,3173.184,276228.000
24,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_04_R3D.tif:background04:2,25.376,109.953,106,116,2790.166,242886.000
25,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_04_R3D.tif:background04:1,25.376,131.579,124,144,3338.950,290658.000
26,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_04_R3D.tif:background04:2,25.376,108.780,105,115,2760.413,240296.000
27,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_04_R3D.tif:background04:1,25.376,131.665,125,142,3341.121,290847.000
28,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_04_R3D.tif:background04:2,25.376,109.656,105,116,2782.619,242229.000
29,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_04_R3D.tif:worm04:1,583.912,285.629,203,575,166782.314,14518522.000
30,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_04_R3D.tif:worm04:2,583.912,115.329,108,140,67341.837,5862156.000
31,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_03_R3D.tif:background04:2,25.376,110.987,107,119,2816.404,245170.000
32,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_03_R3D.tif:background04:1,25.376,135.817,128,148,3446.485,300019.000
33,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_03_R3D.tif:background04:1,25.376,137.485,125,152,3488.816,303704.000
34,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_03_R3D.tif:background04:2,25.376,110.396,106,116,2801.401,243864.000
35,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_03_R3D.tif:background04:1,25.376,130.483,124,140,3311.127,288236.000
36,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_03_R3D.tif:background04:2,25.376,110.315,106,117,2799.356,243686.000
37,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_03_R3D.tif:background04:1,25.376,137.019,129,150,3477.007,302676.000
38,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_03_R3D.tif:background04:2,25.376,110.468,106,116,2803.228,244023.000
39,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_03_R3D.tif:worm03:1,981.933,359.819,231,910,353318.409,30756625.000
40,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_03_R3D.tif:worm03:2,981.933,117.391,109,160,115270.144,10034350.000
41,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_01_R3D.tif:background01:1,25.376,129.196,124,142,3278.468,285393.000
42,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_01_R3D.tif:background01:2,25.376,110.937,107,117,2815.129,245059.000
43,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_01_R3D.tif:background01:1,25.376,129.223,122,139,3279.168,285454.000
44,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_01_R3D.tif:background01:2,25.376,110.088,106,118,2793.589,243184.000
45,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_01_R3D.tif:background01:1,25.376,130.329,124,142,3307.233,287897.000
46,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_01_R3D.tif:background01:2,25.376,110.794,107,117,2811.499,244743.000
47,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_01_R3D.tif:background01:1,25.376,133.239,126,147,3381.063,294324.000
48,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_01_R3D.tif:background01:2,25.376,110.921,107,118,2814.727,245024.000
49,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_01_R3D.tif:worm01:1,1508.638,337.669,194,645,509419.917,44345375.000
50,MAX_CEBP1gfp_ELT7rnai_Rep3_Azide60X_01_R3D.tif:worm01:2,1508.638,130.938,111,208,197538.381,17195860.000
