 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_23_R3D.tif:background23:1,25.376,135.720,126,151,3444.038,299806.000
2,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_23_R3D.tif:background23:2,25.376,110.905,107,117,2814.325,244989.000
3,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_23_R3D.tif:background23:1,25.376,127.401,121,138,3232.931,281429.000
4,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_23_R3D.tif:background23:2,25.376,110.589,107,117,2806.295,244290.000
5,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_23_R3D.tif:background23:1,25.376,126.626,121,138,3213.264,279717.000
6,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_23_R3D.tif:background23:2,25.376,110.306,106,116,2799.126,243666.000
7,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_23_R3D.tif:background23:1,25.376,130.039,122,141,3299.880,287257.000
8,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_23_R3D.tif:background23:2,25.376,110.635,107,117,2807.466,244392.000
9,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_23_R3D.tif:worm23:1,1050.100,493.330,305,1774,518045.819,45096266.000
10,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_23_R3D.tif:worm23:2,1050.100,116.651,107,188,122495.655,10663336.000
11,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_22_R3D.tif:background22:1,25.376,134.801,126,151,3420.718,297776.000
12,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_22_R3D.tif:background22:2,25.376,110.770,107,117,2810.901,244691.000
13,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_22_R3D.tif:background22:1,25.376,131.035,124,143,3325.142,289456.000
14,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_22_R3D.tif:background22:2,25.376,110.434,107,116,2802.377,243949.000
15,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_22_R3D.tif:background22:1,25.376,133.713,125,146,3393.113,295373.000
16,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_22_R3D.tif:background22:2,25.376,110.860,107,117,2813.187,244890.000
17,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_22_R3D.tif:background22:1,25.376,130.530,123,141,3312.333,288341.000
18,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_22_R3D.tif:background22:2,25.376,110.759,107,116,2810.614,244666.000
19,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_22_R3D.tif:worm22:1,1335.153,439.492,229,1999,586788.666,51080381.000
20,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_22_R3D.tif:worm22:2,1335.153,122.382,108,223,163398.965,14223999.000
21,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_21_R3D.tif:background22:1,25.376,131.050,124,142,3325.521,289489.000
22,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_21_R3D.tif:background22:2,25.376,110.723,107,118,2809.707,244587.000
23,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_21_R3D.tif:background22:1,25.376,148.776,134,173,3775.350,328647.000
24,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_21_R3D.tif:background22:2,25.376,111.058,107,118,2818.207,245327.000
25,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_21_R3D.tif:background22:1,25.376,134.789,125,195,3420.419,297750.000
26,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_21_R3D.tif:background22:2,25.376,109.848,106,116,2787.513,242655.000
27,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_21_R3D.tif:background22:1,25.376,142.576,131,160,3618.017,314951.000
28,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_21_R3D.tif:background22:2,25.376,110.739,107,119,2810.109,244622.000
29,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_21_R3D.tif:worm21:1,814.720,556.742,346,1739,453589.012,39485254.000
30,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_21_R3D.tif:worm21:2,814.720,124.159,111,177,101154.512,8805574.000
31,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_20_R3D.tif:background21:1,25.376,136.724,127,150,3469.506,302023.000
32,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_20_R3D.tif:background21:1,25.376,132.749,126,147,3368.633,293242.000
33,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_20_R3D.tif:background21:2,25.376,110.901,107,116,2814.221,244980.000
