 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_01_C1,1182.265,233.430,159,750,275976.082,24023919.000
2,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_01_C1,28.719,120.091,114,131,3448.886,300228.000
3,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_01_C1,28.719,114.342,110,121,3283.763,285854.000
4,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_01_C1,28.719,115.094,110,124,3305.372,287735.000
5,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_01_C1,28.719,121.383,115,132,3485.990,303458.000
6,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_01_C2,1182.265,309.237,163,1186,365599.812,31825730.000
7,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_01_C2,28.719,148.204,137,161,4256.242,370509.000
8,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_01_C2,28.719,141.209,131,155,4055.371,353023.000
9,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_01_C2,28.719,141.590,133,155,4066.319,353976.000
10,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_01_C2,28.719,148.910,139,165,4276.529,372275.000
11,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_02_C1,1196.716,230.454,160,643,275788.306,24007573.000
12,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_02_C1,28.719,144.878,130,168,4160.723,362194.000
13,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_02_C1,28.719,117.594,112,128,3377.157,293984.000
14,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_02_C1,28.719,115.204,111,123,3308.542,288011.000
15,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_02_C1,28.719,130.179,119,147,3738.602,325448.000
16,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_02_C2,1196.716,289.002,180,1418,345853.842,30106829.000
17,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_02_C2,28.719,156.460,142,177,4493.357,391150.000
18,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_02_C2,28.719,137.484,131,149,3948.387,343710.000
19,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_02_C2,28.719,136.889,130,148,3931.305,342223.000
20,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_02_C2,28.719,149.793,138,170,4301.882,374482.000
21,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_03_C1,1115.281,225.008,145,640,250947.446,21845158.000
22,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_03_C1,28.719,118.163,112,127,3393.504,295407.000
23,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_03_C1,28.719,111.543,108,120,3203.397,278858.000
24,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_03_C1,28.719,112.047,109,119,3217.859,280117.000
25,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_03_C1,28.719,112.027,108,119,3217.296,280068.000
26,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_03_C2,1115.281,267.426,156,1235,298255.424,25963352.000
27,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_03_C2,28.719,133.290,126,142,3827.940,333225.000
28,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_03_C2,28.719,128.267,123,136,3683.680,320667.000
