WBGeneID,Sequence.name,Public_name,blazie_mixed,hashimshony_emb,pauli_L4,spencer_LE,spencer_L2,cluster.description,intestine_dev_cluster
WBGene00000142,C08B6.9,aos-1,TRUE,FALSE,FALSE,FALSE,FALSE,Not_Changing,Adult
WBGene00000182,B0336.2,arf-1.2,FALSE,FALSE,TRUE,FALSE,FALSE,Increasing,Embryonic
WBGene00000382,C43E11.10,cdc-6,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High,Adult
WBGene00000391,C47D2.2,cdd-1,TRUE,TRUE,TRUE,TRUE,FALSE,Larval,L1
WBGene00000522,C09F12.1,clc-1,TRUE,FALSE,TRUE,FALSE,TRUE,Increasing,Post-embryonic
WBGene00000871,C37A2.4,cye-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High,Adult
WBGene00000931,C25A1.10,dao-5,FALSE,FALSE,FALSE,TRUE,FALSE,L3_High,Adult
WBGene00000970,C17G10.8,dhs-6,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing,Embryonic
WBGene00001019,B0035.14,dnj-1,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing,Embryonic
WBGene00001094,B0464.1,dars-1,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing,Post-embryonic
WBGene00001193,C23H3.1,egl-26,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing,Embryonic
WBGene00001228,B0511.10,eif-3.E,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High,Adult
WBGene00001508,C10F3.6,fut-8,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High,Embryonic
WBGene00001563,C05C8.4,gei-6,TRUE,FALSE,FALSE,FALSE,FALSE,Embryo_Specific,Embryonic
WBGene00001564,C05E4.9,icl-1,FALSE,TRUE,FALSE,TRUE,FALSE,Larval,L1
WBGene00001602,C45B2.5,gln-1,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing,Post-embryonic
WBGene00001620,C12D12.2,glt-1,TRUE,FALSE,FALSE,FALSE,FALSE,Larval,Post-embryonic
WBGene00002007,C15H9.6,hsp-3,FALSE,FALSE,FALSE,TRUE,FALSE,Increasing,Post-embryonic
WBGene00002023,C09B8.6,hsp-25,FALSE,FALSE,TRUE,FALSE,FALSE,Increasing,Embryonic
WBGene00002146,C09B8.1,ipp-5,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing,Embryonic
WBGene00002231,C02F5.1,knl-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High,Adult
WBGene00002850,C16A3.3,let-716,FALSE,FALSE,TRUE,FALSE,FALSE,L3_High,Adult
WBGene00002855,C05D11.12,let-721,FALSE,FALSE,FALSE,TRUE,FALSE,Increasing,Adult
WBGene00002980,C32D5.9,lgg-1,FALSE,FALSE,TRUE,FALSE,FALSE,Increasing,Embryonic
WBGene00002982,B0336.8,lgg-3,FALSE,FALSE,TRUE,FALSE,FALSE,L3_High,Embryonic
WBGene00002985,C29A12.3,lig-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High,Adult
WBGene00003010,B0001.1,lin-24,FALSE,FALSE,TRUE,FALSE,FALSE,Increasing,Embryonic
WBGene00003026,C12C8.3,lin-41,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High,Post-embryonic
WBGene00003043,C05B10.1,lip-1,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing,Embryonic
WBGene00003053,C03B1.12,lmp-1,FALSE,FALSE,TRUE,FALSE,TRUE,L3_High,Adult
WBGene00003096,C02A12.4,lys-7,FALSE,FALSE,TRUE,FALSE,TRUE,Larval,Post-embryonic
WBGene00003160,C50F4.11,mdf-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High,Adult
WBGene00003214,C05D11.11,mel-32,FALSE,FALSE,FALSE,TRUE,FALSE,Increasing,Post-embryonic
WBGene00003526,C07D10.4,nas-7,FALSE,TRUE,FALSE,FALSE,FALSE,L3_High,Embryonic
WBGene00003640,C06C6.5,nhr-50,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing,Embryonic
WBGene00003690,C28D4.1,nhr-100,FALSE,FALSE,TRUE,FALSE,FALSE,Larval,L1
WBGene00003695,C06G3.1,nhr-105,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing,L1
WBGene00003769,B0213.6,nlp-31,FALSE,TRUE,TRUE,TRUE,FALSE,Embryo_Specific,L1
WBGene00003800,C03D6.4,npp-14,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High,Adult
