term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0008340,"determination of adult lifespan",2.373%,-3.388,-5.981,2.348,-11.0044,0.861,0.000,8340,0
GO:0016311,"dephosphorylation",2.736%, 6.627,-1.296,2.410,-3.5086,0.875,0.000,16311,0
GO:0040011,"locomotion",5.227%,-1.151,-0.244,2.690,-1.4609,0.990,0.000,40011,0
GO:0043547,"positive regulation of GTPase activity",1.315%, 0.818,-0.351,2.093,-2.7399,0.901,0.000,43547,0
GO:0050790,"regulation of catalytic activity",4.126%,null,null,2.588,-1.3803,0.897,0.780,43547,1
GO:0090630,"activation of GTPase activity",0.203%,null,null,1.301,-1.6790,0.913,0.805,43547,1
GO:0045087,"innate immune response",3.313%, 1.755,-5.007,2.493,-18.1192,0.884,0.000,45087,0
GO:0050829,"defense response to Gram-negative bacterium",0.321%,null,null,1.491,-3.9586,0.889,0.697,45087,1
GO:0050830,"defense response to Gram-positive bacterium",0.171%,null,null,1.230,-1.4461,0.894,0.849,45087,1
GO:0051085,"chaperone mediated protein folding requiring cofactor",0.043%,-1.864,-0.706,0.699,-1.7986,0.967,0.015,51085,0
GO:0006457,"protein folding",1.005%,-0.755, 0.141,1.978,-1.3295,0.969,0.021,6457,0
GO:0031581,"hemidesmosome assembly",0.139%,-2.543, 7.199,1.146,-5.3010,0.829,0.037,31581,0
GO:0006378,"mRNA polyadenylation",0.128%, 4.621,-1.137,1.114,-1.4167,0.899,0.083,6378,0
GO:0042157,"lipoprotein metabolic process",0.331%, 0.182, 0.350,1.505,-1.4152,0.943,0.085,42157,0
GO:0070536,"protein K63-linked deubiquitination",0.021%, 2.647, 2.302,0.477,-1.4120,0.910,0.085,70536,0
GO:0045197,"establishment or maintenance of epithelial cell apical/basal polarity",0.096%,-0.680, 2.224,1.000,-1.6045,0.885,0.106,45197,0
GO:0012501,"programmed cell death",1.796%, 0.571, 4.670,2.228,-4.3468,0.846,0.135,12501,0
GO:0010940,"positive regulation of necrotic cell death",0.128%,null,null,1.114,-1.8781,0.805,0.820,12501,1
GO:0043065,"positive regulation of apoptotic process",0.363%,null,null,1.544,-1.8824,0.789,0.787,12501,1
GO:0008630,"intrinsic apoptotic signaling pathway in response to DNA damage",0.171%,null,null,1.230,-2.0878,0.759,0.729,12501,1
GO:0009306,"protein secretion",0.267%,-4.562, 3.553,1.415,-2.5317,0.804,0.144,9306,0
