Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Developmental protein	24	6.557377049180328	8.799038874060939E-7	WBGENE00003905, WBGENE00000439, WBGENE00018369, WBGENE00003939, WBGENE00006868, WBGENE00003006, WBGENE00003830, WBGENE00001411, WBGENE00003104, WBGENE00000168, WBGENE00006815, WBGENE00003047, WBGENE00018591, WBGENE00006745, WBGENE00001842, WBGENE00003018, WBGENE00003393, WBGENE00006498, WBGENE00003030, WBGENE00003024, WBGENE00003112, WBGENE00004013, WBGENE00000461, WBGENE00003242	366	394	20248	3.3698926520762256	1.4957253958303163E-4	1.4958366085903596E-4	1.4694394919681768E-4
GOTERM_BP_DIRECT	GO:0007411~axon guidance	12	3.278688524590164	6.658398439969305E-6	WBGENE00006498, WBGENE00004729, WBGENE00006852, WBGENE00003024, WBGENE00006780, WBGENE00006890, WBGENE00006770, WBGENE00013693, WBGENE00006868, WBGENE00004215, WBGENE00016539, WBGENE00006745	252	96	11627	5.767361111111111	0.0031710282654755506	0.0031760560558653584	0.003142764063665512
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	24	6.557377049180328	2.5065419719858307E-5	WBGENE00003905, WBGENE00000439, WBGENE00018369, WBGENE00003939, WBGENE00006868, WBGENE00003006, WBGENE00003830, WBGENE00001411, WBGENE00003104, WBGENE00000168, WBGENE00006815, WBGENE00003047, WBGENE00018591, WBGENE00006745, WBGENE00001842, WBGENE00003018, WBGENE00003393, WBGENE00006498, WBGENE00003030, WBGENE00003024, WBGENE00003112, WBGENE00004013, WBGENE00000461, WBGENE00003242	252	408	11627	2.714052287581699	0.011885161858943838	0.004876071571990364	0.004824959710648747
GOTERM_BP_DIRECT	GO:0008045~motor neuron axon guidance	6	1.639344262295082	3.066711680497084E-5	WBGENE00006498, WBGENE00006852, WBGENE00006770, WBGENE00004215, WBGENE00017381, WBGENE00006745	252	18	11627	15.379629629629628	0.014521963232856594	0.004876071571990364	0.004824959710648747
INTERPRO	IPR013783:Immunoglobulin-like fold	11	3.0054644808743167	4.602864997745336E-5	WBGENE00004729, WBGENE00004370, WBGENE00003242, WBGENE00006868, WBGENE00020160, WBGENE00004732, WBGENE00004215, WBGENE00017184, WBGENE00016539, WBGENE00001863, WBGENE00006745	284	107	14476	5.240094774252994	0.02549211324082956	0.017911159673816787	0.017879232472972195
GOTERM_BP_DIRECT	GO:0033563~dorsal/ventral axon guidance	6	1.639344262295082	5.3564215042843386E-5	WBGENE00004729, WBGENE00006852, WBGENE00006780, WBGENE00006770, WBGENE00016539, WBGENE00006745	252	20	11627	13.841666666666667	0.025227155263995327	0.006387532643859074	0.00632057737505552
INTERPRO	IPR003599:Immunoglobulin subtype	8	2.185792349726776	6.38544016891864E-5	WBGENE00004729, WBGENE00004370, WBGENE00003242, WBGENE00004732, WBGENE00004215, WBGENE00017184, WBGENE00001863, WBGENE00006745	284	52	14476	7.841820151679307	0.03518939687995082	0.017911159673816787	0.017879232472972195
UP_KEYWORDS	Disulfide bond	24	6.557377049180328	1.3939776483706424E-4	WBGENE00001638, WBGENE00018365, WBGENE00004729, WBGENE00014057, WBGENE00001630, WBGENE00003006, WBGENE00004777, WBGENE00003104, WBGENE00004215, WBGENE00000168, WBGENE00001475, WBGENE00017381, WBGENE00001863, WBGENE00006745, WBGENE00000941, WBGENE00006498, WBGENE00000082, WBGENE00006852, WBGENE00003242, WBGENE00206537, WBGENE00003170, WBGENE00016913, WBGENE00002091, WBGENE00004092	366	541	20248	2.4542286597375838	0.023420649518812953	0.01184881001115046	0.011639713363894863
INTERPRO	IPR007110:Immunoglobulin-like domain	9	2.459016393442623	1.6565262030499757E-4	WBGENE00004729, WBGENE00004370, WBGENE00003242, WBGENE00020160, WBGENE00004732, WBGENE00004215, WBGENE00017184, WBGENE00001863, WBGENE00006745	284	80	14476	5.734330985915493	0.08875074934219784	0.030977039997034547	0.03092182245693288
SMART	SM00409:IG	8	2.185792349726776	3.231608764949617E-4	WBGENE00004729, WBGENE00004370, WBGENE00003242, WBGENE00004732, WBGENE00004215, WBGENE00017184, WBGENE00001863, WBGENE00006745	147	52	5688	5.952904238618524	0.04207648543929454	0.042980396573829904	0.042980396573829904
