Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007411~axon guidance	12	3.278688524590164	7.294226988688795E-5	WBGENE00006498, WBGENE00004729, WBGENE00006852, WBGENE00003024, WBGENE00006780, WBGENE00006890, WBGENE00006770, WBGENE00013693, WBGENE00006868, WBGENE00004215, WBGENE00016539, WBGENE00006745	252	45	3992	4.224338624338624	0.03419635526878784	0.034793462736045555	0.034793462736045555
INTERPRO	IPR007110:Immunoglobulin-like domain	9	2.459016393442623	1.7063322178413986E-4	WBGENE00004729, WBGENE00004370, WBGENE00003242, WBGENE00020160, WBGENE00004732, WBGENE00004215, WBGENE00017184, WBGENE00001863, WBGENE00006745	284	28	4692	5.3103621730382295	0.09129375995570721	0.08019069048736062	0.08019069048736062
UP_KEYWORDS	Developmental protein	24	6.557377049180328	2.0197291225441223E-4	WBGENE00003905, WBGENE00000439, WBGENE00018369, WBGENE00003939, WBGENE00006868, WBGENE00003006, WBGENE00003830, WBGENE00001411, WBGENE00003104, WBGENE00000168, WBGENE00006815, WBGENE00003047, WBGENE00018591, WBGENE00006745, WBGENE00001842, WBGENE00003018, WBGENE00003393, WBGENE00006498, WBGENE00003030, WBGENE00003024, WBGENE00003112, WBGENE00004013, WBGENE00000461, WBGENE00003242	366	166	5894	2.3282638751728224	0.03375597515515982	0.03433539508325008	0.03433539508325008
INTERPRO	IPR003599:Immunoglobulin subtype	8	2.185792349726776	2.858848145716956E-4	WBGENE00004729, WBGENE00004370, WBGENE00003242, WBGENE00004732, WBGENE00004215, WBGENE00017184, WBGENE00001863, WBGENE00006745	284	23	4692	5.746478873239437	0.1482006721999607	0.08019069048736062	0.08019069048736062
GOTERM_BP_DIRECT	GO:0008045~motor neuron axon guidance	6	1.639344262295082	3.189124016179467E-4	WBGENE00006498, WBGENE00006852, WBGENE00006770, WBGENE00004215, WBGENE00017381, WBGENE00006745	252	11	3992	8.64069264069264	0.14113667355244663	0.050707071857253525	0.050707071857253525
GOTERM_BP_DIRECT	GO:0033563~dorsal/ventral axon guidance	6	1.639344262295082	3.189124016179467E-4	WBGENE00004729, WBGENE00006852, WBGENE00006780, WBGENE00006770, WBGENE00016539, WBGENE00006745	252	11	3992	8.64069264069264	0.14113667355244663	0.050707071857253525	0.050707071857253525
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	24	6.557377049180328	4.5345529575919303E-4	WBGENE00003905, WBGENE00000439, WBGENE00018369, WBGENE00003939, WBGENE00006868, WBGENE00003006, WBGENE00003830, WBGENE00001411, WBGENE00003104, WBGENE00000168, WBGENE00006815, WBGENE00003047, WBGENE00018591, WBGENE00006745, WBGENE00001842, WBGENE00003018, WBGENE00003393, WBGENE00006498, WBGENE00003030, WBGENE00003024, WBGENE00003112, WBGENE00004013, WBGENE00000461, WBGENE00003242	252	174	3992	2.1850027367268745	0.19454442638426495	0.05407454401928377	0.05407454401928377
UP_KEYWORDS	Disulfide bond	24	6.557377049180328	4.798930266103649E-4	WBGENE00001638, WBGENE00018365, WBGENE00004729, WBGENE00014057, WBGENE00001630, WBGENE00003006, WBGENE00004777, WBGENE00003104, WBGENE00004215, WBGENE00000168, WBGENE00001475, WBGENE00017381, WBGENE00001863, WBGENE00006745, WBGENE00000941, WBGENE00006498, WBGENE00000082, WBGENE00006852, WBGENE00003242, WBGENE00206537, WBGENE00003170, WBGENE00016913, WBGENE00002091, WBGENE00004092	366	176	5894	2.1959761549925485	0.07836074547378014	0.04079090726188102	0.04079090726188102
SMART	SM00409:IG	8	2.185792349726776	6.347166196972403E-4	WBGENE00004729, WBGENE00004370, WBGENE00003242, WBGENE00004732, WBGENE00004215, WBGENE00017184, WBGENE00001863, WBGENE00006745	147	23	2107	4.9855072463768115	0.08097698397243669	0.08441731041973295	0.08441731041973295
INTERPRO	IPR013783:Immunoglobulin-like fold	11	3.0054644808743167	7.617925889232052E-4	WBGENE00004729, WBGENE00004370, WBGENE00003242, WBGENE00006868, WBGENE00020160, WBGENE00004732, WBGENE00004215, WBGENE00017184, WBGENE00016539, WBGENE00001863, WBGENE00006745	284	51	4692	3.5633802816901405	0.3478811882807552	0.14245521412863937	0.14245521412863937
INTERPRO	IPR003598:Immunoglobulin subtype 2	7	1.912568306010929	0.0014963529764917775	WBGENE00004729, WBGENE00003242, WBGENE00004732, WBGENE00004215, WBGENE00017184, WBGENE00001863, WBGENE00006745	284	22	4692	5.256722151088348	0.5683251804942981	0.2098635049529718	0.2098635049529718
SMART	SM00408:IGc2	7	1.912568306010929	0.0029452214190681257	WBGENE00004729, WBGENE00003242, WBGENE00004732, WBGENE00004215, WBGENE00017184, WBGENE00001863, WBGENE00006745	147	22	2107	4.56060606060606	0.3244934511134746	0.19585722436803035	0.19585722436803035
INTERPRO	IPR003961:Fibronectin, type III	6	1.639344262295082	0.007042023005462746	WBGENE00004729, WBGENE00006868, WBGENE00004732, WBGENE00004215, WBGENE00017184, WBGENE00016539	284	21	4692	4.720321931589537	0.9810234367755664	0.7901149812129201	0.7901149812129201
SMART	SM00060:FN3	6	1.639344262295082	0.007842369125670923	WBGENE00004729, WBGENE00006868, WBGENE00004732, WBGENE00004215, WBGENE00017184, WBGENE00016539	147	19	2107	4.526315789473684	0.6490622903200178	0.3084133393865442	0.3084133393865442
SMART	SM00209:TSP1	4	1.092896174863388	0.009275589154482532	WBGENE00000082, WBGENE00003242, WBGENE00011269, WBGENE00006745	147	7	2107	8.19047619047619	0.7104451154864787	0.3084133393865442	0.3084133393865442
INTERPRO	IPR003595:Protein-tyrosine phosphatase, catalytic	5	1.366120218579235	0.010410643342664944	WBGENE00016053, WBGENE00016356, WBGENE00004215, WBGENE00021507, WBGENE00021867	284	15	4692	5.507042253521127	0.9971799046480808	0.9733951525391723	0.9733951525391723
GOTERM_BP_DIRECT	GO:0022008~neurogenesis	3	0.819672131147541	0.011324204730828418	WBGENE00018987, WBGENE00003047, WBGENE00003018	252	3	3992	15.84126984126984	0.9956276873716845	0.9537399680114165	0.9537399680114165
UP_KEYWORDS	Immunoglobulin domain	5	1.366120218579235	0.011437554982591474	WBGENE00004729, WBGENE00004370, WBGENE00003242, WBGENE00004215, WBGENE00006745	366	15	5894	5.367941712204007	0.8585189324547615	0.4969405019066951	0.4969405019066951
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	110	30.05464480874317	0.01176269859047126	WBGENE00001815, WBGENE00014057, WBGENE00001816, WBGENE00000168, WBGENE00000563, WBGENE00021309, WBGENE00007757, WBGENE00012428, WBGENE00005063, WBGENE00012662, WBGENE00016749, WBGENE00021157, WBGENE00020587, WBGENE00021396, WBGENE00005603, WBGENE00009926, WBGENE00006815, WBGENE00008954, WBGENE00001247, WBGENE00009778, WBGENE00013222, WBGENE00012775, WBGENE00001638, WBGENE00012095, WBGENE00020114, WBGENE00005718, WBGENE00022014, WBGENE00015364, WBGENE00001630, WBGENE00006924, WBGENE00001475, WBGENE00004902, WBGENE00023506, WBGENE00017381, WBGENE00006498, WBGENE00015519, WBGENE00006890, WBGENE00012762, WBGENE00019279, WBGENE00003006, WBGENE00009629, WBGENE00004215, WBGENE00004732, WBGENE00004978, WBGENE00004735, WBGENE00011427, WBGENE00005433, WBGENE00007176, WBGENE00006121, WBGENE00016951, WBGENE00022393, WBGENE00012116, WBGENE00010579, WBGENE00004729, WBGENE00003518, WBGENE00019546, WBGENE00017400, WBGENE00015861, WBGENE00006747, WBGENE00006868, WBGENE00044900, WBGENE00006745, WBGENE00007317, WBGENE00013957, WBGENE00007686, WBGENE00012628, WBGENE00001065, WBGENE00002275, WBGENE00001063, WBGENE00017119, WBGENE00012180, WBGENE00005809, WBGENE00015692, WBGENE00012182, WBGENE00011094, WBGENE00016300, WBGENE00023411, WBGENE00003104, WBGENE00009967, WBGENE00019493, WBGENE00009449, WBGENE00000634, WBGENE00012219, WBGENE00006066, WBGENE00011121, WBGENE00016538, WBGENE00021126, WBGENE00015442, WBGENE00010392, WBGENE00000225, WBGENE00017184, WBGENE00021524, WBGENE00018709, WBGENE00005085, WBGENE00007384, WBGENE00021807, WBGENE00020160, WBGENE00013255, WBGENE00016129, WBGENE00021413, WBGENE00004777, WBGENE00002233, WBGENE00021936, WBGENE00006677, WBGENE00006678, WBGENE00010015, WBGENE00012718, WBGENE00011587, WBGENE00003170, WBGENE00019507	227	1464	3588	1.1876218675525385	0.8023074880088635	1.0	1.0
GOTERM_BP_DIRECT	GO:0043171~peptide catabolic process	5	1.366120218579235	0.011996729157376308	WBGENE00022176, WBGENE00013166, WBGENE00007509, WBGENE00011587, WBGENE00007139	252	15	3992	5.28042328042328	0.9968395539608965	0.9537399680114165	0.9537399680114165
GOTERM_MF_DIRECT	GO:0004930~G-protein coupled receptor activity	8	2.185792349726776	0.013059539926732694	WBGENE00018709, WBGENE00015364, WBGENE00003006, WBGENE00004777, WBGENE00009629, WBGENE00013222, WBGENE00001475, WBGENE00021524	216	42	3485	3.073192239858906	0.9708749637325992	1.0	1.0
UP_KEYWORDS	Transmembrane	109	29.78142076502732	0.013461090356165733	WBGENE00001815, WBGENE00014057, WBGENE00001816, WBGENE00000168, WBGENE00000563, WBGENE00021309, WBGENE00007757, WBGENE00012428, WBGENE00005063, WBGENE00012662, WBGENE00016749, WBGENE00021157, WBGENE00020587, WBGENE00021396, WBGENE00005603, WBGENE00009926, WBGENE00006815, WBGENE00008954, WBGENE00001247, WBGENE00009778, WBGENE00013222, WBGENE00012775, WBGENE00001638, WBGENE00012095, WBGENE00020114, WBGENE00005718, WBGENE00022014, WBGENE00015364, WBGENE00001630, WBGENE00006924, WBGENE00001475, WBGENE00004902, WBGENE00023506, WBGENE00017381, WBGENE00006498, WBGENE00015519, WBGENE00006890, WBGENE00012762, WBGENE00019279, WBGENE00003006, WBGENE00009629, WBGENE00004215, WBGENE00004732, WBGENE00004735, WBGENE00011427, WBGENE00005433, WBGENE00007176, WBGENE00006121, WBGENE00016951, WBGENE00022393, WBGENE00012116, WBGENE00010579, WBGENE00004729, WBGENE00003518, WBGENE00019546, WBGENE00017400, WBGENE00015861, WBGENE00006747, WBGENE00006868, WBGENE00044900, WBGENE00006745, WBGENE00007317, WBGENE00013957, WBGENE00007686, WBGENE00012628, WBGENE00001065, WBGENE00002275, WBGENE00001063, WBGENE00017119, WBGENE00012180, WBGENE00005809, WBGENE00015692, WBGENE00012182, WBGENE00011094, WBGENE00016300, WBGENE00023411, WBGENE00003104, WBGENE00009967, WBGENE00019493, WBGENE00009449, WBGENE00000634, WBGENE00012219, WBGENE00006066, WBGENE00011121, WBGENE00016538, WBGENE00021126, WBGENE00015442, WBGENE00010392, WBGENE00000225, WBGENE00017184, WBGENE00021524, WBGENE00018709, WBGENE00005085, WBGENE00007384, WBGENE00021807, WBGENE00020160, WBGENE00013255, WBGENE00016129, WBGENE00021413, WBGENE00004777, WBGENE00002233, WBGENE00021936, WBGENE00006677, WBGENE00006678, WBGENE00010015, WBGENE00012718, WBGENE00011587, WBGENE00003170, WBGENE00019507	366	1447	5894	1.2130732134697377	0.9001341078394604	0.4969405019066951	0.4969405019066951
INTERPRO	IPR000884:Thrombospondin, type 1 repeat	4	1.092896174863388	0.013891430668430786	WBGENE00000082, WBGENE00003242, WBGENE00011269, WBGENE00006745	284	9	4692	7.342723004694836	0.9996093614193656	0.9741365756237089	0.9741365756237089
INTERPRO	IPR001507:Zona pellucida domain	4	1.092896174863388	0.013891430668430786	WBGENE00044641, WBGENE00001063, WBGENE00021396, WBGENE00009926	284	9	4692	7.342723004694836	0.9996093614193656	0.9741365756237089	0.9741365756237089
