Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045087~innate immune response	67	4.289372599231754	7.752112263750114E-11	WBGENE00021586, WBGENE00021587, WBGENE00021582, WBGENE00010928, WBGENE00003995, WBGENE00006627, WBGENE00020579, WBGENE00000169, WBGENE00004801, WBGENE00003997, WBGENE00003480, WBGENE00004096, WBGENE00008495, WBGENE00008492, WBGENE00012101, WBGENE00016943, WBGENE00017678, WBGENE00015455, WBGENE00008494, WBGENE00021590, WBGENE00016424, WBGENE00018729, WBGENE00019619, WBGENE00018760, WBGENE00000912, WBGENE00015574, WBGENE00014761, WBGENE00019411, WBGENE00021519, WBGENE00019373, WBGENE00021635, WBGENE00007875, WBGENE00010034, WBGENE00015648, WBGENE00015362, WBGENE00017582, WBGENE00018274, WBGENE00000783, WBGENE00008988, WBGENE00004988, WBGENE00009518, WBGENE00009523, WBGENE00006575, WBGENE00015716, WBGENE00008634, WBGENE00002094, WBGENE00009520, WBGENE00022261, WBGENE00001749, WBGENE00019473, WBGENE00020760, WBGENE00009907, WBGENE00044719, WBGENE00007689, WBGENE00004857, WBGENE00001786, WBGENE00009434, WBGENE00003096, WBGENE00008149, WBGENE00008584, WBGENE00009430, WBGENE00021580, WBGENE00014138, WBGENE00014137, WBGENE00003091, WBGENE00019825, WBGENE00016912	1056	317	11627	2.3271227655099893	9.00795148472966E-8	9.007954450477632E-8	8.945937552367631E-8
UP_KEYWORDS	Transferase	131	8.386683738796414	8.421758626517885E-11	WBGENE00020696, WBGENE00019465, WBGENE00016111, WBGENE00011340, WBGENE00006941, WBGENE00006820, WBGENE00008602, WBGENE00019580, WBGENE00007637, WBGENE00015938, WBGENE00002192, WBGENE00012948, WBGENE00004893, WBGENE00010408, WBGENE00002190, WBGENE00015778, WBGENE00020189, WBGENE00002979, WBGENE00015376, WBGENE00000959, WBGENE00016620, WBGENE00015650, WBGENE00020504, WBGENE00001247, WBGENE00013904, WBGENE00003150, WBGENE00006786, WBGENE00015369, WBGENE00007072, WBGENE00010759, WBGENE00015522, WBGENE00013900, WBGENE00001638, WBGENE00021685, WBGENE00001757, WBGENE00020631, WBGENE00015124, WBGENE00018357, WBGENE00017300, WBGENE00008948, WBGENE00000265, WBGENE00002203, WBGENE00001994, WBGENE00001752, WBGENE00006402, WBGENE00045419, WBGENE00007977, WBGENE00006410, WBGENE00001241, WBGENE00016204, WBGENE00001749, WBGENE00004859, WBGENE00015074, WBGENE00011272, WBGENE00022781, WBGENE00020007, WBGENE00009628, WBGENE00001468, WBGENE00012999, WBGENE00004183, WBGENE00002044, WBGENE00007175, WBGENE00004068, WBGENE00003374, WBGENE00008780, WBGENE00017765, WBGENE00004182, WBGENE00020135, WBGENE00003916, WBGENE00000407, WBGENE00004727, WBGENE00000406, WBGENE00019546, WBGENE00014012, WBGENE00000761, WBGENE00020139, WBGENE00007047, WBGENE00011932, WBGENE00005020, WBGENE00005026, WBGENE00012907, WBGENE00009586, WBGENE00044071, WBGENE00000514, WBGENE00000517, WBGENE00000518, WBGENE00001564, WBGENE00007029, WBGENE00006579, WBGENE00021635, WBGENE00020821, WBGENE00008485, WBGENE00009177, WBGENE00013709, WBGENE00017625, WBGENE00014115, WBGENE00018398, WBGENE00003858, WBGENE00019883, WBGENE00008629, WBGENE00003214, WBGENE00001794, WBGENE00021527, WBGENE00020831, WBGENE00008599, WBGENE00011515, WBGENE00018708, WBGENE00009326, WBGENE00004033, WBGENE00011352, WBGENE00011232, WBGENE00019516, WBGENE00019515, WBGENE00012323, WBGENE00016408, WBGENE00012205, WBGENE00021534, WBGENE00002879, WBGENE00012162, WBGENE00001708, WBGENE00020683, WBGENE00015793, WBGENE00003048, WBGENE00001786, WBGENE00009952, WBGENE00010776, WBGENE00016995, WBGENE00018657, WBGENE00018811, WBGENE00018931, WBGENE00017329	1561	954	20248	1.7811567868256253	2.374937213556194E-8	1.6392889588574688E-8	1.5114011677409288E-8
UP_KEYWORDS	Alternative splicing	107	6.850192061459667	1.1626162828776374E-10	WBGENE00004804, WBGENE00004929, WBGENE00006787, WBGENE00006941, WBGENE00006820, WBGENE00002985, WBGENE00004801, WBGENE00006951, WBGENE00004095, WBGENE00004013, WBGENE00004254, WBGENE00006792, WBGENE00002190, WBGENE00002979, WBGENE00001122, WBGENE00006816, WBGENE00000799, WBGENE00020504, WBGENE00002215, WBGENE00003150, WBGENE00019207, WBGENE00013985, WBGENE00016977, WBGENE00001119, WBGENE00001516, WBGENE00009919, WBGENE00015088, WBGENE00006923, WBGENE00003654, WBGENE00002203, WBGENE00001994, WBGENE00003652, WBGENE00006920, WBGENE00004109, WBGENE00006767, WBGENE00000149, WBGENE00006768, WBGENE00008549, WBGENE00002173, WBGENE00004350, WBGENE00002056, WBGENE00003661, WBGENE00002054, WBGENE00015512, WBGENE00010628, WBGENE00015350, WBGENE00004859, WBGENE00017775, WBGENE00020649, WBGENE00001620, WBGENE00003003, WBGENE00001194, WBGENE00008149, WBGENE00003374, WBGENE00011146, WBGENE00003916, WBGENE00004727, WBGENE00000406, WBGENE00020131, WBGENE00022673, WBGENE00020097, WBGENE00001851, WBGENE00003630, WBGENE00003476, WBGENE00000247, WBGENE00001613, WBGENE00011932, WBGENE00006751, WBGENE00006874, WBGENE00003243, WBGENE00006595, WBGENE00003628, WBGENE00003627, WBGENE00000912, WBGENE00000518, WBGENE00001564, WBGENE00008519, WBGENE00005008, WBGENE00004318, WBGENE00003625, WBGENE00006579, WBGENE00020821, WBGENE00011647, WBGENE00010796, WBGENE00006460, WBGENE00006064, WBGENE00012972, WBGENE00018398, WBGENE00016011, WBGENE00015047, WBGENE00011240, WBGENE00003214, WBGENE00009717, WBGENE00000465, WBGENE00001038, WBGENE00006575, WBGENE00004036, WBGENE00004033, WBGENE00000908, WBGENE00011352, WBGENE00010428, WBGENE00011511, WBGENE00003600, WBGENE00003687, WBGENE00003048, WBGENE00015942, WBGENE00010419	1561	728	20248	1.9064772511281158	3.2785789527700615E-8	1.6392889588574688E-8	1.5114011677409288E-8
KEGG_PATHWAY	cel01100:Metabolic pathways	93	5.953905249679898	4.322572395264977E-10	WBGENE00020696, WBGENE00012033, WBGENE00019061, WBGENE00003476, WBGENE00017084, WBGENE00020812, WBGENE00011932, WBGENE00005020, WBGENE00016509, WBGENE00000371, WBGENE00005026, WBGENE00004893, WBGENE00020382, WBGENE00010408, WBGENE00012983, WBGENE00015778, WBGENE00016340, WBGENE00020343, WBGENE00017830, WBGENE00013670, WBGENE00012187, WBGENE00000111, WBGENE00020507, WBGENE00001002, WBGENE00010083, WBGENE00001843, WBGENE00018240, WBGENE00009801, WBGENE00019492, WBGENE00007824, WBGENE00017071, WBGENE00009138, WBGENE00004040, WBGENE00020509, WBGENE00009177, WBGENE00017625, WBGENE00012375, WBGENE00016415, WBGENE00016258, WBGENE00010759, WBGENE00018398, WBGENE00001638, WBGENE00019322, WBGENE00022610, WBGENE00017300, WBGENE00016892, WBGENE00010790, WBGENE00001993, WBGENE00001157, WBGENE00001158, WBGENE00003214, WBGENE00001794, WBGENE00008504, WBGENE00006920, WBGENE00006921, WBGENE00006768, WBGENE00004076, WBGENE00011679, WBGENE00010665, WBGENE00008435, WBGENE00004036, WBGENE00008354, WBGENE00013575, WBGENE00015512, WBGENE00015116, WBGENE00011232, WBGENE00013379, WBGENE00012326, WBGENE00022501, WBGENE00000976, WBGENE00021534, WBGENE00002879, WBGENE00011272, WBGENE00020683, WBGENE00007969, WBGENE00000298, WBGENE00021817, WBGENE00000212, WBGENE00020007, WBGENE00000213, WBGENE00009628, WBGENE00009902, WBGENE00012999, WBGENE00009952, WBGENE00002162, WBGENE00002044, WBGENE00016118, WBGENE00016995, WBGENE00018657, WBGENE00010419, WBGENE00008780, WBGENE00017765, WBGENE00016716	232	678	3022	1.7867332926457127	4.668377973082727E-8	4.668378186886175E-8	4.4090238431702765E-8
UP_KEYWORDS	Metal-binding	156	9.98719590268886	1.5160374038308331E-9	WBGENE00019742, WBGENE00018413, WBGENE00017961, WBGENE00003710, WBGENE00016190, WBGENE00004401, WBGENE00003559, WBGENE00002985, WBGENE00004922, WBGENE00004801, WBGENE00003678, WBGENE00016509, WBGENE00004256, WBGENE00003682, WBGENE00013236, WBGENE00011698, WBGENE00017671, WBGENE00015250, WBGENE00016344, WBGENE00000959, WBGENE00020460, WBGENE00018367, WBGENE00010083, WBGENE00003548, WBGENE00003546, WBGENE00006786, WBGENE00015926, WBGENE00000285, WBGENE00016975, WBGENE00019967, WBGENE00001638, WBGENE00021721, WBGENE00016173, WBGENE00018357, WBGENE00013584, WBGENE00000265, WBGENE00001993, WBGENE00006648, WBGENE00003654, WBGENE00001598, WBGENE00000264, WBGENE00006407, WBGENE00008829, WBGENE00003652, WBGENE00003538, WBGENE00006767, WBGENE00008830, WBGENE00003661, WBGENE00003021, WBGENE00011672, WBGENE00011673, WBGENE00017776, WBGENE00011675, WBGENE00011953, WBGENE00003649, WBGENE00017775, WBGENE00017136, WBGENE00000375, WBGENE00003643, WBGENE00004857, WBGENE00003646, WBGENE00001501, WBGENE00001194, WBGENE00002162, WBGENE00008149, WBGENE00003374, WBGENE00011146, WBGENE00003916, WBGENE00022798, WBGENE00000407, WBGENE00004727, WBGENE00000406, WBGENE00020131, WBGENE00014012, WBGENE00003633, WBGENE00003632, WBGENE00000245, WBGENE00003630, WBGENE00003476, WBGENE00003636, WBGENE00003635, WBGENE00007047, WBGENE00009503, WBGENE00003640, WBGENE00005026, WBGENE00003089, WBGENE00017238, WBGENE00044070, WBGENE00012983, WBGENE00003628, WBGENE00003627, WBGENE00015057, WBGENE00000518, WBGENE00020386, WBGENE00008519, WBGENE00005008, WBGENE00003621, WBGENE00002497, WBGENE00003626, WBGENE00007029, WBGENE00001843, WBGENE00003625, WBGENE00020821, WBGENE00006460, WBGENE00014115, WBGENE00009050, WBGENE00021522, WBGENE00020153, WBGENE00019883, WBGENE00017981, WBGENE00018036, WBGENE00010790, WBGENE00003611, WBGENE00001158, WBGENE00001554, WBGENE00003697, WBGENE00004786, WBGENE00269434, WBGENE00020831, WBGENE00008901, WBGENE00003580, WBGENE00008876, WBGENE00004036, WBGENE00000197, WBGENE00004033, WBGENE00000908, WBGENE00010308, WBGENE00016407, WBGENE00002637, WBGENE00003605, WBGENE00019473, WBGENE00001824, WBGENE00006839, WBGENE00019116, WBGENE00013650, WBGENE00021495, WBGENE00000298, WBGENE00003600, WBGENE00001663, WBGENE00004931, WBGENE00003688, WBGENE00003687, WBGENE00000212, WBGENE00003048, WBGENE00003564, WBGENE00018262, WBGENE00003725, WBGENE00003846, WBGENE00000213, WBGENE00003691, WBGENE00004383, WBGENE00010012, WBGENE00012277, WBGENE00016995, WBGENE00016632, WBGENE00018539	1561	1251	20248	1.617508299574306	4.2752245765775854E-7	1.425075159600983E-7	1.3138990833200555E-7
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	47	3.0089628681177976	1.3647322490169097E-8	WBGENE00018398, WBGENE00022457, WBGENE00020016, WBGENE00017764, WBGENE00044468, WBGENE00011240, WBGENE00018036, WBGENE00020517, WBGENE00003476, WBGENE00000247, WBGENE00021601, WBGENE00003877, WBGENE00011932, WBGENE00004076, WBGENE00003480, WBGENE00001241, WBGENE00004036, WBGENE00006351, WBGENE00004893, WBGENE00021075, WBGENE00010628, WBGENE00011511, WBGENE00020366, WBGENE00016340, WBGENE00018364, WBGENE00022642, WBGENE00000912, WBGENE00013670, WBGENE00022781, WBGENE00000212, WBGENE00010062, WBGENE00009801, WBGENE00000213, WBGENE00004735, WBGENE00001247, WBGENE00010773, WBGENE00002044, WBGENE00001393, WBGENE00009773, WBGENE00017625, WBGENE00012375, WBGENE00013101, WBGENE00016995, WBGENE00008043, WBGENE00008042, WBGENE00019965, WBGENE00011423	1056	211	11627	2.4525572669826223	1.5858063106222176E-5	7.929094366788245E-6	7.87450507682757E-6
UP_KEYWORDS	ATP-binding	88	5.633802816901409	1.0044065611050857E-6	WBGENE00003916, WBGENE00001815, WBGENE00000407, WBGENE00001812, WBGENE00017087, WBGENE00004727, WBGENE00000406, WBGENE00020131, WBGENE00016111, WBGENE00014012, WBGENE00002224, WBGENE00004007, WBGENE00003996, WBGENE00003995, WBGENE00002222, WBGENE00004005, WBGENE00007513, WBGENE00017162, WBGENE00006941, WBGENE00002985, WBGENE00001016, WBGENE00002226, WBGENE00003997, WBGENE00007047, WBGENE00007444, WBGENE00006874, WBGENE00006351, WBGENE00016104, WBGENE00002219, WBGENE00002979, WBGENE00015376, WBGENE00020781, WBGENE00000959, WBGENE00000518, WBGENE00015650, WBGENE00002217, WBGENE00006579, WBGENE00020504, WBGENE00021635, WBGENE00009335, WBGENE00003150, WBGENE00006786, WBGENE00004003, WBGENE00008641, WBGENE00013709, WBGENE00022010, WBGENE00014115, WBGENE00012059, WBGENE00019166, WBGENE00018357, WBGENE00017981, WBGENE00008948, WBGENE00000067, WBGENE00001994, WBGENE00002203, WBGENE00001598, WBGENE00003411, WBGENE00004076, WBGENE00008599, WBGENE00006059, WBGENE00009326, WBGENE00000197, WBGENE00004033, WBGENE00002010, WBGENE00015116, WBGENE00011352, WBGENE00015479, WBGENE00002637, WBGENE00002879, WBGENE00004859, WBGENE00001708, WBGENE00011272, WBGENE00007969, WBGENE00002038, WBGENE00003048, WBGENE00020007, WBGENE00004736, WBGENE00001468, WBGENE00004063, WBGENE00004183, WBGENE00003374, WBGENE00000064, WBGENE00018339, WBGENE00016995, WBGENE00010419, WBGENE00008780, WBGENE00004182, WBGENE00004060	1561	670	20248	1.7036763651314215	2.8320268303549945E-4	7.081066255790854E-5	6.528642647183057E-5
UP_KEYWORDS	Coiled coil	169	10.819462227912933	1.564161566447194E-6	WBGENE00004927, WBGENE00020334, WBGENE00017046, WBGENE00002224, WBGENE00008848, WBGENE00002222, WBGENE00006941, WBGENE00017162, WBGENE00003559, WBGENE00021029, WBGENE00001016, WBGENE00002226, WBGENE00004095, WBGENE00004256, WBGENE00004013, WBGENE00007365, WBGENE00011975, WBGENE00017430, WBGENE00021311, WBGENE00003826, WBGENE00012381, WBGENE00016344, WBGENE00020064, WBGENE00017158, WBGENE00018522, WBGENE00018763, WBGENE00015650, WBGENE00000793, WBGENE00003786, WBGENE00002217, WBGENE00003943, WBGENE00002215, WBGENE00002220, WBGENE00002067, WBGENE00010231, WBGENE00004881, WBGENE00017427, WBGENE00016976, WBGENE00016217, WBGENE00016735, WBGENE00012139, WBGENE00001119, WBGENE00017146, WBGENE00021044, WBGENE00004862, WBGENE00016172, WBGENE00006767, WBGENE00008549, WBGENE00009005, WBGENE00009888, WBGENE00006372, WBGENE00002055, WBGENE00002056, WBGENE00003143, WBGENE00007860, WBGENE00002054, WBGENE00009482, WBGENE00009880, WBGENE00020360, WBGENE00010902, WBGENE00012522, WBGENE00044296, WBGENE00012525, WBGENE00019399, WBGENE00016162, WBGENE00004739, WBGENE00015110, WBGENE00000938, WBGENE00020528, WBGENE00020527, WBGENE00003124, WBGENE00016281, WBGENE00021339, WBGENE00004735, WBGENE00021613, WBGENE00001194, WBGENE00011824, WBGENE00000140, WBGENE00007694, WBGENE00003374, WBGENE00002163, WBGENE00011707, WBGENE00006364, WBGENE00006760, WBGENE00015868, WBGENE00020092, WBGENE00013602, WBGENE00020134, WBGENE00001978, WBGENE00020131, WBGENE00017126, WBGENE00020770, WBGENE00014098, WBGENE00022671, WBGENE00016431, WBGENE00001333, WBGENE00003511, WBGENE00020018, WBGENE00000247, WBGENE00020930, WBGENE00021469, WBGENE00008528, WBGENE00019261, WBGENE00007047, WBGENE00007444, WBGENE00003085, WBGENE00006874, WBGENE00009068, WBGENE00017757, WBGENE00012101, WBGENE00016269, WBGENE00011532, WBGENE00018849, WBGENE00019014, WBGENE00020781, WBGENE00014087, WBGENE00011130, WBGENE00016387, WBGENE00000111, WBGENE00000872, WBGENE00008878, WBGENE00006579, WBGENE00006976, WBGENE00003986, WBGENE00020821, WBGENE00011647, WBGENE00010796, WBGENE00007791, WBGENE00001330, WBGENE00002263, WBGENE00012332, WBGENE00012972, WBGENE00019403, WBGENE00015684, WBGENE00015047, WBGENE00011240, WBGENE00016650, WBGENE00019883, WBGENE00012330, WBGENE00001795, WBGENE00000100, WBGENE00002247, WBGENE00001554, WBGENE00021528, WBGENE00000222, WBGENE00008745, WBGENE00006454, WBGENE00010664, WBGENE00003980, WBGENE00004035, WBGENE00012289, WBGENE00014864, WBGENE00018700, WBGENE00016006, WBGENE00012326, WBGENE00045183, WBGENE00017219, WBGENE00022346, WBGENE00017973, WBGENE00015156, WBGENE00019510, WBGENE00021931, WBGENE00010012, WBGENE00015941, WBGENE00020171, WBGENE00012277, WBGENE00022593, WBGENE00008582, WBGENE00014215	1561	1535	20248	1.428096497067152	4.4099663910646125E-4	8.821871234762174E-5	8.133640145525409E-5
UP_KEYWORDS	Transcription	75	4.801536491677337	2.4579417028545784E-6	WBGENE00019742, WBGENE00020015, WBGENE00004804, WBGENE00017961, WBGENE00003633, WBGENE00003710, WBGENE00001851, WBGENE00003632, WBGENE00003630, WBGENE00003636, WBGENE00003635, WBGENE00006943, WBGENE00001259, WBGENE00003678, WBGENE00003640, WBGENE00004013, WBGENE00004771, WBGENE00003682, WBGENE00018849, WBGENE00021237, WBGENE00020189, WBGENE00003628, WBGENE00003627, WBGENE00000912, WBGENE00017830, WBGENE00020460, WBGENE00012187, WBGENE00005008, WBGENE00003621, WBGENE00001441, WBGENE00006853, WBGENE00007029, WBGENE00003626, WBGENE00003625, WBGENE00006579, WBGENE00000238, WBGENE00020821, WBGENE00009899, WBGENE00016975, WBGENE00021522, WBGENE00001957, WBGENE00020153, WBGENE00017300, WBGENE00013584, WBGENE00019883, WBGENE00003611, WBGENE00006648, WBGENE00003654, WBGENE00003697, WBGENE00004786, WBGENE00003652, WBGENE00008901, WBGENE00008549, WBGENE00001435, WBGENE00008830, WBGENE00003661, WBGENE00000908, WBGENE00016408, WBGENE00003649, WBGENE00003605, WBGENE00019116, WBGENE00003688, WBGENE00003600, WBGENE00003687, WBGENE00003643, WBGENE00003003, WBGENE00003725, WBGENE00003846, WBGENE00004857, WBGENE00003646, WBGENE00003691, WBGENE00012999, WBGENE00001194, WBGENE00010012, WBGENE00018539	1561	555	20248	1.7528611250584345	6.929002457275457E-4	1.1552326003416518E-4	1.065108071236984E-4
GOTERM_BP_DIRECT	GO:0050829~defense response to Gram-negative bacterium	23	1.47247119078105	3.7095315291422182E-6	WBGENE00001749, WBGENE00022642, WBGENE00018274, WBGENE00000912, WBGENE00015574, WBGENE00003995, WBGENE00008988, WBGENE00020579, WBGENE00000169, WBGENE00004988, WBGENE00020930, WBGENE00003997, WBGENE00003096, WBGENE00009434, WBGENE00007875, WBGENE00004096, WBGENE00008634, WBGENE00008584, WBGENE00010034, WBGENE00009430, WBGENE00004990, WBGENE00016943, WBGENE00003091	1056	84	11627	3.0147569444444446	0.004301206831222815	0.0014368252122877526	0.00142693312821004
