	GO:0043401~steroid hormone mediated signaling pathway	SM00430:HOLI	IPR000536:Nuclear hormone receptor, ligand-binding, core	
Nuclear Hormone Receptor family(nhr-143)	1	1	1	
Nuclear Hormone Receptor family(nhr-274)	1	1	1	
Nuclear hormone receptor family member nhr-31(nhr-31)	1	1	1	
Nuclear Hormone Receptor family(nhr-46)	1	1	1	
Nuclear Hormone Receptor family(nhr-101)	1	1	1	
Nuclear Hormone Receptor family(nhr-135)	1	1	1	
Nuclear Hormone Receptor family(nhr-92)	1	1	1	
Nuclear Hormone Receptor family(nhr-56)	1	1	1	
Nuclear Hormone Receptor family(nhr-107)	1	1	1	
Nuclear Hormone Receptor family(nhr-12)	1	1	1	
Nuclear hormone receptor family member nhr-34(nhr-34)	1	1	1	
Nuclear Hormone Receptor family(nhr-98)	1	1	1	
Nuclear Hormone Receptor family(nhr-88)	1	1	1	
Nuclear Hormone Receptor family(nhr-43)	1	1	1	
Nuclear hormone receptor family member daf-12(daf-12)	1	1	1	
Nuclear hormone receptor family member nhr-42(nhr-42)	1	1	1	
Nuclear Hormone Receptor family(nhr-180)	1	1	1	
Nuclear hormone receptor family member nhr-97(nhr-97)	1	1	1	
Nuclear Hormone Receptor family(nhr-59)	1	1	1	
Nuclear hormone receptor family member nhr-40(nhr-40)	1	1	1	
Nuclear Hormone Receptor family(nhr-202)	1	1	1	
Nuclear Hormone Receptor family(nhr-1)	1	1	1	
GEX Interacting protein(nhr-27)	1	1	1	
Nuclear Hormone Receptor family(nhr-243)	1	1	1	
Nuclear hormone receptor family member nhr-53(nhr-53)	1	1	1	
Nuclear Hormone Receptor family(nhr-120)	1	1	1	
Nuclear Hormone Receptor family(nhr-273)	1	1	1	
Nuclear Hormone Receptor family(nhr-50)	1	1	1	
Nuclear Hormone Receptor family(nhr-6)	1	1	1	
Nuclear hormone receptor family member nhr-62(nhr-62)	1	1	1	
Nuclear Hormone Receptor family(nhr-32)	1	1	1	
Steroid hormone receptor family member cnr14(sex-1)	1	1	1	
Nuclear hormone receptor family member nhr-64(nhr-64)	1	1	1	
Nuclear hormone receptor family member nhr-22(nhr-22)	1	1	1	
Nuclear hormone receptor family member nhr-71(nhr-71)	1	1	1	
Nuclear Hormone Receptor family(nhr-185)	1	1	1	
Nuclear Hormone Receptor family(nhr-176)	1	1	1	
Nuclear Hormone Receptor family(nhr-210)	1	1	1	
Nuclear Hormone Receptor family(nhr-173)	1	1	1	
Nuclear hormone receptor family member nhr-35(nhr-35)	1	1	1	
Nuclear Hormone Receptor family(nhr-212)	1	1	1	
Nuclear Hormone Receptor family(nhr-45)	1	1	1	
