	GO:0002119~nematode larval development	GO:0000003~reproduction	GO:0009792~embryo development ending in birth or egg hatching	
UBiquitin Conjugating enzyme(ubc-6)	1	0	0	
Sop-2-related protein 3(sor-3)	1	0	0	
CarboxyPeptidase D family(cpd-1)	1	0	0	
Ubiquinone biosynthesis O-methyltransferase, mitochondrial(coq-3)	1	0	0	
E2F-like (mammalian transcription factor)(efl-3)	1	0	0	
Enoyl-CoA Hydratase(ech-1.2)	1	0	0	
Target Of Splicing(tos-1)	1	0	0	
Nuclear hormone receptor family member nhr-40(nhr-40)	1	0	0	
Acyl-CoA dehydrogenase family member 11(acdh-11)	1	0	0	
hypothetical protein(W09D10.1)	1	0	0	
Synaptobrevin-1(snb-1)	1	0	0	
hypothetical protein(D2030.2)	1	0	0	
myelin regulatory factor related(myrf-1)	1	0	0	
hypothetical protein(Y37D8A.16)	1	0	0	
MTM (myotubularin) family(mtm-6)	1	0	0	
Serine/threonine-protein kinase pak-1(pak-1)	1	0	0	
hypothetical protein(C26D10.3)	1	0	0	
CeNTaurin(cnt-1)	1	0	0	
Phosphocholine CYtidylylTransferase(pcyt-1)	1	0	0	
Dual specificity mitogen-activated protein kinase kinase sek-1(sek-1)	1	0	0	
hypothetical protein(F49E2.5)	1	0	0	
Forkhead box protein O(daf-16)	1	0	0	
Probable 39S ribosomal protein L35, mitochondrial(mrpl-35)	1	0	0	
Polyadenylation Factor Subunit homolog(pfs-2)	1	0	0	
Nuclear hormone receptor family member daf-12(daf-12)	1	0	0	
Suppressor/enhancer of lin-12 protein 9(sel-9)	1	0	0	
Dual-Leucine zipper Kinase(dlk-1)	1	0	0	
hypothetical protein(mec-14)	1	0	0	
Eukaryotic translation initiation factor 2-alpha kinase pek-1(pek-1)	1	0	0	
Heat shock protein Hsp-16.1/Hsp-16.11(hsp-16.1)	1	0	0	
Connector enhancer of kinase suppressor of ras(cnk-1)	1	0	0	
Mitogen-activated protein kinase sma-5(sma-5)	1	0	0	
Dwarfin sma(daf-8)	1	0	0	
PHd Finger family(phf-15)	1	0	0	
ABC transporter ATP-binding protein/permease wht-3(wht-3)	1	0	0	
SMAll(sma-1)	1	0	0	
MonoCarboxylate Transporter family(mct-6)	1	0	0	
MIZ-type zinc finger putative transcription factor(miz-1)	1	0	0	
T-box protein 2(tbx-2)	1	0	0	
DumPY: shorter than wild-type(dpy-17)	1	0	0	
