	cel03030:DNA replication	DNA replication	GO:0006260~DNA replication	
hypothetical protein(Y53F4B.3)	1	0	0	
ORC (Origin Recognition Complex) subunit(orc-5)	0	0	1	
Probable histone chaperone asf-1(unc-85)	0	0	1	
Cullin-4(cul-4)	0	0	1	
hypothetical protein(ZK484.4)	0	0	1	
DNA polymerase(pole-1)	1	0	1	
DNA polymerase(Y37B11A.2)	0	1	1	
Single-stranded DNA-binding protein, mitochondrial(mtss-1)	0	1	1	
Probable DNA replication complex GINS protein PSF2(psf-2)	0	1	1	
PSF (yeast Partner of Sld Five) conserved replication factor, GINS complex(psf-3)	0	1	1	
Probable replication factor C subunit 5(F44B9.8)	1	1	1	
DNA PRImase homolog(pri-2)	1	1	1	
DNA polymerase(Y47D3A.29)	1	1	1	
DNA polymerase delta catalytic subunit(F10C2.4)	1	1	1	
Replication factor C subunit 4(rfc-4)	1	1	1	
DNA helicase(mcm-4)	1	1	1	
DNA helicase(mcm-2)	1	1	1	
