	GO:0022625~cytosolic large ribosomal subunit	GO:0030529~intracellular ribonucleoprotein complex	cel03010:Ribosome	GO:0006412~translation	Ribosomal protein	GO:0005840~ribosome	GO:0003735~structural constituent of ribosome	Ribonucleoprotein	
C. Elegans Y-box(cey-3)	0	1	0	0	0	0	0	0	
hypothetical protein(F18H3.4)	0	1	0	0	0	0	0	0	
Target of rapamycin homolog(let-363)	0	0	0	1	0	0	0	0	
Eukaryotic translation initiation factor 3 subunit G(eif-3.G)	0	0	0	1	0	0	0	0	
Phenylalanine--tRNA ligase beta subunit(fars-3)	0	0	0	1	0	0	0	0	
Phenylalanyl Amino-acyl tRNA Synthetase(fars-1)	0	0	0	1	0	0	0	0	
Eukaryotic translation initiation factor 4E-5(ife-5)	0	0	0	1	0	0	0	0	
Asparagine--tRNA ligase, cytoplasmic(nars-1)	0	0	0	1	0	0	0	0	
Eukaryotic translation initiation factor 3 subunit E(eif-3.E)	0	0	0	1	0	0	0	0	
Eukaryotic translation initiation factor 5A-2(iff-2)	0	0	0	1	0	0	0	0	
Alanine--tRNA ligase, mitochondrial(aars-1)	0	0	0	1	0	0	0	0	
Eukaryotic translation initiation factor 3 subunit B(eif-3.B)	0	0	0	1	0	0	0	0	
Eukaryotic Initiation Factor(eif-3.I)	0	0	0	1	0	0	0	0	
hypothetical protein(K10C3.5)	0	0	0	1	0	0	0	0	
Ribosomal protein S6 kinase beta(rsks-1)	0	0	0	1	0	0	0	0	
Probable elongation factor 1-gamma(eef-1G)	0	0	0	1	0	0	0	0	
Threonine--tRNA ligase, cytoplasmic(tars-1)	0	0	0	1	0	0	0	0	
Elongation factor 2(eef-2)	0	0	0	1	0	0	0	0	
Lysine--tRNA ligase(kars-1)	0	0	0	1	0	0	0	0	
Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial(Y41D4A.6)	0	0	0	1	0	0	0	0	
COP9/Signalosome and eIF3 complex-shared subunit 1(cif-1)	0	0	0	1	0	0	0	0	
Probable translation initiation factor eIF-2B subunit alpha(ZK1098.4)	0	0	0	1	0	0	0	0	
Elongation factor G, mitochondrial(gfm-1)	0	0	0	1	0	0	0	0	
Probable elongation factor 1-beta/1-delta 2(eef-1B.2)	0	0	0	1	0	0	0	0	
Probable S-adenosylmethionine synthase 1(sams-1)	0	0	0	1	0	0	0	0	
Probable elongation factor 1-beta/1-delta 1(eef-1B.1)	0	0	0	1	0	0	0	0	
WRB (human W(tryptophan)-Rich Basic nuclear protein) homolog(wrb-1)	0	0	0	0	0	0	1	0	
