LE_1,LE_2,L1_1,L1_2,L3_1,L3_2,LE_IDR,L1_IDR,L3_IDR,LE_peak_1_summit,LE_peak_2_summit,L1_peak_1_summit,L1_peak_2_summit,L3_peak_1_summit,L3_peak_2_summit,summit_agreement,k4cluster,k6cluster,k4weights,k6weights,LE_nonNormed,L1_nonNormed,L3_nonNormed,LE_std,L1_std,L3_std,name,cluster.description,variance,peak,WBGeneID,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,intestine_dev_cluster,class
1.683526,1.347923,2.673772,2.861924,4.944366,5.05128,0,1,1,NA,NA,3896,3883,3907,3974,29.5,4,6,0.990,1.000,1.516,2.768,4.998,-0.895,-0.185,1.080,ELT2peak00002,Increasing,3.1109352872632505,ELT2peak00002,WBGene00022277,4118,10606,-,overlapEnd,3286,215,Overlapping,NA,NA
1.879706,1.724893,2.86507,3.2370390000000002,4.966392,5.921998,0,1,1,NA,NA,11308,11299,11329,11326,12,4,6,0.998,1.000,1.802,3.051,5.444,-0.881,-0.206,1.087,ELT2peak00003,Increasing,3.424985555947584,ELT2peak00003,WBGene00022276,11495,16837,+,overlapStart,-2760,267,Overlapping,Post-embryonic,Target Gene Class A1
0.540568,0.554968,1.584962,1.543142,2.828888,3.314315,0,0,1,NA,NA,NA,NA,13807,13767,20,4,6,0.942,1.000,0.548,1.564,3.072,-0.929,-0.129,1.058,ELT2peak00004,Increasing,1.6125456998880832,ELT2peak00004,WBGene00022276,11495,16837,+,inside,30,1965,Overlapping,Post-embryonic,Target Gene Class A1
1.273018,0.778786,2.36257,2.140178,3.876194,4.516944,0,0,1,NA,NA,NA,NA,15415,15410,2.5,4,6,0.965,1.000,1.026,2.251,4.197,-0.916,-0.150,1.067,ELT2peak00005,Increasing,2.556449072616334,ELT2peak00005,WBGene00022276,11495,16837,+,inside,1250,1180,Overlapping,Post-embryonic,Target Gene Class A1
2,1.972414,2.596804,2.417018,4.078502,4.157214,1,1,1,17001,17031,17007,17039,16991,17000,15.666666666666666,4,6,0.904,1.000,1.986,2.507,4.118,-0.796,-0.327,1.123,ELT2peak00006,Increasing,1.2350364797043334,ELT2peak00006,WBGene00022278,17483,26783,-,overlapEnd,5029,46,Overlapping,NA,NA
1.955606,2.023084,3.429138,2.929611,4.141166,4.544049,1,1,1,22416,21547,22381,22389,22377,22385,234.05555555555475,4,5,0.666,1.000,1.989,3.179,4.343,-1.004,0.008,0.996,ELT2peak00007,Increasing,1.3845209361775832,ELT2peak00007,WBGene00022278,17483,26783,-,inside,52,3738,Overlapping,NA,NA
3.2370390000000002,3.029747,1.803143,1.555215,1.50696,2.243926,1,1,1,27100,27093,27138,27122,27115,27136,14.666666666666666,1,1,0.911,1.000,3.133,1.679,1.875,1.146,-0.697,-0.449,ELT2peak00008,Embryo_Specific,0.6226160196653332,ELT2peak00008,WBGene00022278,17483,26783,-,overlapStart,-5061,16,Overlapping,NA,NA
1.672425,1.910448,2.496426,1.929611,4.381429,5.243926,1,1,1,108439,108447,110340,109761,108587,108313,712.8888888888905,4,6,0.550,1.000,1.791,2.213,4.813,-0.701,-0.444,1.145,ELT2peak00013,Increasing,2.677309246514332,ELT2peak00013,WBGene00021681,96459,108223,-,overlapStart,-7349,156,Overlapping,NA,NA
1.29956,1.111361,1.505528,1.4780470000000001,3.676885,3.921998,0,0,1,NA,NA,NA,NA,153974,154121,73.5,3,4,0.514,1.000,1.205,1.492,3.799,-0.675,-0.474,1.149,ELT2peak00014,L3_High,2.022664593834333,ELT2peak00014,WBGene00000253,145968,154855,-,inside,-3664,438,Overlapping,NA,NA
1.696608,1.459432,1.237039,1.684498,2.091923,2.622437,1,0,0,159451,159452,NA,NA,NA,NA,0.5,3,4,0.997,1.000,1.578,1.461,2.357,-0.453,-0.693,1.146,ELT2peak00015,L3_High,0.2373986328640834,ELT2peak00015,WBGene00004225,160172,169759,-,overlapEnd,5268,99,Overlapping,NA,NA
