	IPR001723:Steroid hormone receptor	GO:0003707~steroid hormone receptor activity	DNA-binding region:Nuclear receptor	zinc finger region:NR C4-type	IPR001628:Zinc finger, nuclear hormone receptor-type	IPR013088:Zinc finger, NHR/GATA-type	IPR000536:Nuclear hormone receptor, ligand-binding, core	GO:0043401~steroid hormone mediated signaling pathway	SM00430:HOLI	SM00399:ZnF_C4	Receptor	GO:0008270~zinc ion binding	Zinc-finger	GO:0043565~sequence-specific DNA binding	GO:0003700~transcription factor activity, sequence-specific DNA binding	Transcription regulation	DNA-binding	Transcription	GO:0006351~transcription, DNA-templated	GO:0003677~DNA binding	GO:0006355~regulation of transcription, DNA-templated	Nucleus	
Serpentine Receptor, class H(srh-219)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Serpentine Receptor, class X(srx-115)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Serpentine Receptor, class W(srw-15)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Serpentine Receptor, class W(srw-14)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AcetylCholine Receptor(acr-11)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Acetylcholine receptor subunit alpha-type acr-5(acr-5)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AcetylCholine Receptor(acr-17)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AcetylCholine Receptor(acr-18)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
GLutamate Receptor family (AMPA)(glr-4)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Serpentine Receptor, class XA(srxa-8)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Putative G-protein coupled receptor F59B2.13(F59B2.13)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
EPS (human endocytosis) related(eps-8)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Serpentine Receptor, class H(srh-70)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Serpentine Receptor, class R(srr-6)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Insulin-like receptor subunit beta(daf-2)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Serpentine Receptor, class AB (class A-like)(srab-24)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Sex Peptide Receptor (Drosophila) Related(sprr-2)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
NeuroPeptide Receptor family(npr-30)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Serpentine Receptor, class BC (class B-like)(srbc-58)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
human GoNadotropin-Releasing hormone Receptor (GnRHR) related(gnrr-5)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Tyrosine-protein kinase receptor cam-1(cam-1)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Sterile alpha and TIR motif-containing protein tir-1(tir-1)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
GABA B receptor subunit(gbb-1)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Integrin beta pat-3(pat-3)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Insulin/EGF-Receptor L Domain protein(irld-18)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Serpentine Receptor, class I(sri-36)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Inactive tyrosine-protein kinase RYK(lin-18)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Serpentine Receptor, class J(srj-29)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Seven TM Receptor(str-7)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Receptor Mediated Endocytosis(rme-4)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
DroMyoSuppressin Receptor related(dmsr-16)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Serpentine Receptor, class U(sru-42)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
SCAVenger receptor (CD36 family) related(scav-3)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
DihydroCaffeic Acid Receptor(dcar-1)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Putative G-protein coupled receptor B0244.5(B0244.5)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
High-energy light unresponsive protein 1(lite-1)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Cell surface receptor daf-4(daf-4)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Glutamate Receptor Level Decreased(grld-1)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
NeuroPeptide Receptor family(npr-13)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Putative G-protein coupled receptor B0244.10(B0244.10)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
GLutamate Receptor family (AMPA)(glr-8)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Serpentine Receptor, class I(sri-5)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Insulin receptor SubsTrate homolog(ist-1)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Seven TM Receptor(str-60)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
NMUR (NeuroMedin U Receptor) homolog(nmur-4)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Receptor Mediated Endocytosis(rme-1)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
NeuroPeptide Receptor family(npr-20)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
NeuroPeptide Receptor family(npr-31)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Serpentine Receptor, class W(srw-76)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Serine/threonine-protein kinase sma-6(sma-6)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ER lumen protein-retaining receptor(erd-2)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
GIT1 (mammalian G protein-coupled receptor kinase InTeractor 1) homolog(git-1)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Receptor-type guanylate cyclase gcy-28(gcy-28)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
SMAll(sma-9)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(Y67D8B.1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Zinc metalloproteinase nas-7(nas-7)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Ubiquinol-Cytochrome c oxidoReductase complex(ucr-2.1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
CarboxyPeptidase D family(cpd-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Suppressor of LIneage defect(sli-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Nuclear Pore complex Protein(npp-7)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
NAD-dependent protein deacylase sir-2.2(sir-2.2)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(R04B5.5)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Palmitoyltransferase(dhhc-3)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
