	Chaperone	GO:0051082~unfolded protein binding	GO:0006457~protein folding	
Mitochondrial import inner membrane translocase subunit Tim9(tin-9.1)	1	0	0	
Mitochondrial import inner membrane translocase subunit TIM14(dnj-21)	1	0	0	
DNaJ domain (prokaryotic heat shock protein)(dnj-5)	1	0	0	
Probable histone chaperone asf-1(unc-85)	1	0	0	
UDP-Glucose Glycoprotein glucosylTransferase(uggt-1)	0	1	0	
Heat shock protein Hsp-16.1/Hsp-16.11(hsp-16.1)	0	1	0	
hypothetical protein(Y111B2A.12)	0	1	0	
Aspergillus NUclear Division related(nud-1)	0	1	0	
hypothetical protein(Y71F9AL.11)	0	1	0	
hypothetical protein(unc-23)	0	0	1	
Peptidyl-prolyl cis-trans isomerase 4(cyn-4)	0	0	1	
Peptidyl-prolyl cis-trans isomerase(fkb-1)	0	0	1	
Probable protein disulfide-isomerase A4(C14B9.2)	0	0	1	
Protein disulfide-isomerase(pdi-3)	0	0	1	
hypothetical protein(C30H7.2)	0	0	1	
Peptidyl-prolyl cis-trans isomerase 1(cyn-1)	0	0	1	
Peptidyl-prolyl cis-trans isomerase 2(cyn-2)	0	0	1	
Protein disulfide-isomerase 1(pdi-1)	0	0	1	
Peptidyl-prolyl cis-trans isomerase 11(cyn-11)	0	0	1	
Peptidyl-prolyl cis-trans isomerase 7(cyn-7)	0	0	1	
Sulfhydryl oxidase(F47B7.2)	0	0	1	
Sulfhydryl oxidase(F35G2.1)	0	0	1	
Chaperonin homolog Hsp-60, mitochondrial(hsp-60)	1	0	1	
Probable prefoldin subunit 3(pfd-3)	1	0	1	
DNaJ domain (prokaryotic heat shock protein)(dnj-13)	0	1	1	
DNaJ domain (prokaryotic heat shock protein)(dnj-12)	0	1	1	
hypothetical protein(Y22D7AL.10)	1	1	1	
T-complex protein 1 subunit beta(cct-2)	1	1	1	
Chaperonin Containing TCP-1(cct-5)	1	1	1	
T-complex protein 1 subunit alpha(cct-1)	1	1	1	
Calreticulin(crt-1)	1	1	1	
Probable prefoldin subunit 4(pfd-4)	1	1	1	
Heat shock protein 90(daf-21)	1	1	1	
CalNeXin(cnx-1)	1	1	1	
