WBGeneID,Sequence.name,Public_name,blazie_WBGeneID,blazie_Name,blazie_Chr,blazie_Start,blazie_Stop,blazie_FPKM,pauli_L4_percentile,pauli_L4_pvalue,pauli_L4_description,spencer_LE_AveExpr,spencer_LE_adj_P_Val,spencer_LE_FC,spencer_L2_AveExpr,spencer_L2_adj_P_Val,spencer_L2_FC,blazie_bool,hashimshony_embryo_bool,pauli_L4_bool,spencer_LE_bool,spencer_L2_bool
WBGene00000001,Y110A7A.10,aap-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000002,F27C8.1,aat-1,WBGene00000002,aat-1,IV,9598962,9601672,5.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000003,F07C3.7,aat-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000004,F52H2.2,aat-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000005,T13A10.10,aat-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.69,0,2.7,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE
WBGene00000006,C55C2.5,aat-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000007,T11F9.4,aat-6,WBGene00000007,aat-6,V,11466833,11470640,4.25,NA,NA,NA,NA,NA,NA,7.83,0,2.14,TRUE,FALSE,FALSE,FALSE,TRUE
WBGene00000008,F54D12.3,aat-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000009,F28F9.4,aat-8,WBGene00000009,aat-8,IV,3862122,3865024,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000010,Y53H1C.1,aat-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000012,C50F2.9,abf-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000013,C50F2.10,abf-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000014,F54B8.5,abf-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000015,Y38H6C.22,abf-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000016,T22H6.5,abf-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000017,T22H6.7,abf-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000018,M79.1,abl-1,NA,abl-1,X,10605760,10624114,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000019,C24F3.5,abt-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000020,F12B6.1,abt-2,WBGene00000020,abt-2,I,2255923,2272867,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
