	GO:0009755~hormone-mediated signaling pathway	GO:0000976~transcription regulatory region sequence-specific DNA binding	GO:0090575~RNA polymerase II transcription factor complex	GO:0009888~tissue development	GO:0004879~RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding	GO:0030522~intracellular receptor signaling pathway	GO:0003682~chromatin binding	IPR016355:Steroidogenic factor 1	GO:0006357~regulation of transcription from RNA polymerase II promoter	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	IPR001723:Steroid hormone receptor	GO:0003707~steroid hormone receptor activity	DNA-binding region:Nuclear receptor	zinc finger region:NR C4-type	IPR013088:Zinc finger, NHR/GATA-type	IPR001628:Zinc finger, nuclear hormone receptor-type	SM00399:ZnF_C4	IPR000536:Nuclear hormone receptor, ligand-binding, core	GO:0043401~steroid hormone mediated signaling pathway	SM00430:HOLI	Receptor	GO:0043565~sequence-specific DNA binding	Zinc-finger	GO:0003700~transcription factor activity, sequence-specific DNA binding	GO:0008270~zinc ion binding	DNA-binding	Transcription regulation	Transcription	Zinc	GO:0006351~transcription, DNA-templated	GO:0003677~DNA binding	GO:0006355~regulation of transcription, DNA-templated	Nucleus	Metal-binding	GO:0046872~metal ion binding	GO:0005634~nucleus	
URI (Unconventional prefoldin RPB5 Interactor) homolog(uri-1)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deacetylase Complex Protein(dcp-66)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
DroMyoSuppressin Receptor related(dmsr-9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NeuroPeptide Receptor family(npr-18)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Nuclear Hormone Receptor family(nhr-246)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
GABA/Glycine Receptor family (see gbr)(ggr-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Serpentine Receptor, class M(srm-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Putative tyrosine-protein kinase F09A5.2(F09A5.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
EPS (human endocytosis) related(eps-8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Serpentine Receptor, class U(sru-40)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
