	SM00042:CUB	IPR000859:CUB domain	GO:0045087~innate immune response	IPR001304:C-type lectin	IPR016186:C-type lectin-like	SM00034:CLECT	IPR016187:C-type lectin fold	Lectin	GO:0030246~carbohydrate binding	
hypothetical protein(ZK896.4)	0	1	0	0	0	0	0	0	0	
hypothetical protein(K10D11.3)	0	1	0	0	0	0	0	0	0	
hypothetical protein(M02D8.5)	0	1	0	0	0	0	0	0	0	
hypothetical protein(W02G9.4)	1	1	0	0	0	0	0	0	0	
Zinc metalloproteinase nas-28(nas-28)	1	1	0	0	0	0	0	0	0	
Zinc metalloproteinase nas-30(nas-30)	1	1	0	0	0	0	0	0	0	
SaPosin-like Protein family(spp-3)	0	0	1	0	0	0	0	0	0	
ASpartyl Protease(asp-12)	0	0	1	0	0	0	0	0	0	
hypothetical protein(C18E9.9)	0	0	1	0	0	0	0	0	0	
hypothetical protein(F08G5.6)	0	0	1	0	0	0	0	0	0	
bZIP transcription factor family(zip-10)	0	0	1	0	0	0	0	0	0	
SOX (mammalian SRY box) family(sox-4)	0	0	1	0	0	0	0	0	0	
hypothetical protein(T19D12.4)	0	0	1	0	0	0	0	0	0	
hypothetical protein(K05F1.10)	0	0	1	0	0	0	0	0	0	
Glutathione S-transferase P(gst-1)	0	0	1	0	0	0	0	0	0	
hypothetical protein(F35E12.10)	0	0	1	0	0	0	0	0	0	
hypothetical protein(F53A9.6)	0	0	1	0	0	0	0	0	0	
Infection Response Gene(irg-3)	0	0	1	0	0	0	0	0	0	
Multidrug resistance protein pgp-1(pgp-1)	0	0	1	0	0	0	0	0	0	
Tyrosine-protein kinase(Y47G6A.5)	0	0	1	0	0	0	0	0	0	
hypothetical protein(T24C4.4)	0	0	1	0	0	0	0	0	0	
hypothetical protein(F46A8.11)	0	0	1	0	0	0	0	0	0	
F-box A protein(fbxa-105)	0	0	1	0	0	0	0	0	0	
ASpartyl Protease(asp-14)	0	0	1	0	0	0	0	0	0	
Forkhead box protein O(daf-16)	0	0	1	0	0	0	0	0	0	
UPF0057 membrane protein C04G6.5(C04G6.5)	0	0	1	0	0	0	0	0	0	
hypothetical protein(C34H4.1)	0	0	1	0	0	0	0	0	0	
Probable inorganic pyrophosphatase 1(pyp-1)	0	0	1	0	0	0	0	0	0	
Cathepsin B-like cysteine proteinase 3(cpr-3)	0	0	1	0	0	0	0	0	0	
Acyl CoA DeHydrogenase(acdh-1)	0	0	1	0	0	0	0	0	0	
hypothetical protein(Y41D4B.17)	0	0	1	0	0	0	0	0	0	
Downstream Of DAF-16 (regulated by DAF-16)(dod-24)	0	0	1	0	0	0	0	0	0	
hypothetical protein(F01D5.1)	0	0	1	0	0	0	0	0	0	
Multidrug resistance protein pgp-3(pgp-3)	0	0	1	0	0	0	0	0	0	
