	domain:Protein kinase	active site:Proton acceptor	binding site:ATP	nucleotide phosphate-binding region:ATP	IPR008271:Serine/threonine-protein kinase, active site	IPR017441:Protein kinase, ATP binding site	Serine/threonine-protein kinase	SM00220:S_TKc	GO:0004674~protein serine/threonine kinase activity	IPR000719:Protein kinase, catalytic domain	GO:0004672~protein kinase activity	GO:0006468~protein phosphorylation	IPR011009:Protein kinase-like domain	Kinase	GO:0016301~kinase activity	GO:0016310~phosphorylation	GO:0016740~transferase activity	Transferase	ATP-binding	Nucleotide-binding	GO:0005524~ATP binding	GO:0000166~nucleotide binding	
Probable glutaryl-CoA dehydrogenase, mitochondrial(F54D5.7)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NAD-dependent protein deacetylase sir-2.1(sir-2.1)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Glycerol-3-phosphate dehydrogenase [NAD(+)](gpdh-2)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Very-long-chain 3-oxooacyl-coA reductase let-767(let-767)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ThioRedoXin Reductase(trxr-1)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Probable malate dehydrogenase, mitochondrial(mdh-2)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Enolase(enol-1)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Adenylosuccinate lyase(adsl-1)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Peroxidasin homolog(pxn-1)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ASpartyl Protease(asp-9)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Zinc MetalloProtease(zmp-2)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Casein kinase II subunit beta(kin-10)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
La-related protein 1(larp-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Cullin-5(cul-5)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
G1/S-specific cyclin-E(cye-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
hypothetical protein(T16G1.5)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
hypothetical protein(H06H21.8)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
hypothetical protein(Y77E11A.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Glutathione-specific gamma-glutamylcyclotransferase(F22F7.7)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Hexosyltransferase(F21C10.3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Ubiquinone biosynthesis O-methyltransferase, mitochondrial(coq-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
JHDM (histone demethylase) homolog(jhdm-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
BRCA1-associated RING domain protein 1(brd-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Enhancer of EfL-1 mutant phenotype(eel-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
hypothetical protein(M04C3.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
hypothetical protein(rad-54)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
hypothetical protein(Y22D7AL.10)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Tubulin Tyrosine Ligase Like(ttll-9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
DNaJ domain (prokaryotic heat shock protein)(dnj-12)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
XO lethal protein 1(xol-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
hypothetical protein(K07E3.4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
SWI/SNF nucleosome remodeling complex component(swsn-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
BTAF (TBP-associated factor) homolog(btf-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
hypothetical protein(C30F12.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
hypothetical protein(Y94H6A.5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
LIGase(lig-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
hypothetical protein(R06C1.4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
RNP (RRM RNA binding domain) containing(rnp-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
hypothetical protein(H28G03.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Nucleoporin NUP53(npp-19)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
60S ribosomal protein L23a 2(rpl-25.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Glutamate Receptor Level Decreased(grld-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
