	cel01230:Biosynthesis of amino acids	cel01200:Carbon metabolism	cel01130:Biosynthesis of antibiotics	
GLutamiNe synthetase (glutamate-ammonia ligase)(gln-1)	1	0	0	
GLutamiNe synthetase (glutamate-ammonia ligase)(gln-3)	1	0	0	
PhenylAlanine Hydroxylase(pah-1)	1	0	0	
Probable methionine synthase(metr-1)	1	0	0	
Probable S-adenosylmethionine synthase 1(sams-1)	1	0	0	
Probable methylenetetrahydrofolate reductase(mthf-1)	0	1	0	
Glutamate dehydrogenase(gdh-1)	0	1	0	
ALdehyde deHydrogenase(alh-8)	0	1	0	
dietary restriction down regulated(drd-1)	0	0	1	
Ornithine decarboxylase(odc-1)	0	0	1	
Isopentenyl Diphosphate Isomerase(idi-1)	0	0	1	
hypothetical protein(F21D5.1)	0	0	1	
Phosphoenolypyruvate CarboxyKinase(pck-2)	0	0	1	
N-acetylglucosamine-6-phosphate deacetylase(F59B2.3)	0	0	1	
Probable adenylate kinase isoenzyme ZK673.2(ZK673.2)	0	0	1	
Probable ornithine aminotransferase, mitochondrial(C16A3.10)	0	0	1	
Alcohol dehydrogenase 1(sodh-1)	0	0	1	
5-Aminoimidazole-4-carboxamide ribonucleotide formylTransferase/IMP Cyclohydrolase homolog(atic-1)	0	0	1	
hypothetical protein(K08E3.5)	0	0	1	
Probable 3-hydroxyacyl-CoA dehydrogenase B0272.3(B0272.3)	0	0	1	
Glutamine-Fructose 6-phosphate AminoTransferase homolog(gfat-1)	0	0	1	
ALdehyde deHydrogenase(alh-12)	0	0	1	
Adenosine MonoPhosphate Deaminase homolog(ampd-1)	0	0	1	
Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial(dbt-1)	0	0	1	
ALdehyde deHydrogenase(alh-1)	0	0	1	
Hydroxy-Acyl-CoA Dehydrogenase(hacd-1)	0	0	1	
Phosphoribosylaminoimidazole-succinocarboxamide synthase(pacs-1)	0	0	1	
Putative aldehyde dehydrogenase family 7 member A1 homolog(alh-9)	0	0	1	
Platelet-activating factor acetylhydrolase homolog 2(paf-2)	0	0	1	
Probable phosphoribosylformylglycinamidine synthase(F10F2.2)	0	0	1	
Amidophosphoribosyltransferase(ppat-1)	0	0	1	
PYruvate Carboxylase(pyc-1)	1	1	0	
hypothetical protein(C32F10.8)	1	1	0	
hypothetical protein(R102.4)	1	0	1	
Branched-chain-amino-acid aminotransferase, cytosolic(bcat-1)	1	0	1	
Tyrosine AminoTraNsferase(tatn-1)	1	0	1	
Putative cystathionine gamma-lyase 2(cth-2)	1	0	1	
Cystathionine Beta Lyase(cbl-1)	1	0	1	
Cystathionine Beta-Synthase(cbs-1)	1	0	1	
Enoyl-CoA Hydratase(ech-1.2)	0	1	1	
SUCcinyl-CoA Ligase, alpha subunit(sucl-2)	0	1	1	
hypothetical protein(F44E7.2)	0	1	1	
Propionyl-CoA carboxylase alpha chain, mitochondrial(pcca-1)	0	1	1	
Probable succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial(suca-1)	0	1	1	
FUMarase(fum-1)	0	1	1	
Probable succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial(sucl-1)	0	1	1	
Probable malate dehydrogenase, mitochondrial(mdh-2)	0	1	1	
Phosphotransferase(hxk-1)	0	1	1	
Acetyl-CoA acetyltransferase homolog, mitochondrial(kat-1)	0	1	1	
Malate DeHydrogenase(mdh-1)	0	1	1	
Putative NipSnap protein K02D10.1(K02D10.1)	0	1	1	
Probable enoyl-CoA hydratase, mitochondrial(ech-6)	0	1	1	
hypothetical protein(Y62E10A.13)	1	1	1	
hypothetical protein(R151.2)	1	1	1	
Probable isocitrate dehydrogenase [NAD] subunit beta, mitochondrial(idhb-1)	1	1	1	
Aspartate aminotransferase(got-2.2)	1	1	1	
TransALDolase-1 homolog(tald-1)	1	1	1	
Pyruvate kinase(pyk-1)	1	1	1	
Probable cytoplasmic aconitate hydratase(aco-1)	1	1	1	
Fructose-bisphosphate aldolase(aldo-2)	1	1	1	
Cysteine synthase(cysl-4)	1	1	1	
2,3-bisphosphoglycerate-independent phosphoglycerate mutase(ipgm-1)	1	1	1	
Probable aspartate aminotransferase, cytoplasmic(got-1.2)	1	1	1	
ATP-dependent 6-phosphofructokinase 1(pfk-1.1)	1	1	1	
hypothetical protein(K01C8.1)	1	1	1	
Probable aconitate hydratase, mitochondrial(aco-2)	1	1	1	
Triosephosphate isomerase(tpi-1)	1	1	1	
Bifunctional L-3-cyanoalanine synthase/cysteine synthase(cysl-2)	1	1	1	
