	cel01230:Biosynthesis of amino acids	cel01200:Carbon metabolism	cel01130:Biosynthesis of antibiotics	
GLutamiNe synthetase (glutamate-ammonia ligase)(gln-3)	1	0	0	
Probable S-adenosylmethionine synthase 3(sams-3)	1	0	0	
Probable S-adenosylmethionine synthase 1(sams-1)	1	0	0	
Probable methylmalonyl-CoA mutase, mitochondrial(mmcm-1)	0	1	0	
S-formylglutathione hydrolase(Y48G10A.1)	0	1	0	
Methylmalonyl-CoA Epimerase(mce-1)	0	1	0	
Hydroxymethylglutaryl-CoA synthase(hmgs-1)	0	0	1	
hypothetical protein(R05F9.6)	0	0	1	
Adenylosuccinate lyase(adsl-1)	0	0	1	
Probable glutaryl-CoA dehydrogenase, mitochondrial(F54D5.7)	0	0	1	
hypothetical protein(F52A8.5)	0	0	1	
Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial(dbt-1)	0	0	1	
ALdehyde deHydrogenase(alh-1)	0	0	1	
2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial(Y39E4A.3)	0	0	1	
Aldehyde dehydrogenase(alh-4)	0	0	1	
hypothetical protein(B0303.3)	0	0	1	
Alcohol/Ribitol Dehydrogenase family(ard-1)	0	0	1	
FarNesylTransferase, Beta subunit(fntb-1)	0	0	1	
Enoyl-CoA Hydratase(ech-8)	0	0	1	
CAAX prenyl protease 2 homolog(fce-2)	0	0	1	
MeValonate Kinase(mvk-1)	0	0	1	
D-amino-acid oxidase(daao-1)	0	0	1	
PYruvate Carboxylase(pyc-1)	1	1	0	
hypothetical protein(C32F10.8)	1	1	0	
Branched-chain-amino-acid aminotransferase, cytosolic(bcat-1)	1	0	1	
Tyrosine AminoTraNsferase(tatn-1)	1	0	1	
Cystathionine Beta-Synthase(cbs-1)	1	0	1	
hypothetical protein(M153.1)	1	0	1	
Aminomethyltransferase(gcst-1)	0	1	1	
Enoyl-CoA Hydratase(ech-1.2)	0	1	1	
hypothetical protein(C53A3.2)	0	1	1	
hypothetical protein(F44E7.2)	0	1	1	
Propionyl-CoA carboxylase alpha chain, mitochondrial(pcca-1)	0	1	1	
Probable succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial(suca-1)	0	1	1	
hypothetical protein(F41E6.5)	0	1	1	
Probable succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial(sucl-1)	0	1	1	
Fructose-1,6-BiPhosphatase(fbp-1)	0	1	1	
Probable malate dehydrogenase, mitochondrial(mdh-2)	0	1	1	
Succinate dehydrogenase cytochrome b560 subunit, mitochondrial(mev-1)	0	1	1	
Phosphotransferase(hxk-1)	0	1	1	
Pyruvate dehydrogenase E1 component subunit beta, mitochondrial(pdhb-1)	0	1	1	
Propionyl Coenzyme A Carboxylase Beta subunit(pccb-1)	0	1	1	
Acyl CoA DeHydrogenase(acdh-7)	0	1	1	
Isocitrate dehydrogenase [NAD] subunit, mitochondrial(idhg-2)	1	1	1	
Aspartate aminotransferase(got-2.2)	1	1	1	
hypothetical protein(C31C9.2)	1	1	1	
Serine hydroxymethyltransferase(mel-32)	1	1	1	
TransALDolase-1 homolog(tald-1)	1	1	1	
Isocitrate dehydrogenase [NADP](idh-2)	1	1	1	
Probable cytoplasmic aconitate hydratase(aco-1)	1	1	1	
Enolase(enol-1)	1	1	1	
2,3-bisphosphoglycerate-independent phosphoglycerate mutase(ipgm-1)	1	1	1	
Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial(idha-1)	1	1	1	
Isocitrate DeHydrogenase(idh-1)	1	1	1	
TransKeTolase homolog(tkt-1)	1	1	1	
Probable-ribose 5-phosphate isomerase(rpia-1)	1	1	1	
Glyceraldehyde-3-phosphate dehydrogenase 3(gpd-3)	1	1	1	
hypothetical protein(Y62E10A.13)	1	1	1	
