peak.position	peak	old.mapping	new.mapping	old.insideFeature	new.insideFeature	old.distance	new.distance	mapping.changed	randoms
chrII:5808472-5808953	ELT2peak02003	tcc-1 (WBGene00013340)	msp-64 (WBGene00003457)	upstream	downstream	1861	964	TRUE	1
chrIV:1850780-1852155	ELT2peak04824	T04A8.7 (WBGene00011409)	egl-4 (WBGene00001173)	overlapStart	inside	43	2812	TRUE	2
chrI:7938261-7939017	ELT2peak00791	san-1 (WBGene00004721)	glb-26 (WBGene00011913)	overlapEnd	overlapStart	137	225	TRUE	3
chrIV:294097-295162	ELT2peak04686	tir-1 (WBGene00006575)	K02D7.1 (WBGene00019298)	unmapped ± 5Kb	inside	5958	1668	TRUE	4
chrX:8492673-8493365	ELT2peak09174	obr-3 (WBGene00014215)	T01B10.5 (WBGene00020137)	inside	upstream	4921	1957	TRUE	5
chrIV:17120340-17121748	ELT2peak06239	dbn-1 (WBGene00010664)	itsn-1 (WBGene00006405)	overlapEnd	inside	265	656	TRUE	6
chrII:5043555-5044663	ELT2peak01858	fbxa-185 (WBGene00009836)	F33G12.7 (WBGene00044666)	downstream	upstream	101	2874	TRUE	7
chrII:8226349-8227101	ELT2peak02358	bpnt-1 (WBGene00044063)	dab-1 (WBGene00000894)	overlapStart	inside	178	2037	TRUE	8
chrIV:10126560-10127817	ELT2peak05643	eif-2Balpha (WBGene00014221)	ctf-18 (WBGene00010676)	overlapStart	overlapStart	295	115	TRUE	9
chrII:7340538-7341719	ELT2peak02248	F02E11.7 (WBGene00195073)	nhr-21 (WBGene00003620)	inside	inside	92	1309	TRUE	10
chrIV:13826268-13827054	ELT2peak06075	C53B7.2 (WBGene00016893)	rga-5 (WBGene00010374)	downstream	upstream	907	832	TRUE	11
chrX:17463930-17464422	ELT2peak10235	frm-7 (WBGene00001493)	slc-17.1 (WBGene00022647)	inside	inside	1424	544	TRUE	12
chrI:5885194-5885703	ELT2peak00536	srv-9 (WBGene00005720)	pgp-2 (WBGene00003996)	inside	upstream	505	910	TRUE	13
chrI:9749796-9750264	ELT2peak00991	wdr-23 (WBGene00008419)	K02A11.4 (WBGene00044607)	inside	overlapStart	1960	157	TRUE	14
chrX:4457698-4458497	ELT2peak08657	nhr-13 (WBGene00003612)	aps-2 (WBGene00000157)	overlapStart	overlapStart	302	225	TRUE	15
chrI:12507734-12508988	ELT2peak01212	gld-4 (WBGene00014115)	unc-101 (WBGene00006829)	upstream	overlapStart	997	565	TRUE	16
chrX:5164968-5165513	ELT2peak08746	arrd-18 (WBGene00018060)	mans-3 (WBGene00020197)	upstream	overlapStart	20	118	TRUE	17
chrI:3147641-3148392	ELT2peak00241	F40E3.5 (WBGene00018232)	lpd-6 (WBGene00003062)	overlapStart	overlapStart	245	152	TRUE	18
chrV:18461241-18461950	ELT2peak08016	del-5 (WBGene00010334)	ZK228.3 (WBGene00013946)	inside	upstream	364	10	TRUE	19
chrII:13944091-13944572	ELT2peak03002	F31D4.5 (WBGene00009292)	W07G1.1 (WBGene00012328)	overlapStart	upstream	159	4460	TRUE	20
chrI:7348525-7349000	ELT2peak00723	ZK484.7 (WBGene00022753)	kbrl-1 (WBGene00009919)	overlapEnd	inside	46	1303	TRUE	21
chrIV:2639466-2640423	ELT2peak04870	wip-1 (WBGene00020094)	mdf-2 (WBGene00003161)	upstream	inside	68	694	TRUE	22
chrIII:8984305-8985661	ELT2peak04162	syx-6 (WBGene00015789)	pde-2 (WBGene00011146)	overlapStart	upstream	118	2408	TRUE	23
chrIII:6500219-6500740	ELT2peak03853	spds-1 (WBGene00012909)	F23F12.3 (WBGene00017751)	overlapEnd	overlapStart	139	226	TRUE	24
chrIII:4599694-4600961	ELT2peak03585	M28.8 (WBGene00010899)	mab-21 (WBGene00003112)	overlapStart	overlapStart	47	224	TRUE	25
chrIV:10001545-10002398	ELT2peak05635	dars-1 (WBGene00001094)	C47E12.3 (WBGene00008148)	overlapStart	overlapStart	202	301	TRUE	26
chrIII:8482977-8484081	ELT2peak04092	cnnm-3 (WBGene00016343)	F42H10.3 (WBGene00018367)	upstream	upstream	1375	72	TRUE	27
chrI:5027875-5028585	ELT2peak00425	E01A2.1 (WBGene00017084)	lfe-2 (WBGene00002979)	overlapStart	inside	360	3986	TRUE	28
chrV:6810021-6810563	ELT2peak06806	K01A12.3 (WBGene00019287)	dmsr-16 (WBGene00194821)	inside	upstream	834	959	TRUE	29
chrV:16604243-16604737	ELT2peak07905	yap-1 (WBGene00008748)	T03E6.8 (WBGene00011397)	upstream	upstream	3208	874	TRUE	30
chrII:10303633-10304374	ELT2peak02626	npp-24 (WBGene00022672)	vha-9 (WBGene00006918)	overlapStart	overlapStart	757	80	TRUE	31
chrX:6804777-6805752	ELT2peak08976	C29F7.1 (WBGene00007810)	M03A8.3 (WBGene00019749)	downstream	downstream	271	1077	TRUE	32
chrII:5085563-5085830	ELT2peak01865	ero-1 (WBGene00001334)	C04G6.5 (WBGene00015455)	overlapStart	overlapStart	243	45	TRUE	33
chrII:5866566-5867034	ELT2peak02017	T23F4.2 (WBGene00020740)	F55C12.19 (WBGene00271817)	overlapEnd	inside	202	7	TRUE	34
chrX:13950607-13951370	ELT2peak09860	T28B11.1 (WBGene00012117)	alg-1 (WBGene00000105)	inside	inside	1665	1493	TRUE	35
chrII:11647696-11648377	ELT2peak02791	lgg-1 (WBGene00002980)	ghi-1 (WBGene00013923)	overlapEnd	inside	367	762	TRUE	36
chrX:12453395-12454063	ELT2peak09641	ZK287.9 (WBGene00013968)	T18D3.9 (WBGene00011826)	overlapStart	inside	102	265	TRUE	37
chrII:9179736-9180242	ELT2peak02483	shc-2 (WBGene00020867)	sym-2 (WBGene00006367)	upstream	inside	1917	1222	TRUE	38
chrX:9430944-9431486	ELT2peak09293	ZK742.3 (WBGene00022813)	B0272.3 (WBGene00007129)	overlapStart	overlapStart	258	54	TRUE	39
chrIII:9060116-9060821	ELT2peak04178	spsb-1 (WBGene00021597)	lin-12 (WBGene00003001)	upstream	inside	2201	20	TRUE	40
chrIII:7140251-7140762	ELT2peak03914	btf-1 (WBGene00000274)	glr-2 (WBGene00001613)	overlapStart	inside	202	1568	TRUE	41
chrII:97874-98675	ELT2peak01422	mgl-2 (WBGene00003233)	C50D2.8 (WBGene00016811)	upstream	overlapStart	843	153	TRUE	42
chrII:2800783-2801460	ELT2peak01633	W08G11.1 (WBGene00012346)	nhr-119 (WBGene00003709)	downstream	upstream	1113	183	TRUE	43
chrII:6781137-6781918	ELT2peak02147	F16G10.7 (WBGene00017522)	T13C2.7 (WBGene00020482)	downstream	overlapEnd	330	232	TRUE	44
