	Zinc-finger	Zinc	Metal-binding	GO:0046872~metal ion binding	
GALacTosyltransferase(galt-1)	0	0	1	0	
Alpha-(1,6)-fucosyltransferase(fut-8)	0	0	1	0	
CalciNeurin B(cnb-1)	0	0	1	0	
Serine/threonine-protein phosphatase(let-92)	0	0	1	0	
SMAll(sma-9)	0	0	0	1	
hypothetical protein(ZK1240.3)	0	0	0	1	
Probable succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial(suca-1)	0	0	0	1	
SUPpressor(sup-35)	0	0	0	1	
Mitochondrial Processing Peptidase Beta(mppb-1)	0	0	0	1	
AT hook Transcription Factor family(attf-3)	0	0	0	1	
hypothetical protein(lin-38)	0	0	0	1	
Lateral Signaling Target(lst-5)	0	0	0	1	
ParaQuat (Methylviologen) responsive(pqm-1)	0	0	0	1	
hypothetical protein(Y71F9AL.11)	0	0	0	1	
Suppressor of PAr-Two defect(spat-3)	0	0	0	1	
Ubiquinol-Cytochrome c oxidoReductase complex(ucr-2.1)	0	0	0	1	
Zinc Finger and Homeobox(zfh-2)	0	0	0	1	
hypothetical protein(C26B9.6)	0	0	0	1	
Zinc finger putative Transcription Factor family(ztf-26)	0	0	0	1	
T lineage defect, LePtoderan tail(tlp-1)	0	0	0	1	
Signal Element on Autosome(sea-2)	0	0	0	1	
MethylCrotonoyl-Coenzyme A Carboxylase (alpha)(mccc-1)	0	0	0	1	
Suppressor of LIneage defect(sli-1)	0	0	0	1	
hypothetical protein(Y22D7AL.10)	0	0	0	1	
hypothetical protein(F43G6.8)	0	0	0	1	
Palmitoyltransferase(dhhc-3)	0	0	0	1	
hypothetical protein(lin-29)	0	0	0	1	
hypothetical protein(Y67H2A.10)	0	0	0	1	
Purple acid phosphatase(Y105C5B.15)	0	0	0	1	
hypothetical protein(F44E7.4)	0	0	0	1	
DNaJ domain (prokaryotic heat shock protein)(dnj-12)	0	0	0	1	
Propionyl-CoA carboxylase alpha chain, mitochondrial(pcca-1)	0	0	0	1	
hypothetical protein(C11H1.3)	0	0	0	1	
hypothetical protein(lsy-2)	0	0	0	1	
hypothetical protein(Y37F4.6)	0	0	0	1	
EGR (Early Growth factor Response factor) Homolog(egrh-1)	0	0	0	1	
Cation transporting ATPase(catp-2)	0	0	0	1	
PhosphatidylInositol Transfer Protein family(pitp-1)	0	0	0	1	
hypothetical protein(C18B12.4)	0	0	0	1	
Palmitoyltransferase(dhhc-1)	0	0	0	1	
EGR (Early Growth factor Response factor) Homolog(egrh-2)	0	0	0	1	
Prion-like-(Q/N-rich)-domain-bearing protein(pqn-21)	0	0	0	1	
hypothetical protein(K10B3.5)	0	0	0	1	
hypothetical protein(K11D2.4)	0	0	0	1	
PeRoXisome assembly factor(prx-2)	0	0	0	1	
hypothetical protein(F21A9.2)	0	0	0	1	
Zinc finger putative Transcription Factor family(ztf-27)	0	0	0	1	
hypothetical protein(plr-1)	0	0	0	1	
Calcium-transporting ATPase(mca-3)	0	0	0	1	
hypothetical protein(C32D5.11)	0	0	0	1	
hypothetical protein(T20F7.1)	0	0	0	1	
hypothetical protein(ZC434.9)	0	1	1	0	
Pyruvate Dehydrogenase Phosphatase homolog(pdp-1)	0	0	1	1	
Uncharacterized monothiol glutaredoxin F10D7.3(F10D7.3)	0	0	1	1	
Receptor-type guanylate cyclase gcy-28(gcy-28)	0	0	1	1	
SyNapTotagmin(snt-1)	0	0	1	1	
Probable gamma-butyrobetaine dioxygenase(gbh-1)	0	0	1	1	
Isocitrate dehydrogenase [NADP](idh-2)	0	0	1	1	
DNA PRImase homolog(pri-2)	0	0	1	1	
Cytochrome c oxidase subunit 5A, mitochondrial(cco-2)	0	0	1	1	
Germinal Center Kinase family(gck-1)	0	0	1	1	
Dual-Leucine zipper Kinase(dlk-1)	0	0	1	1	
Lysine--tRNA ligase(kars-1)	0	0	1	1	
2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial(Y39E4A.3)	0	0	1	1	
Probable cytoplasmic aconitate hydratase(aco-1)	0	0	1	1	
Vesicle-fusing ATPase(nsf-1)	0	0	1	1	
Polypeptide N-acetylgalactosaminyltransferase 5(gly-5)	0	0	1	1	
CYtochrome P450 family(cyp-43A1)	0	0	1	1	
Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial(idha-1)	0	0	1	1	
Isocitrate DeHydrogenase(idh-1)	0	0	1	1	
Probable S-adenosylmethionine synthase 1(sams-1)	0	0	1	1	
DIS3-like exonuclease 2(disl-2)	0	0	1	1	
Probable calcium-binding mitochondrial carrier K02F3.2(K02F3.2)	0	0	1	1	
Probable 3',5'-cyclic phosphodiesterase pde-2(pde-2)	0	0	1	1	
Probable calcium-binding mitochondrial carrier F17E5.2(F17E5.2)	0	0	1	1	
DNA N6-methyl adenine demethylase(F09F7.7)	0	0	1	1	
Cell surface receptor daf-4(daf-4)	0	0	1	1	
Homogentisate 1,2-dioxygenase(hgo-1)	0	0	1	1	
CYtochrome P450 family(cyp-14A4)	0	0	1	1	
Metallothionein-2(mtl-2)	0	0	1	1	
hypothetical protein(K12C11.1)	0	0	1	1	
Probable NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial(nduf-7)	0	0	1	1	
Poly(A) RNA polymerase gld-4(gld-4)	0	0	1	1	
CYtochrome P450 family(cyp-13B2)	0	0	1	1	
Nucleoside-diphosphatase uda-1(uda-1)	0	0	1	1	
Probable S-adenosylmethionine synthase 3(sams-3)	0	0	1	1	
Serine/threonine-protein kinase par-1(par-1)	0	0	1	1	
5'-nucleotidase(F25B5.3)	0	0	1	1	
